English,Manx,Notes
TYNWALD,,
"ST JOHN’S 5th July, 1913.",,
ABSTRACTS,,
OF ACTS FOR PROMULGATION,,
"Printed by Authority by Brown & Sons, Limited, “Times” Buildings, Douglas.",,
ABSTRACTS OF ACTS OF TYNWALD,,
"1.    THE GAMING AND BETTING ACT AMMENDMENT ACT, 1913.","YN SLATTYS GAMMAN AS CHEBBAL (LHIASAHEY), NUY CHEEAD YEIG AS THREE JEIG. ",
The object and purport of this Act are to provide for the punishment of persons using or frequenting a betting house.,Ta’n aigney as y chooish jeh'n Slattys shoh dy chiarail son kerraghey sleih jannoo ymmyd ny thaaghey thie-chebbal.,
"2. PUNISHMENT OF INCEST ACT, 1913.","YN SLATTYS KERRAGHEY CROIAGHT, NUY CHEED YEIG AS THREE-JEIG.",
The object and purport of this Act are to provide for the punishment of persons guilty of incest.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chiarail son dy cherraghey sleih kyndagh jeh croiaght.,
"3. THE PROBATION OF OFFENDERS ACT, 1913. ","YN SLATTYS PROWALTYS CHimMEE, Nuy CHEED YEIG AS THREE-JEIG. ",
"The object and purport of this Act are to make provision for the release on probation of offenders in certain cases, and for other matters incidental thereto.","Ta'n aigney as y chooish jeh’n Slattys shoh dy yannoo kiarail son livrey veih bondiaght er prowaltys jeh kimmee ayns cooishyn er-lheh, as son oyryn elley bentyn huggey.",
"4. THE FISHER DIVORCE ACT, 1913. ","YN SLATTYS SCARREE FISHER, NUY CHEED YEIG AS THREE-JEIG.",
,,
The object and purport of this Act are to dissolve the marriage of Caroline Maud Mary Fisher and Percy Fisher. ,Ta’n aigney as y chooish jeh'n Slattys shoh dy eaysley yn poosey jeh  Caroline Maud Mary Fisher as Percy Fisher.,
5. THE KINRADE DIVORCE ACT. 1913. ,"YN SLATTYS SCARREE KINRADE, NUY CHEED YEIG AS THREE-JEIG.",
,,
The object and purport of this Act are to dissolve the marriage of Joseph Kinrade and Emily Jane Kinrade.,Ta'n aigney as y chooish jeh’n Slattys shoh dy eaysley yn poosey jeh Joseph Kinrade as Emily Jane Kinrade.,
"6. THE HIGHWAY (MOTOR CAR) AMENDMENT ACT, 1913.","YN SLATTYS RAADYN M00AREY (CAAR MOTOR) LHLISAGHEY, NUY CHEEAD YEIG AS THREE-JEIG. ",
The object and purport of this Act are to empower the Local Government Board to make further regulations with regard to the use of motor cars and motor cycles.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chur ayns pooar yn Voayrd Gurneilys Ynnydagh dy yannoo annaghyn elley bentyn rish ymmyd jeh caayryn-motor as kiarklyn-motor.,
"7. THE ELEMENTARY SCHOOL TEACHERS (SUPERANNUATION) ACT, 1913. ","YN SLATTYS FIR-YNSEE BUNNEYDAGH (TOYRTYS FAAGAIL OIK), NUY CHEEAD YEID AS THREE-JEIG. ",
"The object and purport of this Act are to adapt the Elementary School Teachers Superannuation Act, 1912 (being an Act of the Imperial Parliament), and to make the provisions thereof operate as law in this Island.","Ta’n aigney as y chooish jeh'n Slattys shoh dy yeeasaghey yn Slattys Fir-ynsee Bunnedagh (Toyrtys faagail oik), Nuy cheead yeig as ghaa-yeig (Slattys jeh’n Ard-whail Hostin), as dy chur ny kiarailyn jeh hug yn leigh jeh'n Ellan shoh.",
"8. ISLE OF MAN INDUSTRIAL HOME ACT, 1913.","YN SLATTYS THIE TARooghys ELLAN VANNIN, NUY CHEEAD YEIG AS THREE-JEIG.",
"The object and purport of this Act are to enable the Trustees of the Isle of Man Industrial Home for Destitute Children to carry into etfect an agreement fur the sale of Strathallan Hall and premises to Joseph Cunningham, and for other purposes.","Ta'n aigney as y chooish jeh’n Slattys shoh dy chur pooar da ny Fir-hreishtee jeh’n Thie Tarrooghys Ellan Vannin son Paitchyn Hereigit dy chooilleeney bargane son creck Halley Strathallan gys Joseph Cunningham, as son oyryn elley.",
"9. THE LORD'S RENTS PURCHASE ACT, 1913. ","YN SLATTYS CHIONNAGHEY YN MAYLL CHIARN, NUY CHEEAD YEIG AS THREE-JEIG.",
,,
"The object and purport of this Act are to enable the trustees of the Common Lands ta acquire the Lord’s or Chief Rents of this Island, and to enable persons liable to pay such rents to redeem the same, and for other purposes.","Ta'n aigney as y chooish jeh’n slattys shoh dy chur ayns pooar ny Fir-hreishtee ny Thallooyn Theay dy chionnaghey Mayllyn Chiarn ny Ard-vayllyn jeh’n Ellan shoh, as dy chooney lesh sleih ta hie orroo dy eeck lheid ny mayllyn, dy aa-chionnaghey ad, as son cooishyn elley.",
"The Royal assent to the foregoing Acts was given by His Majesty, in Council at the Court nt Buckingham Palace on the 13th day of June, 1913.","Va’n coardaii Reeoil currit gys ny Slattysyn roie soit magh liorish E Ard Ooashley ayns Coonceil ec y Quaiyl ec y Plaase Buckingham er y trass-yeigoo laa jeh’n cheyeo vee, nuy cheead yeig as three-jeig.",
