English,Manx
TYNWALD,
"ST. JOHN’S, 6th JULY, 1936.",
ABSTRACTS OF ACTS OF TYNWALD,
Wt. E.469.—130/6/36,
"Printed (by Authority) by I.O.M. Examiner Ltd., Hill Street, Douglas.",
"1.— The Isle of Man Electric Light and Power Amendment Act, 1935. ",1.— Yn Slattys Soilshey as Pooar Electragh Lhiasaghey Nuy Cheead Yeig Queig as Feed.
The object and purport of this Act is to extend the powers of the Electricity Board.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lheidhaghey pooaraghyn yn Voayrd Electragh.
"2.— The Superannuation (Officers of Boards) Act, 1935. ",2.— Yn Slattys Toyrtys Faagail Oik (Fir-Oik Buird) Nuy Cheead Yeig Queig Jeig as Feed. 
The object and purport of this Act is to define the Boards to which the principal Act applies.,Ta’n aigney as y chooish jeh’n Slattys shoh dy yannoo baghtal quoi ta ny Buird goit stiagh liorish yn ard-slattys.
"3.— The Town and Country Planning Amendment Act, 1936.","3.— Yn Slattys Bailey as Cheer Cowraghey Lhiasaghey, Nuy Cheead Yeig Shey Jeig as Feed."
The object and purport of this Act is to enable the Development Board to make Interim Orders.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chur pooar da’n Boayrd son Fosley Magh y Cheer dy yannoo saraghyn tammyltagh.
"4.— The Factories and Workshops Amendment Act, 1936.","4.— Yn Slattys Caardeeyn as Shappyn-Obbyr Lhiasaghey, Nuy Cheead Yeig Shey Jeig as Feed. "
The object and purport of this Act is to extend the Factory Acts to harbours.,Ta’n aigney as y chooish jeh’n Slattys shoh dy heeyney ny Slattysyn Caardee da puirt-lhuingey.
"5.— The Agricultural Holdings Act, 1936. ","5.— Yn Slattys Cummalyn Eirinys, Nuy Cheead Yeig Shey Jeig as Feed. "
The object and purport of this Act is to provide security of tenure and ascertainment of fair rent of agricultural land.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chiarail shickyrys da cotleryn as dy hoiaghey mayll cairagh er thalloo-eirinys.
"6.— The School Teachers (Superannuation) Act, 1936. ",6.— Yn Slattys Fir-Ynsee (Toyrtys Faagail Oik) Nuy Cheead Yeig Shey Jeig as Feed.
The object and purport of this Act is to provide the basis of superannuation of teachers notwithstanding the economy cuts.,Ta’n aigney as y chooish jeh’n Slattys shoh dy hoiaghey undin son giootyn da fir ynsee er faagail oik dyn y wooise da ny giaraghyn sparailagh.
"7.— The Advertising Rate Act, 1936. ","  7.— Yn Slattys Keesh Hoilshee, Nuy Cheead Yieg Shey Jeig as Feed. "
The object and purport of this Act is to amend the constitution and extend the powers of the Publicity Board. ,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn reiltys as sheeyney magh ny pooaraghyn jeh’n Voayrd Hoilshee.
"8.— The Stamps Management Act, 1936. ","8.— Yn Slattys Cloughyn Gurneilys, Nuy Cheead Yeig Shey Jeig as Feed. "
The object and purport of this Act is to provide for the regulation of public stamps.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chiarail son gurneilys jeh cloughyn theayagh.
9.— The Rent (Restrictions) Act. 1936. ,9.— Yn Slattys Mayll (Lhiettalyn) Nuy Cheead Yeig Shey Jeig as Feed. 
The object and purport of this Act is to prolong the duration of the Rent Restriction Acts.,Ta’n aigney as y chooish jeh'n Slattys shoh dy heeyney magh bioys ny Slattysyn Mayll (Lhiettalyn).
"10.— The Port St. Mary Estate Act, 1936. ","10.— Yn Slattys Balley Purt Noo Moirrey, Nuy Cheead Yeig Shey Jeig as Feed."
,
The object and purport of this Act is to enable the Port St. Mary Commissioners to develop the Port St. Mary Estate.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chur pooar da Barrantee Purt Noo Moirrey dy osley magh yn Balley Purt Noo Moirrey.
"11.— The Children Amendment Act, 1936. ","11.— Yn Slattys Paitchyn Lhiasaghey, Nuy Cheead Yeig Shey Jeig as Feed."
,
The object and purport of this Act is to amend the Children Acts and the Probation of Offenders Act.,Ta’n aigney as y chooish jeh'n Slattys shoh dy lhiasaghey Ny Slattysyn Paitchyn as Yn Slattys Prowaltys Chimmee. 
,
"12.— The Slaughter of Animals Act, 1936.",12.— Yn Slattys Buitchoorys Beiyn. Nuy Cheead Yeig Shey Jeig as Feed.
The object and purport of this Act is to provide for the humane slaughter of animals.,Ta’n aigney as y chooish jeh’n Slattys shoh dy yannoo kiarail son buitchooragh beiyn er aght myghinagh.
"13.— The Bishop Barrow’s Charity Act, 1936.","13.— Yn Slattys Leggad Yn Aspick Barrow, Nuy Cheead Yeig Shey Jeig as Feed."
The object and purport of this Act is to co-ordinate the scholarships at King William’s College.,Ta’n aigney as y chooish jeh’n Slattys shoh dy cho-chiangley ny leaghyn ynsee ec yn Ard-Schoill Ree Illiam.
"14.— The Education (Peel Clothworkers Schools) Act, 1936. ","14.— Yn Slattys Ynsagh (Schoillyn ny Obbreeyn-Eaddee, Purt Ny Hinshey), Nuy Cheead Yeig Shey Jeig as Feed. "
"The object and purport of this Act is to transfer the Philip Christian Senior and Junior Schools, Peel, to the Education Authority, and the Infant School to the Diocesan Board of Finance",Ta’n aigney as y chooish jeh’n Slattys shoh dy livrey harrish ny Schoillyn Philip Christeen son paitchyn shinney as saa ec Purt ny Hinshey gys y Voayrd Ynsagh as y Sehoill son Oikanyn gys y Voayrd Resouragh yn Aspickys.
15.— The Isle of Man Constitution Amendment Act. 1936. ,"15.— Yn Slattys Reill Cheerey Ellan Vannin Lhiasaghey, Nuy Cheead Yeig Shey Jeig as Feed. "
The object and purport of this Act is to amend the law as to the election of members to the Council. ,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn leigh bentyn rish reih oltaghyn yn Choonceil.
"16.— The Highway Amendment Act, 1936. ","16.— Yn Slattys Raad Mooar Lhiasaghey, Nuy Cheead Yeig Shey Jeig as Feed. "
The object and purport of this Act is to amend tbe Highway Acts as to unadopted roads.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey ny Slattysyn Raad Mooar bentyn rish raaidyn neu-oltit.
17.— The Local Government Act. 1936.,"17.— Yn Slattys Gurneilys Ynnydagh, Nuy Cheead Yeig Shey Jeig as Feed."
The object and purport of this Act is to amend tlie Local Government Acts as to unadopted roads.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey ny Slattysyn Gurneilys Ynnydagh bentyn rish raaidyn neu-oltit.
"18.— The Trade Disputes Act, 1936. ","18.— Yn Slattys Streeughyn Keirdey, Nuy Cheead Yeig Shey Jeig as Feed. "
The object and purport of this Act is to establish Conciliation Boards and make provision with respect to trade disputes.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chur er cosh Buird Choardail as dy yannoo kiarail bentyn rish streeughyn keirdey.
19.— The Trade Disputes (Regulation) Act. 1936.,19.— Yn Slattys Streenghyn Keirdey (Gurneilys) Nuy Cheead Yeig Shey Jeig as Feed.
The object and purport of this Act is to prevent intimidation in case of a trade dispute.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiettal baggyrt as boiranys ayns streeughyn keirdey.
"20.— The Emergency Powers Act, 1936. ","20.— Yn Slattys Pooaraghyn Er-Lheh, Nuy Cheead Yeig Shey Jeig as Feed. "
The object and purport of this Act is to make provision for the protection of the community in cases of emergency.,Ta’n aigney as y chooish jeh’n Slattys shoh dy yannoo kiarail son coadey ny sleih ayns traaghyn dangeyragh er-lheh.
"21.— The Law Reform (Married Women and Tortfeasors) Act, 1936. ","21.— Yn Slattys Leigh Couyral (Mraane Phoost as Drogh Yantee, Nuy Cheead Yeig Shey Jeig as Feed. "
The object and purport of this Act is to amend the law as to the rights and liabilities of married women and as to the liability of tortfeasors.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn leigh bentyn rish cairyn as toilchinys jeh mraane phoost as toilchinys jeh drogh yantee.
The Royal Assent to the foregoing Acts was given on the dates set out hereunder :— ,Va’n Coardail Reeoil currit gys ny Slattysyn goll-roie er ny laghyn fo soit magh :— 
"Nos. 1 and 2. at Buckingham Palace, 15th July 1935;","Earrooyn 1 as 2 ec y Plaase Buckingham, 15oo 7oo 1935;"
"Nos. 3, 4, 5, 6, 7, and 8, at Buckingham Palace, 3rd March, 1936; ","Earrooyn 3, 4, 5, 6, 7 as 8 ec y Plaase Buckingham, 300 300 1936;"
"Nos. 9 and 10, at Buckingham Palace, 24th March, 1936; "," Earrooyn 9 as 10 ec y Plaase Buckingham, 24oo 3oo 1936;"
"Nos. 11, 12, 13, 14, 15, 16, and 17, at Buckingham Palace, 30th April, 1936; ","Earrooyn 11, 12, 13, 14, 15, 16 as 17 ec y Plaase Buckingham, 30oo 4oo 1936; "
"Nos. 18, 19, 20 and 21, at Buckingham Palace, 28th May, 1936.","Earrooyn 18, 19, 20 as 21 ec y Plaase Buckingham, 28oo 5oo 1936."
