English,Manx,
TYNWALD,,
"ST JOHN’S 5th July, 1945.",,
ABSTRACTS,,
OF,,
ACTS FOR PROMULGATION,,
WT. E.1836—200/6/45.,,
"Printed (By Authority) by I.O.M. Examiner Ltd, Hill Street, Douglas",,
"1.— The Workmen’s Compensation (Temporary Increases) Act, 1944.","1.— Yn Slattys Aayeeilley Obbreeyn (Bishaghtyn Tammyltagh), Nuy cheead yeig, kiare as daeed.",
"The object and purport of this act is to increase temporarily the supplementary allowances payable to workmen under the Workmen’s Compensation Act, 1919.","Ta’n aigney as y chooish jeh’n Slattys shoh dy vooadaghey rish tammylt ny toyrtyn vooadit eeckit da obbreeyn fo’n Slattys Aayeeilley Obbreeyn, Nuy cheead yeig, nuy-jeig.",
"2.— The Port Erin Biological Station and Fish Hatchery Act, 1944.","2.— Yn Slattys Ynnyd Ynsagh-Bea as Thie-Aalagh Eeastee Purt Chiarn, Nuy Cheead yeig, kiare as daeed.",
The object and purport of this act is to increase temporarily the annual contribution to the Port Erin Biological Station and Fish Hatchery.,Ta’n aigney as y chooish jeh’n Slattys shoh dy vooadaghey rish tammylt y cohoyrtys bleeanagh da’n Ynnyd Ynsagh-Bea as thie Aalagh Eeastee Purt Chiarn.,
"3.— The Licensing (War Emergency Fees) Repeal Act, 1944.","3.— Yn Slattys Oastys, Anvioys (Eeckyn ’sy Foaynoo Er-lheh Caggee), Nuy cheead yeig, kiare as daeed.",
"The object and purport of this act is to repeal the Licensing (War Emergency Fees) Act, 1940.","Ta’n aigney as y chooish jeh’n Slattys shoh dy rassey yn Slattys Oastys (Eeckyn ’sy Foaynoo Er-lheh Caggee), Nuy cheead yeig as daeed.",
"4.— The House of Keys Election Act, 1944.","4.— Yn Slattys Reih yn Kiare as Feed, Nuy cheead yeig, kiare as daeed.",
The object and purport of this act is to enable a candidate to obtain a current list of Voters for an electoral district on special terms.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chur pooar da shirreyder-oik geddyn coontey noa dy heideryn son rheynn teihderagh ec leagh er-lheh.,
"5.— The Education (Young People’s Welfare) Act, 1944.","5.‚— Yn Slattys Ynsagh (Speeideilys Feallagh Aegey), Nuy cheead yeig, kiare as daeed.",
"The object and purport of this act is to provide for the development of facilities for, and the encouragement of young people’s welfare.",Ta’n aigney as y chooish jeh’n Slattys shoh dy chiarail son hoshiaghey as greinnaghey saaseyn cour speeideilys feallagh aegey.,
,,
"6.— The Income Tax (Appropriation) Act, 1945.","6.— Yn Slattys Keesh Cosney-Vleeanagh (Cur-ry-lhiattee), Nuy cheead yeig, queig as daeed.",
"     The object and purport of this act is to provide for a gift of £250,000 from the Income Tax Fund to His Majesty’s Government towards the cost of the war.","Ta’n aigney as y chooish jeh’n Slattys shoh dy chiarail son gioot jeh daa cheead jeih as daeed thousane punt, ass Stoyr Keesh Cosney-Vleeanagh [1]",[1] words translating [to His Majesty’s Government towards the cost of the war] are missing from the Manx.
"7.—  The Cattle Diseases (Prevention) Act, 1945.","7.— Yn Slattys Doghanyn Ollee (Lhiettalys), Nuy cheead yeig, queig as daeed.",
"The object and purport of this act is to repeal the limit of compensation in section 19 of the Catle Diseases (Prevention) Act, 1929.","Ta’n aigney as y chooish jeh’n Slattys shoh dy rassey cagliagh yn aayeeilley ’sy nuyoo ayrn jeig jeh’n Slattys Doghanyn Ollee (Lhiettalys), Nuy cheead yeig, nuy as feed.",
"8.— The Local Government (Amendment) Act, 1945.","8.— Yn Slattys Gurneilys Ynnydagh (Lhisaghey), Nuy cheead yeig, queig as daeed.",
"The object and purport of this act is to amend the Local Government Acts, 1916 to 1943.","Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey ny Slattysyn Gurneilys Ynnydagh, Nuy cheead yeig, shey-jeig gys Nuy chead yeig, tree as daeed.",
"9.— The Local Government (Milk and Dairies) Amendment Act, 1945.","9.— Yn Slattys Gurneilys Ynnydagh (Bainney as Thieyn-Vainney), Lhiasaghey, Nuy cheead yeig, queig as daeed.",
"The object and purport of this Act is to amend the Local Government (Milk and Dairies) Act, 1934, and to make further provisions with regard to the sale of milk.","Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn Slattys Gurneilys Ynnydagh (Bainney as Thieyn-Vainney), Nuy cheead yeig, kiare-jeig as feed, as dy yannoo tooilley kiarail bentyn da creck bainney.",
"10.— The Ramsey Swing Bridge Transfer Act, 1945.","10.— Yn Slattys Livrey-harrish Droghad Leaystagh Rhumsaa, Nuy cheead yeig, queig as daeed.",
The object and purport of this act is to transfer the Ramsey Swing Bridge to the Isle of Man Harbour Commissioners.,Ta’n aigney as y chooish jeh’n Slattys shoh dy livrey harrish Droghad Leaystagh Rhumsaa da Barrantee Puirt Ellan Vannin.,
"11.— The House of Keys Election (Votes of Members of His Majesty’s Forces and Merchant Navy) Act, 1945.","11. Yn Slattys Reih yn Kiare as Feed (Teihyn Olteynyn Sheshaghtyn Chaggee e Ard-Ooashley as y Lhuingys Traghtee), Nuy cheead yeig, queig as daeed.",
The object and purport of this Act is to enable members of His Majesty’s Forces and members of the Merchant Navy to vote at elections of members of the House of Keys.,"Ta’n aigney as y chooish jeh’n Slattys shoh dy chur pooar da olteynyn Sheshaghtyn-Chaggee e Ard-ooashley as olteynyn y Lhuingys Traghtee, teiy ec reihyn olteynyn yn Kiare as Feed.",
"12.— The Purchase Tax Amendment Act, 1945.","12.— Yn Slattys Keesh er Kionnaghey, Lhiasaghey, Nuy cheead yeig, queig as daeed.",
The object and purport of this Act is to amend the law with respect to purchase tax.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiassaghey yn leigh bentyn da’n Keesh er Kionnaghey.,
"13.— The Intoxicationg Liquor (Sale to Persons under Eighteen) Act, 1945.","13.— Yn Slattys Jough Veshtalagh (Creck da feallagh fo Hoght-jeig), Nuy cheead yeig, queig as daeed.",
The object and purport of this Act is to amend the law as to the sale of intoxicating liquor to persons under eighteen years of age.,Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn leigh bentyn da creck jough veshtalagh da feallagh fo hoght bleeantyn jeig dy eash.,
"14.— The gaming Betting and Lotteries Act, 1945.","14. Yn Slattys Gammanagh, Chebbal as Cron-hayrnyn, Nuy cheead yeig, queig as daeed.",
The object and purport of this Act is to amend the law relating to gaming betting and lotteries.,"Ta’n aigney as y chooish jeh’n Slattys shoh dy lhiasaghey yn leigh bentyn da gammanagh, chebbal as cron-hayrnyn.",
"15.— The Validation of War-time Leases Act, 1945.","15.— Yn Slattys Fondid Conaantyn-Mayltee ayns Traa-caggee, Nuy cheead yeig, quig as daeed.",
The object and purport of this Act is to validate tenancy agreements for periods depending on the duration of the war.,Ta’n aigney as y chooish jeh’n Slattys shoh dy yannoo fondagh conaantyn-tannystys car earishyn croghey er lhiurid y caggey.,
The ROYAL ASSENT to the foregoing Acts was given on the dates set out hereunder:—,Va’n Cordail Reeoil currit da ny Slattysyn goll roish er ny laghyn fo soit magh:—,
"Nos. 1, 2, 3, and 4 at Buckingham Palace ... 10th August, 1944.","Earrooyn ’nane, jees, tree as kiare ec y Plaase Buckingham y jeihoo laa jeh’n Hoghtoo vee, Nuy cheead yeig, kiare as daeed.",
"No. 5. at Buckingham Palace ... 8th December, 1944.","Earroo queig ec ec y Plaase Buckingham yn hoghtoo laa jeh’n Nah vee yeig, Nuy cheead yeig, kiare as daeed.",
"Nos 6, 7, 8, 9 and 10 at Buckingham Palace ... 24th January, 1945.","Earrooyn shey, shiaght, hoght, nuy as jeih ec y Plaase Buckingham y chiarroo laa as feed jeh’n Chied vee, Nuy cheead yeig, queig as daeed",
