English,Manx
TYNWALD,
"ST JOHN’S 5th July, 1920.",
,
ABSTRACTS,
OF,
ACTS FOR PROMULGATION,
,
"Printed by Authority by Brown & Sons, Limited, “Times” Buildings, Douglas.",
ABSTRACTS OF ACTS OF TYNWALD,
"1._ THE SCHOOL TEACHERS’ SUPERANNUATION ACT, 1919.",YN SLATTYS FIR-YNSEE TOYRTYS FAAGAIL OIK NUY CHHEAD YEIG AS NUY-JEIG
"The object and purport of this Act are to extend to teachers in the Isle of Man the benefits under the School Teachers’ Superannuation Act, 1918 (An Act of the Imperial Parliament).",TA’N aigney as y chooish jeh’n Slattys shoh dy heeynaghey gys fir-ynsee ayns Ellan Vannin ny vondeishyn jeh’n Slattys Fir-ynsee Faagail Oik (Slattys jeh’n Ard-whaiyl Hostyn).
"2.— THE ISLE OF MAN CONSTITUTION AMENDMENT ACT, 1919.",YN SLATTYS REILL-CHEEREY ELLAN VANNIN LHIASAGHEY NUY CHEEAD YEIG AS NUY-JEIG
The object and purport of this Act are to amend the constitution of the Legislative Council of the Isle of Man and purposes incidental thereto.,TA’N aigney as y chooish jeh’n Slattys shoh dy yannoo ny share yn chagglym jeh’n Coonceil Slattysagh Ellan Vannin as oyryn bentyn rish.
"The Royal assent to the two preceding  Acts was given by His Majesty in Council at the Court at Buckingham Palace on the 18th day of August, 1919.","     Va’n coardail Reeoil currit gys yn daa Lattys goll roie liorish E Ard Ooashley ayns Coonseil ec y Quaiyl ec Plaase Buckingham er yn hoghtoo laa jeh’n hoghtoo vee, nuy cheead jeig as nuy-jeig."
"3.— THE CIVIL REGISTRATION (MARRIAGES) AMENDMENT ACT, 1919.",YN SLATTYS RECORTYSSYN THEAYAGH (POOSAGHYN0 NUY CHEEAD YEIG AS NUY YEIG.
"The object and purport of this Act are to amend the Civil Registration (Marriages) Act, 1910, as to the custody of certain registers.",TA’N aigney as y chooish jeh’n Slattys shoh dy yannoo ny share yn Slattys Recortyssyn Theayagh (Poosaghyn) nuy cheead yeig as jeih bentyn rish currym recortyssyn er-lheh.
"The Royal Assent to the foregoing Act was given by His Majesty in Council at the Court at Buckingham Palace on the 9th day of October, 1919.",VA’N Choardail Reeoil currit gys yn Slattys shoh liorish E Ard Ooashley ayns Coonceil ec yn Quaiyl ec yn Plaase Buckingham er yn nuyoo laa jeh’n jeihoo vee Nuy cheead yeig as nuy-jeig.
"4.— THE RAMSEY WATERWORKS ACT, 1920.",YN SLATTYS OBBRAGHYN-USHTEY RUMSAA NUY CHEEAD YEIG AS FEED
"The object and purport of this Act are to extend the borrowing powers of the Ramsey Waterworks Company, Limited.",TA’N aigney as y chooish jeh’n Slattys shoh dy vooadaghey ny pooaraghyn jeh’n Sheshaght Obbraghyn-Ushtey Rumsaa dy ghoaill er yeeasaght.
"5.— THE BASTARDY ACT AMENDMENT ACT, 1920.",YN SLATTYS OAINJERYS LHIASAGHEY NUY CHEEAD YEIG AS FEED.
"The object and purport of this Act are to amend the Bastardy Act, 1910, as to the rate of payment for maintenance of an illegitimare child.",TA’N aigney as y chooish jeh’n Slattys shoh dy yannoo ny share yn Slattys Oainjerys nuy cheead yeig as jeih bentyn rish yn towse jeh eeckyn son troggal lhiannoo oainjeragh.
"6.— THE RUSHEN WATER ACT, 1920.",YN SLATTYS USHTEY RUSHEN NUY CHEEAD YEIG AS FEED.
