English,Manx,Notes
"The Arminian Magazine, vol. XIX, 1796, p 286",,
Anecdote of a Gentleman at Bath,Coontey jeh Dooinney Seyr ayns Bath,
"[from Wills’s Spiritual Register Vol. iii, 1795.]",,
"A Young woman, servant at Bath, was brought to the knowledge of God[1], in the year 1788.","Ayns yn Vlein Un Thousane Shiagh cheead, as kiare feed as hoght. Ren Jee fakin ah mie, Dy chur lesh Ben aeg, (Sharvaant ayns Bath) dys tushtey jeh’n irriney myr t’eh ayns Creest Yeesey.",[1] ‘the knowledge of God’ — the Manx translation gives — ‘knowledge of the truth as it is in Jesus Christ’
"She like the woman of Samaria, could not help speaking of the things she had heard and experienced to her fellow-servants;[2]","As v’ee myr yn Ven jeh Samaria, dy mennick loayrt jeh ny reddyn v’ee er chlashtyn as er n’ennaghtyn;",[2] ‘to her fellow-servants’ — missing from thre Manx translation.
"and the Lord was pleased to accompany her words with a divine blessing. to three or four of them: the coachman in particular was turned away from his service for fear, (as his master said) that he would turn his horses to be Methodists, and drive him to hell.","ren Jee cur eh Vannaght lesh ny goan eck as hug eh ad lesh pooar dys cree three ny kiare jeh ny sheshaghyn sharvaant eck: agh er-lheh yn dooinney va geiyrt yn Ainagh, V’eshyn chyndaait ass shirveish yn Dooinney Seyr er aggle, (myr dooyrt eh) dy jinnagh eh chyndaa ny cabbil echey dy ve Methodistyn, eisht veagh eshyn eiyrit dys niurin.",
"In the summer of 1793[3], the master himself being taken ill, and given over by the physicians, one day he asked them, “If they thought there was any hope of his recovery?” . They replied in the negative.","Mysh Queig Bleeaney ny lurg shoh, va’n Mainshter hene as eh goit doogh, as va’n Er-lhee er chur seose eh er son baase,—agh un laa dennee yn Mainshter jeh, “my va treishteil erbee echey dy jinnagh eh cowral? Dreggyr yn Er-lhee nagh row.","[3] ‘In the summer of 1793,’ — the Manx translations gives ‘About five years after this,’"
"Several of his friends were in the room at the: same time, and the servant before-mentioned was then waiting upon the company; the gentleman, with great concern, said, [4] “And can none of you all be of any service to a dying man?” He then spoke to this young woman, “Nor can you help me in this present sad condition?”","Eisht loayr yn Mainshter rish shartanse jeh eh chaarjyn v’ayns yn Shamyr, as dooyrt eh lesh lane imnea,—Nod unnane jhiu ve jeh veg yn shirveish da Dooinney ta ergerrey da’n vaase? Eisht loayr eh rish yn Ven-aeg va roye enmyssit (V’ee tendeil er’n sheshaght) as dooyrt eh ree, “Nod uss cooney lhiam ayns yn stayd trimshagh aym.”","[4] ‘Several of his friends were in the room at the: same time, and the servant before-mentioned was then waiting upon the company; the gentleman, with great concern, said,’ — the Manx translation gives; ‘Then the gentleman spoke to several of his friends that were in the room, and he said with great concern;’"
"She replied, “Sir, all that I can do is to pray for you; and that I have done many times.”","Dreggyr ish, “Vainshter, ooilley ny od-yms jannoo she dy phrayl er nyn son; as shen ta mee er n’yannoo lane ceayrtyn.”",
"He answered with some emotion, “Did you ever pray for me ?”. I insist on it, that you pray for me now: shut the door, let not one go out of the room.”","Dreggyr eshyn, lesh lane ennaghtyn, “Ren oo rieau prayl er my hon’s. Eisht ta mee kiarit, dy jean oo prayl er my hon nish: jeigh yn dorrys, as nagh lhig da unnane jeh’n sheshaght goll magh.”",
