Manx,English,Notes
"The Methodist Magazine, vol. XXII, 1799, pp. 560-3.",,
Anecdote on Family Religion,Coontey Yindysagh jeh Eirinnagh As Masoonagh.[1],[1] The title in Manx can be translated as ‘A wonderous account of a farmer and a mason’. In some parts of the translation masoonagh (‘mason’)   is used where ‘builder’ appears in the original text.
"About the year 1762, (says the pious minister,) I observed a man whose complexion indicated something of an uncommon dejection of spirit; the features of his face appeared to have been considerably changed by a long series of soul concern.","Ta’n Preachoor ta choyrt yn coontey as eh loayrt myr shoh.[2] Mysh yn vlein Un Thousane Shiagh cheead, as Three-feed as jees. Hug mee myner dooinney ayns yn chaglym-cooidjagh as va chullyr as chummey eh eddin myr dy beagh ad caghlaait liorish ve ayns seaghyn mysh eh annym son tra liauyr.","[2] This line added by the translator, meaing; ‘It is the preacher who gives the account, speaking thus:’"
"Upon enquiry, I soon found that he lived about two miles from the  place of worship.","Liorish briagh, Hooar mee magh dy row eh chummal mysh daa veeley veih’n boal wooashlee ain.",
"I judged, from the distress I was persuaded he must be in, that I should be a welcome visiter at his house. Accordingly I went, and[3] knocked at his door: But upon seeing me, he appeared much confused; and at first, my expectations of having such a welcome, were quite disappointed.[4]","Ren mee briwnys, veih’n seaghyn v’eh jeeaghyn dy ve foo, dy beign persoon veagh eh booiagh fakin ec eh hie. Er shen hie mee, as thra rosht mee chronk mee ec yn dorrys: Agh thra honnick eh mee v’eh ceaut bun-ry-skyn; as hoshiaght, ghow mee aggle dy beign mollit, ayns dy beagh eh booiagh fakin mee.","[3] The Manx translation adds; ‘when I arrived’
[4] The Manx translation gives; ‘I was afraid that I would be disappointed in (assuming) that he would be pleased to see me.’"
"After some recollection, he bid me follow him. He then led me across the house into a back parlour[5]. After sitting down, he accosted me in the following manner:","Ny-yeih lurg da smooinaghtyn red beg, hir eh orrym cheet stiagh. Lurg dooin v’er hoie sheese, loayr eh rhym er yn aght shoh:",[5] The Manx translation simply gives ‘he asked me to come in’.
"“You will think my conduct singular, but I tell you I dare not shake hands with you, because I know it will make my hell the hotter: Nor can I sit opposite to you when you preach, for I am persuaded you will appear against me at the Judgment-Day. While you speak to convinced sinners, I know that I am a convinced sinner; but when you mention the comforts such frequently enjoy after conviction, I am fully convinced that I have never received any comfort at all. , Though I am possessed of an estate, and have a good trade, and an agreeable family: yet I am miserable in the midst of all, and enjoy nothing; for I live under this impression, that “I am sure of going to hell.” He spoke these words like one who fully believed what he said.","“Foddee shiuish coontey mish persoon feer yindyssagh ayns yn aght aym, Agh ta mee ginsh diu ny by-loys dou craa laueyn riu, son ta fys aym dy jean ah yn niurin aym ny s’choh: Chamoo oddym soie jeeragh erriu tra ta shiu preacheil, son ta mee shickyr jeh dy jean shiu gymmyrkey feanish m’oi er Laa ny Briwnys. Tra ta shiu loayrt rish peccee ta dooisht dy akin shilley jeh’n stayd caillit oc, ta fys aym dy vel mish unnane jeu; agh tra ta shiu jannoo imraa er yn gherjagh ta n’lheid dy mennick gennaghtyn, ta mee shickyr nagh vel mish rieau er n’ennaghtyn gherjagh erbee. Gha dy vel aym Ynnyd thallooin, as Cheird vie, as marish shen Lught-thie sheeoil, Ny-yeih ta mee neu-vaynrey, as cha noddym goaill boggey ayn doo; son ta’n smooinaghtyn shoh dy mennick aym, dy “vel mee shickyr jeh goll dys niurin.” Ren eh loayrt ny goan shoh myr persoon veagh dy shickyr credjal ny v’eh gra. ",
"Upon asking him, How long he had been in this unhappy frame of mind? He answered, “Seven years.”","Dennee mee jeh, Caid v’eh ayns yn stayd neu-vaynrey shoh? Dansoor eh, “Shiagh bleeaney.”",
"I asked him, How, and in what manner he came to be in such a despairing way? He said, “I went to persecute and abuse Mr. Grimshaw, (it was the great Mr. Grimshaw of Haworth, who then lived within a few miles of him[6],) and I was struck with horror, and have been in distress ever since.”","Eisht dennee mee jeh, Cre’n oyr, as cre’n aght haink eh dy ve foo mee-chredjue. Dooyrt eh, “Hie mee dy yannoo tranlaase as dy oltooan yn Dooinney mie shen[7] Mr. Grimshaw, As va mee ec yn thra shen er ny woalley lesh aggle, as atchim, as ta mee er ve rieau er dy henney foo’n seaghyn shoh.”","[6] ‘it was the great Mr. Grimshaw of Haworth, who then lived within a few miles of him’ — missing from the Manx translation.
[7] yn Dooinney mie shen] ‘that good Man’ ; added by the translator."
"The length of the time that he had been in this distressing situation, was that which surprized me more than any other circumstance.[8]",,[8] This line is missing from the Manx translation.
"I asked him,–If he was willing to comply with any advice I should think proper to give him, in this gloomy situation? He readily answered in the affirmative.","Dennee mee jeh, beagh eh booiagh jannoo ny yinnin cur coyrle da, Ren eh dy arryltagh gra dy jinnagh.",
"After mentioning what I wished him to read, I requested him to begin family-prayer; he having first promised that whatever I should think proper to advise he would comply with. I then called his wife into the room; she was a woman that made no profession of religion at that time, but I thought her compliance would help him over the difficulty, and asked her, If she had any objection to his beginning to pray in the family?[9]","Lurg dou v’er chur red beg dy coyrle as er n’insh da ny va mee laccal eh dy lhaih, ren mee geearree dy jinnagh eh toshiaght er freayll Padjer Lught-thie;  Eisht loayr mee rish yn Ven echey, as dooyrt mee r’ee, dy row mee jerkal nagh beagh veg eck n’oi yn sheshey eck son freayll Padjer Lught thie? —","[9] The Manx translation of this paragraph is somewhat shorter; ‘After giving him a little advice and telling him  what I wanted him to read, I asked him to begin family-prayer. Then I spoke to his wife, and I said to her that I was expecting that she wouldn’t have an objection to her husband holding family-prayer.’"
"“No.” I then told her, I hoped that she herself would see that it was never neglected; to which she readily consented. I engaged him also to call in all his servants and children.","Dansoor ee, Nagh beagh.[10] Dooyrt mee er-y-fa shen r’ee, dy row mee treishteil dy jinnagh ee fakin nagh beagh ah jarroodit; dooyrt ee dy jinnagh. Hooar mee eh myrgeddin dy ghialdyn dy jinnagh eh feddin ooilley eh chloan as sharvaantyn dys Padjer.— ","[10] Dansoor ee, Nagh beagh.] —‘She answered That  there wouldn’t be.’"
"He had at that time one of the most abandoned men in the whole country, building a farmer’s barn for him; this man, having been remarkable for his persecuting religious persons, laughed aloud as the master was praying.[11] Having done this repeatedly, one morning a little before the time for family devotion, (my friend,) who had prayed now several times with his family, felt his heart fail him so much, on account of the scorn and contempt of this master builder, that he secreted himself, supposing his wife would think him called away on some urgent business, and therefore he could omit the duty for once;[12]","Va masoonee echey yn thra shen troggal soalt noa, as va’n Mainshter oc unnane jeh ny drogh yentee smoo ayns yn slane cheer, as ren eh lane tranlaase er pobble Yee. Ren eh shoh garaghtee dy ard choud as va’n Mainshter prayl. Ren ah shoh Keayrt lurg Keayrt, dys ren cree yn Mainshter ghannoonaghey ayns cooilleeney eh churrym kyndagh rish craid yn Masoonagh, as smooinee eh un voghrey dy jinnagh eh follaghey eh-hene, as dy beagh eh scapit[13] veih eh churrym son Keayrt, as v’eh jerkal dy jinnagh yn Ven echey smooinaghtyn dy row eh dy laccal ayns siyr er oyr ennagh, ","[11] The Manx translation gives: ‘He had masons at that time, building a new barn, and their boss was one of the biggest evil-doers in the whole land, and he did much persecution of God’s people, This fellow laughed aloud as the master was praying.’
[12] The Manx translation gives: ‘He did this repeatedly, until the master of the house’s courage failed in carrying out his duty, because of the builder’s mockery, and one morning he thought that he would hide and that he could escape from his duty for once, supposing his wife would think that he was needed in a hurry for some reason.’
[13] scapail—can be causative in Manx, so can be used for ‘rescuing’ as well as ‘escaping’."
"but she perceived him walk towards the brewhouse, and when the time for prayer came; not seeing him come in as usual, she went into the brewhouse, rather suspecting he had got out of the way on account of this man, and found her frightened husband hid behind the brewing vessels.[14]","Ny-yeih hug yn ven tastey da goll roish, as tra haink oor yn phadjer, cha row eh ry-akin cheet myr v’eh cliaghtey, as hie ee er eh eiyrtys, ouryssagh dy row eh er gholl ass yn raad er coontey yn Masoonagh. Hie ee stiagh ayns yn thie-imbyl, as hooar ee ey sheshey ayns shen follit chooyl ny siyn imbyl.—","[14] The Manx translation gives; ‘Nevertheless, his wife perceived him going, and when the time for  prayer came; he wasn’t to be seen coming in as usual, and she went following after him, suspecting he had gone out of the way on account of the mason. She went into the brew-house, and she found her husband there, hid behind the brewing vessels.’"
"She immediately accosted him, “My love, come out, come out! did not the Minister make me promise that I would see family prayer performed, and would I be discouraged by yonder foolish fellow? I begin now to like it myself, it makes us look so orderly and re- gular.” I have repeatedly heard him say, he followed his wife as a bear to a stake, scarcely knowing how he should get through the performance that morning.[15]","As dooyrt ee, “OO my Heshey, tar magh, tar magh! nagh ren yn Preachoor cur orrym gialdyn nagh beagh padjer lught-thie lhiggit shaghey, as beign freaylt veih my churrym er coontey yn ommydan shid? Ta mish mee hene as mee goaill taitnys ayn, son t’eh freayll oardyr ny vud ain.” Ta mee er chlashtyn eh gra er dy henney, dy jagh eh geiyrt er yn ven echey myr Muc-awin dys stak, dyn fys echey cre’n aght dy yeddin trooid yn phadjer.—","[15] The Manx translation gives: And she said, “You, my love, come out! Come out! Did not the Minister make me promise that Family Prayer would not be neglected, and would I be kept from my duty on account of yonder foolish fellow? I myself am someone who takes pleasure in it, because it keeps order amongst us.” I have heard him say since, that he followed his wife like a bear to a stake, not knowing how he should get through the prayer."
,"Agh t’eh rayt, Bee beeal dy chooilley olkys er ny yeigh.[16]",[16] Translator’s addition.
"This uncommon persecutor, perceiving that his laughing had caused some disturbance, was determined that at that time he would refrain from making any noise, but did not know how to avoid it, till he contrived to fill his mouth with the coat of his companion, which he did in so complete a manner, that he thought, however he might be diverted, he could not now make any noise.[17] ","Hug yn Masoonagh my-ner, dy row yn garaghtee echey er ghoostey anvea sy thie, as v’eh kiarit dy reayll eh hene foo smaght yn keayrt shen, as tra ren ad gliooney ren eh lhieeney eh veeal lesh chooat unnane jeh eh heshaghyn masoonee, ren eh shoh er lheid yn aght as dy smooinee, eh dy voddagh eh ghamman hene ve echey, as foast fegooish jannoo feiyr. ","[17] The Manx gives ‘The mason perceived that his laughing had caused some disturbance in the house, and was determined to keep himself under control on that occasion, and when they knelt he stuffed his mouth with the coat of one of his fellow masons. He did this in such a way that he thought that he could have his own fun, and yet without making a noise. "
"But God, whose ways are as much higher than our ways, as the heavens are above the earth, while he had his mouth filled with his companion’s coat, struck him with an arrow of conviction to the very heart. No sooner had the master concluded his praying, than the bricklayer stole from his workmen into a private corner, and wept, and confessed his sin, under the most awful apprehension of his lost condition.[18]","Agh ta Jee er ghra, Myr ta ny niaughyn ny syrjey na yn thalloo, myr shen ta ny raaidyn aym’s ny syrjey na ny raaidyn euish, as ny smooinaghtyn aym’s erskyn ny smooinaghtyn euish, choud as va beeal yn Masoonagh myr shoh lhieent lesh chooat eh heshey, v’eh bwoailt lesh side yn Ooilley-Niartal, as v’eh, myr ta Job er ghra, Va atchimyn Yee soiaghey ad hene ayns order caggee n’oi.3 As cha leah as va’n Mainshter er chur jerrey er eh phadjer, ren yn Masoonagh goll roish dys corneil follit, veih ny masoonee elley, as ayns shen ren eh dobberan, as ghoaill rish eh pheccaghyn, ayns yn aght s’trimshagh.","[18] But, God has said, As the heavens are higher than the earth, so are my ways higher than your ways, and my thoughts above your thoughts. Whilst the mouth of the mason was filled with his partner’s coat in this way, he was struck by the bolt of the Almighty, and it was, as Job has said, that God’s terrors were setting themselves in battle-order against him. And as soon as the master of the house had concluded his praying, than the bricklayer stole from his workmen into a private corner, and wept, and confessed his sins in the most mournful manner."
