Manx,English,Manx Original,Notes,Date,Source
"Tra ta yn derrey vought cooney lesh bought elley, ta Jee hene garaghtee","‘When one poor man relieves another, God himself rejoices at it;” (or, as it is in the original) ‘he laughs outright.” ",,"[A Tour Through the Isle of Man, D. Robertosn. Pub. E. Hodson, London. 1794.",1794,A Tour Through the Isle of Man
"Ny freggyr ommydan cordail rish e ommijys, er aaggle dy bee oo hene casley rishyn.",Do not answer a fool according to his stupidity for fear that you yourself will be like him. ,,"[M.A., 10/07/1802]",10/07/1802,The Manks Advertiser
Jeeagh shiu cre ta mee er gheddyn voish Aspick Murrey ... cha nel eh er yarrood mee.,See what I have received from Bishop Murray ... he has not forgotten me.,Jeeagh shiu cre ta me er gheddyn voish Aspick Murrey ... cha nel eh er yarrood me.,"[M.S., 03/01/1846]",03/01/1846,The Manx Sun
gressan,"‘a snuff he manufactured by himself from tobacco leaves dried by the fire, which he carried in an old fashioned horn, resembling a powder horn’.",,"[M.H.,29/09/1852]",29/09/1852,Mona's Herald
"“Dy jean foast yn billey-olive failleil, as nagh jean ny magheryn gymmyrkey beaghey; dy bee yn chioltane giarit jeh veih’n woaillee, as nagh bee dew ayns ny bwaneyn.’ ","“the labour of the olive shall fail, and the fields shall yield no meat; the flock shall be cut off from the fold, and there shall be no herd in the stalls:” [(Habakkuk 3:17) ",,"[M.S.,29/09/1852]",29/09/1852,The Manx Sun
garran,cart pony,,"[M.S.,10/12/1853]",10/12/1853,The Manx Sun
"“Jarroo, jarroo!”","‘Indeed, indeed’",,"[M.H.,01/03/1854]",01/03/1854,Mona's Herald
Niclas Moor,Nicholas the Great,,"[M.H.,14/03/1855]",14/03/1855,Mona's Herald
caart jough,a quart of beer,,"[M.S.,15/11/1856]",15/11/1856,The Manx Sun
boggane,a ghost,,"[M.S.,15/11/1856]",15/11/1856,The Manx Sun
"Augh! as augh! My ghriah Ballaragh,","Alas! Alas! my sweet Ballaragh, ","Augh! as augh! my griah Ballaragh,","[M.H.,05/05/1858]",05/05/1858,Mona's Herald
"Vallaragh, my chree, cha vaikym oo arragh;",Ballaragh of my heart I shall never see thee more; ,"Vallaragh, my chree, cha vaik ym oo arragh;",,05/05/1858,Mona's Herald
"Ta mee my hassoo, as my ghreeym rish y voalley,","Here I stand with my back to the wall, ","Ta mee my hassoo, as my ghriem rish y volley,—",,05/05/1858,Mona's Herald
Cummal seose kiuall gys cloan ny moddee!,Keeping up music to the children of dogs. ,Cummal seoise kiole gys cloan ny moadea!,,05/05/1858,Mona's Herald
"“Agh nee my Yee ooilley nyn veme y yannoo magh cordail rish e verchys ayns gloyr, liorish Creest Yeesey.”","“But my God will satisfy all our needs according to the his wealth in glory, by Jesus Christ.”",,"[M.H.,29/02/1860]",29/02/1860,Mona's Herald
"As dooyrt y Chiarn Jee, Cur-my.ner ta’n dooinney myryien er jeet dy ve myr unnane-jinyn, dy hoiggal mie as sie: as nish son nagh der eh magh e laue, as dy gow eh myrgeddin jeh billey’n vea, as gee jeh, as ve dy bragh beayn; ","And the Lord God said, Behold the man is become as one of us, to know good and evil: and now, lest he put forth his hand, and take also of the tree of life, and eat, and live for ever: ",,"[M.H., 01/01/1862]",01/01/1862,Mona's Herald
"Shen-y-fa hug y Chiarn Jee magh eh ass garey Eden dy obbraghey yn thalloo, veih v’eh er ny ghoaill.","Therefore the Lord God sent him forth from the garden of Eden, to till the ground from whence he was taken.",,,01/01/1862,Mona's Herald
Chengey ny Mayrey Ellan Vannin,The mother tongue of the Isle of Man,,"[M.S., 30/07/1864]",30/07/1864,The Manx Sun
Booise da Jee,Thank God,,"[M.H., 21/09/1864]",21/09/1864,Mona's Herald
Gaelck ,the Manks language,,"[IoMT, 02/05/1868]",02/05/1868,Isle of Man Times
Gaelk-Vanninagh  ,Manx Language,,"[IoMT, May 02/05/1868]",02/05/1868,Isle of Man Times
craa-hallooin ,"... the proper Manks for earthquake, and not “craa-thallooin”...",,"[M.S., 23/051868]",23/05/1868,The Manx Sun
benaaishnee,female fortune-teller,,[Mona Miscellany; Edited by W. Harrison: Manx Society Vol. XVI; 1869],1869,Mona Miscellany
bollan-feaill-eoin,mugwort,,[Mona Miscellany; Edited by W. Harrison: Manx Society Vol. XVI; 1869],1869,Mona Miscellany
Arrane Er Privateer.,A Song About A Privateer,,"[M.H., 21/02/1872]",21/02/1872,Mona's Herald
Arrane ny Ferrishyn,The Song of the Fairies.,Arrane Ny Fereshyn.,"[M.H., 21/02/1872]",21/02/1872,Mona's Herald
Cronk Keeill Eoin,Tynwald Hill ,Cronk Killewin,"[M.S., 24/02/1872]",24/02/1872,The Manx Sun
Balley-ne-Hinjey,Peel,,"[M.S., 24/02/1872]",24/02/1872,The Manx Sun
Balley-ny-Hinjey,Peel,,"[M.H., 21/02/1872]",21/02/1872,Mona's Herald
carrane,an old green cowhide shoe,charane,"[M.S., 24/02/1872]",24/02/1872,The Manx Sun
Bea-veayn da’n kiannoort vie ain Hal Brougham Loch,Long-life to our good governor Hal Brougham Loch,,"[M.H., 03/071872]",03/07/1872,Mona's Herald
"Eh nagh dug scammylt rieau, dy ghoaill 
Veih naboo e ghoo mie ;
As nagh dug cleaysh da’n tutlar broghe,
Ta shooyl veih thie dy thie.","He that never gave harsh words to take 
the good name from a neighbour, 
and never gave ear to the filthy gossip 
that walks from house to house.",,"[M.H., 25/10/1873]",25/10/1873,Mona's Herald
Bee-jee twooaigh jeh mraane as moddee.,Beware of women and dogs.,,"[M.H., 25/10/1873]",25/10/1873,Mona's Herald
"Agh te er daghyrt eh cordail rish y chenn raa firrinagh. Ta’n moddey er jyndaa reesht gys y skeeah echey hene; as y vuc va nieet, gys yn ymmylt eck sy laagh.","But it has happened in accordance with the truthful old saying. The dog has returned to his own vomit; and the pig that was washed, to her rolling in the muck.",,"[IoMT, 01/02/1873]",01/02/1873,Isle of Man Times
Aght erbee t’eh ceaut nee eh shassoo,Whichever way it is thrown it will stand,,"[M.H.,08/01/1873]",08/01/1873,Mona's Herald
"Cha jean oo vaggyr mee, as cha jean mee vaggyr ort."," (If) You don’t threaten me, then I won’t threaten you.",,"[IoMT, 01/02/1873]",01/02/1873,Isle of Man Times
Colbagh Vreck er Strop. ,A spotted heifer on a lead.,,"[M.H., 01/01/1874]",01/01/1874,Mona's Herald
Toot,Fool,,"[M.H., 03/12/1874]",03/12/1874,Mona's Herald
balley bynney,beloved home,Balla-binnah,"[M.H., 11/10/1876]",11/10/1876,Mona's Herald
Cha vel Baarle ayms,I have no English,,"[M.H.,16/09/1876]",16/09/1876,Mona's Herald
court-she,a courtsey,,"[M.H., 11/10/1876]",11/10/1876,Mona's Herald
kiartag,chore,kar-dagh,"[M.H., 16/08/1876]",16/08/1876,Mona's Herald
cred,cough,,"[M.H.,11/10/1876]",11/10/1876,Mona's Herald
Jamakay,Jamaica (Rum),,"[M.H., 17/10/1877]",17/10/1877,Mona's Herald
Cre raad dys Thie-Saggyrt jeh Kirk Andreays,,,What’s the way to the vicarage of  Kirk Andreas,17/10/1877,Mona's Herald
Cha row ee rieau ny share.,She was never better.,,"[M.H., 17/10/1877]",17/10/1877,Mona's Herald
creckeyder ec cant     ,a seller (auctioneer) at an auction ,,"[M.H., 17/10/1877]",17/10/1877,Mona's Herald
prinjeig,belly,,"[M.H., 16/08/1876]",16/08/1876,Mona's Herald
cheb,guess ,,"[M.H., 16/08/1876]",16/08/1876,Mona's Herald
As signal dys y laue chaire.,‘And signing to the left hand’ ,,[likely meaning; signing for the side opposing the lord in a dispute around the Act of Settlement] ,16/08/1876,Mona's Herald
jeean,keen,geen,"[M.H., 16/08/1876]",16/08/1876,Mona's Herald
John Paddy yn Thoalt,"John, son of Patrick (of) the barn",,"[M.H., 16/08/1876]",16/08/1876,Mona's Herald
f ee saaue ays y laagh [feer sauçhey ayns y laagh??],[truly safe??] in the mud,,"[M.H., 16/08/1876]",16/08/1876,Mona's Herald
Neil Voar Lhag-hastagh,,,"[M.H., 16/08/1876]",16/08/1876,Mona's Herald
Cate Voar a Chrine,Big Kate Craine,,"[M.H., 16/08/1876]",16/08/1876,Mona's Herald
,,,,,
Myl-e-worrey ,Morrison,,"[M.H., 16/08/1876]",16/08/1876,Mona's Herald
Jamakey,rum,,"[M.H., 17/101877]",17/10/1877,Mona's Herald
graih yee bee shee ayns eisht,(for) God's sake there will be peace then.,graye yee bee shee ooin esh,"[M.H., 17/101877]",17/10/1877,Mona's Herald
cruit,hump,crooch,"[M.H., 17/101877]",17/10/1877,Mona's Herald
