Manx,English
"Scoltaghyn ayns ""Ullee""",
,
,The use of the SAS in north-east Ireland has heightened divisions between the British military and the RUC.
,
"Cha nee ny Shallidee nyn lomarcan ta guee dy jean ny ""Brits"" gimmeeaght ass Nerin fy yerrey hoal wass. Erskyn ooilley neayr’s y laa va guilley enmyssit John Boyle marrooit ayns rullick ec sidooryn Goaldagh, ta tooilley sleih er jeet dy ve imneagh mysh pooar Hostyn ayns twoaie ny hErin. Er son cooney lesh armee Hostyn, va John Boyle shottit gy baase: shen red ta er chur er yn Arrymagh Paisley as Unnaneyseyryn elley dy ve feer chorree. Gyn ourys, eer Roy (Ree?) Mason hene, t'eh boirit mysh y chooish. Ta shen baghtal ry akin, er y fa dy ren ny Sostnee symney daa oltey jeh'n SAS er-ash gys Nerin dy chur freggyrtyn da feyshtyn mychione cooish John Boyle.",
"Dy chooilley cheayrt ta ny Sostnee loayrt mychione ny ""forsyn shickyraght"" (""security forces"") ayns ""Ullee"", t'ad geearree soilshaghey magh dy vel yn armee (foshlit ny follit) as ny meoiryn-shee unnaneyssit sy chaggey noi ny Shallidee. Agh dy firrinagh, cha nel ad unnaneyssit. Ny-yeih shen as ooilley, she Yernee y chooid smoo jeh'n RUC, ga dy vel ad foast geearree jannoo obbyr Hostyn jee. Tra vees y caggey harrish, bee yn chooid smoo jeh ny meoiryn-shee tannaghtyn ayns Nerin. T'ad toiggal yn cheer oc hene. Agh cha nel ny sidooryn toiggal monney. She guillyn aegey ram jeu ta cur feoh da Nerin as na Yernee. Foddee ta ram jeh ny sidooryn credjal yn skeeal breagagh shen dy vel ad freayll shee eddyr daa phossan dy Yernee keoi ta caggey kyndagh rish cooishyn credjue. Ansherbee, cha bee monney dendeysid ry gheddyn veih ny sidooryn cadjin. Eer fegooish yn SAS, veagh scoltey eddyr armee Hostyn as yn RUC. Agh neayr’s haink yn SAS stiagh, ta'n RUC er jeet dy ve shickyr dy vel ny sidooryn jannoo ram marranyn.",
"Tra haink tooilley sidooryn Sostnagh gys Nerin twoaie jeih bleeaney er dy henney, va ymmodee sleih credjal dy row ny sidooryn freayll yn shee. V'ad symnit stiagh ec yn RUC er y fa nagh dod ny meoiryn-shee freayll yn shee. Ayns y toshiaght, va dy chooilley pheiagh (bunnys) graihagh er sidooryn Hostyn! Agh ny veggan as ny veggan va sleih toiggal nagh row veg er chaghlaa. Va ny campyn-pryssoon currit er bun as va Doonaght Foalley ayn ayns Doire. Eer ny h-Unnaneyseyryn nish, cha nel ram jeu shickyr dy vel armee Hostyn jannoo yn obbyr chooie.",
"Sy toshiaght, dob reiltys Hostyn dy row yn SAS ""gobbragh"" ayns Nerin. Eisht v'ad gra dy row yn SAS ayns Ard Mhacha jiass ny lomarcan. Nish ta Ree Mason goaill rish dy vel ny dunveryn shoh shnoagyraght ayns ymmodee buill (gyn ourys ta kuse jeu er nynsaghey paart dy Yernish). Ta Mason credjal dy vel yn SAS jannoo dy mie noi ny Shallidee - shen ny t'eh gra, ansherbee. Cha nel yn Masoonagh credjal dy lhisagh ny reillyn kaart bwee jeh armee Hostyn ayns Nerin goll er caghlaa. Ta shen dy ghra, ta Michael Canavan jeh's SDLP kiart tra t'eh gra dy dooar ny sidooryn Sostnagh oardagh ""dy hottal ry hoi marroo"". Cha neayr’s dy vel yn RUC boirit: t'eh orroo shid creeghyn y phobble y chosney as sleih oney goll er marroo ec armee Hostyn.",
,
Brian Mac Stoyll.,
