Manx,English
Nerin as Sheshaght-Obbree Hostyn,
,
,The bipartisan approach shared by the English Labour Party and the Tories has been a hindrance to political moves on the Six Counties.
,
"Ta mee screeu reeshtagh mychione Nerin dy leshtallagh bunnys. Ta cheeraghyn Celtiagh elley ayn. Agh ta caggey feer scanshoil goll er ayns Nerin ec y traa t'ayn as bare dooin ooilley smooinaght mychione y caggey shen cho dowin as oddys mayd. Shimmey Sostnagh as shimmey Celtiagh ta laccal jarrood Nerin. ""Cha nodmayd feaysley ny doilleeidyn ayns shen,"" t'ad gra.",
"""Lhig da ny Yernee keoi jannoo caggey ny-mast'oc hene"". Ta bunnys dy chooilley Hostnagh smooinaght myr shen, eer ad shid ta reill y cheer. As t'ad smooinaght myr shen er y fa nagh vel ram jeu toiggal foast dy nee cheer joarree Nerin. T'ad couyral, my ta, agh ta foast raad liauyr ry hooyl.",
"Erskyn ooilley, ta Sheshaght-Obbree Hostyn er ve geiyrt er ny Thoreeyn goll rish kirree faitagh. She noidyn dooghyssagh ny Celtiee ny Thoreeyn. Ren ny shennayryn jeh ny Thoreeyn spooilley Nerin as ren ad marroo (bunnys) cultoor dooghyssagh ny cheerey. V'ad laccal jannoo Sostnee foalsey jeh ny Yernee. Agh ga dy row y cheer brisht as dy row yn pobble Yernagh ayns stayd atchimagh, cha ren paart dy Yernee rieau cur seose. My t'ou lhaih ny coontaghyn va screeut ec cragheyderyn Sostnagh mysh Nerin keeadyn dy vleeantyn er dy henney, hee oo ny reddyn cheddin: ferg er y fa nagh vel ny Yernee cur seose as sonnaase ard-vooaralagh er y fa dy vel ny Yernee cho ""barbaragh"" as quaagh. Ta shin ayns y stayd cheddin foast, ga dy vel ny Yernee loayrt Baarl nish. Foastagh, ta sidooryn currit gys Nerin dy yannoo cragh (""fendeil ny Catolee"") as foastagh ta'n chragh shen greeasaghey feoh as noidys eddyr Yernee, Celtiee elley, as Sostnee.",
"Ta'n pyshoon shoh soiet dy dowin ayns cree ny Sheshaght-Obbree Sostnagh. Ny keayrtyn, t'eh jeeaghyn dy vel sleih sy cheshaght pholitickagh shoh cur ny smoo feoh da Nerin na ny Thoreeyn. Gyn ourys erbee, ec y traa t'ayn ta Foot as Concannon as nyn lheid geiyrt er yn Thooder myr guillyn-drid. Red scammyltagh v'ayn dy ren Foot arrish er goan y Thooder tra loayr yn ven agglagh shoh lurg baase Bobby Sands. Ren shoh soilshaghey magh nagh vel Foot toiggal monney mychione cooishyn Yernagh as dy vel eh er ny leeideil er shaghryn ec ny breagyn ta cheet gagh laa veih'n chellooish, radio as veih ny pabyryn Sostnagh. Tra dooyrt Foot ny reddyn cheddin as y Thooder Neu-Loobagh, ren eh foays mooar dy liooar da ny Shallidee. Oddagh ny Shallidee gra ""Jeeagh, cha nel red erbee ry gheddyn trooid yn pholitickaght - yn gunn, shen yn ynrican red ta Sostyn toiggal"".",
"Cha nel ny focklyn kiart ayms, agh keayrt dy row dooyrt James Connolly red goll rish ""Choud's ta un cheer freayll cheer elley ayns geulaghyn, cha nel seyrsnys ec yn cheer vainshtyragh"". Ayns lhing Cromwell, hoig ny Levellers shoh. Ren kuse jeh'n phossan shoh gaccan noi ny reddyn va ny Sostnee jannoo ayns Nerin, agh cha ren ny leeideilee Sostnagh cur geill daue.",
"Ec y traa t'ayn, foddee dy jean Sheshaght-Obbree Hostyn caghlaa yn aigney eck mysh Nerin as geddyn rey rish yn polasee jeh cur biallys da ny Leighallee car y traa. Agh cha nodmayd jerkal rish monney: by vie lesh Foot, Benn y cheau magh er y fa dy row Benn daaney dy liooar dy ghra dy vel polasee (!) Hostyn er vailleil ayns Nerin.",
,
Brian y Stoyll,
