Manx,English
Jed Sostyn er Lostey?,
,
,The riots in English cities have deeply worried the U.K. Government. First signs are that little has been learned from events in north-eastern Ireland.
,
"Ny smoo na jeih bleeaney er dy henney, tra ghow ny ""trubbylyn"" toshiaght reesht ayns Twoaie Doo ny hErin, va soshalee Sostnagh (as fir elley) currit da'n smooinaght dy jinnagh reiltys Hostyn ymmyd jeh Nerin twoaie myr sorch dy ghrunt-prowal, gaarlaghey son boirey ayns Sostyn hene. Dy jarroo, dooyrt offishear ny ghaa ayns armee Hostyn y lheid dy foshlit. Dy beagh caggey-straiddey cheet ayns Sostyn hene (ny ayns Nalbin ny Bretin), veagh yn armee aarloo ny chour.",
"Jeih bleeaney er dy henney, cha jinnagh ram sleih Sostnagh credjal y lheid. Va'n armee oc (ny ram jeh) ayns Nerin dy chur shee da ny Yernee keoi. Cha jinnagh peiagh erbee (agh sleih va geddyn airh veih Moscow) gra dy row Sostyn jannoo ymmyd jeh ny Shey Counteeyn myr grunt-prowal er aggle dy beagh boirey er yn ""mainland"".",
"Agh nish, foddee ta'n laa er jeet. Ta rouanyn er daghyrt ayns ymmodee baljyn fud ny cheerey. Genney kiartaghyn, genney thieyn, genney cairys as genney treisht, shen y bun jeh'n voirey. Son shickyrys, va'n kynneeaghys (racialism) yn bun jeh rouan ny ghaa. Agh son y chooid smoo, va boirey goaill toshiaght trooid ferg dowin noi lught-reill erbee, as lurg shen va sleih spooilley shappyn myr sorch dy spooyrt.",
"Dy jeeragh va paart dy phabyryn-naight ayns Sostyn gra dy row yn boirey goll er stiurey ec deiney follit ennagh! Cre'n boghtynid. Ta fys dy liooar ayms er y voayl ayns Lerpool raad va (as ta) boirey mooar. Ta sleih politickagh ayns shen as t'ad feer trimshagh nagh row ad abyl greeasaghey ny rouanyn. Ayns Lerpool, va rouanyn ayn er y fa dy vel ny meoiryn-shee kinjagh soie er sleih doo nagh vel er nyannoo veg. As ta ny meoiryn-shee cheddin soie er y kynney jeh Lerpool, ta bunnys dy chooilley pheiagh cur feoh da ny meoiryn-shee. Ayns Merseyside, ta dy chooilley pheiagh gearey tra ta politickeyryn Lunnin loayrt mysh ""restoring good relations"" eddyr ny moiryn-shee as pobble Lerpool. Cha row y lheid rieau ayn.",
"Ga dy row ram boirey ayns Brixton as buill elley, sheilym dy vel reiltys Hostyn ny smoo boirit mysh Lerpool. Haghyr caggey kiart syn ard-valley shen ren cur aggle vooar er Lunnin. Myr dooyrt peiagh ennagh rhym, ""Dy beagh leeideilee kiart er ve ec ny guillyn shen er yn wheigoo laa jeh Jerrey Souree, veagh ad er goaill yn slane balley"". Shen spotch, er y fa nagh row orraghey politickagh ec ny rouanee. Agh t'eh dooghyssagh dy row boirey ayns Lerpool, balley nagh vel coontit y ve Sostnagh mastey ny Sostnee hene. Ta'n boayl ro Cheltiagh dy ghliooney sheese roish Lunnin son dy bragh. Cha nee drogh-haghyrt dy ren ny meoiryn-shee ymmyd jeh gas-CS son y chied cheayrt ayns Sostyn ayns Lerpool. S'leayr dy vel ny meoiryn-shee Sostnagh gaarlaghey da boirey mooar sy traa ",
"ry heet. Myr sampleyr, t'ad jannoo ram cliaghtey lesh gunnyn nagh vel ad loayrt mychione monney.",
"Myr yinnagh oo smooinaghtyn, cha nel lught-reill Hostyn er nynsaghey monney veih'n chaggey ayns Nerin. Boirey ayns Sostyn, as ta meoiryn-shee Sostnagh goll gys yn Ellan Bannit dy ynsaghey speeideilys veih'n RUC. Reddyn speeideilagh goll rish gas - CS as gunnyn-ushtey as bulladyn-rubber (neu-feeu, ooilley jeu, coardail rish yn RUC as armee Hostyn). Agh, bwooise da Jee, ta foast bulladyn plastagh ec lught leigh-as-oardagh Vnr Thooder.",
,
Brian y Stoyll,
