Manx,English,
Cheayll Mee yn Coraa Yeesey Gra.,,
,,
,"This is a free translation of the hymn ""I Heard The Voice of Jesus Say,'' for gospel choir setting. It can also be sung, without repeats or refrain, to the traditional melody, ''Moylley Gys Jee My Chaarjyn"".",
,,
"Cheayll mee yn coraa Yeesey gra, tar hym as yiow oo fea. ",,
"Cur sheese dty chione y pheiagh skee, sheese er my h'oghrish dy rea. ",,
"Haink mee ayns Jeesey treih dy-liooar, deinagh as lane skee. ",,
"Hooar mee ayns Jeesey boggey mooar, boayl aynsyn hooar mee shee.",,
,,
"Cheayll mee yn coraa Yeesey gra, ta mee cur bioys as graih. ",,
"Iu jeh'n ushtey pheiagh paa', croym sheese as iu dty haaie. ",,
"Haink mee dys Jeesey as va mee giu, jeh farrane hug dou bea, ",,
"Hug shen jerrey er my phaays, my annym lhieent lesh fea.",,
,,
"Cheayll mee yn coraa Yeesey gra, she soilshey'n theihll ta mee, ",,
"Jeeagh orrym pheiagh, t'eh brishey'n laa, cur sollys ayns dty chree. ",,
"Yeeagh mee er Jeesey, ghow mee eh, son my rollage as ghrian. ",,
"Shooylym fo soilshey dys yn traa, neem cosney bea bragh beayn.",,
,,
co-chiaull,,
,,
"Gow my whing ort-hene, ynsee jeh shee, son my whing t'ee aashagh, ",,
"As my h'erraghyn neu-hrome, as my h'erraghyn neu-hrome.",,
,,
Colin y Jerree,,
