Manx,English
Aavioghey Chengaghyn.,
,
,"In writing about Cornish, Glanville Price highlights some of the problems of language revival. Possibly he is too hard on the Cornish revivalists.  "
,
"Hooar mee y lioar shen ""The languages of Britain"" liorish Glanville Price y laa elley. Va'n lioar shoh currit magh ayns coodagh creoi ayns 1984 as ayns coodagh bog sy vlein 1985. Ta Glanville Price yn olloo jeh chengaghyn Romanagh ayns Ollooscoill Aberystwyth as ta'n graih echey er chengaghyn ry akin sy lioar shoh.",
,
"Va beggan imnea orrym tra honnick mee ennym y lioar, agh sy roie-raa ta'n ughtar soilshaghey magh dy vel eh jannoo ymmyd jeh'n ockle ""Britain"" as eh screeu mychione ny chengaghyn ta (ny va) goll er loayrt ayns ny h-ardjyn jeh ny ellanyn shoh ta fo'n smaght jeh'n chrooin Ghoaldagh (crooin Hostyn). Kyndagh rish shen, ta'n Olloo Price screeu mychione Yernish ayns Nerin twoaie agh cha nee ayns Pobblaght ny hErin! Agh ec yn un cheayrt t'eh cur cooinaghtyn orrin dy row Yernish goll er loayrt keayrt dy row ayns ardyn ennagh sy Ghoal Vooar.",
,
"Agh jarrood ny cooishyn shen, she lioar foaysagh t'ayn. Ta peeishyn, mooar as beg, ry lhaih mysh chengaghyn dy liooar: Goalish (British), Pictish, Yernish, Gailck Albinagh, Gailck, Bretnish, Cornish, Cumbric, Ladjyn, Baarle, Baarle Albinagh, Loghlynish, Frangish as Romanish. Myr ta'n ughtar gra, she marrooder yn Baarle.",
,
"Myr Manninagh, dy dooghyssagh ren mee lhaih y pheeish mychione y Ghailck hoshiaght. Ta'n olloo screeu dy kenjal mysh yn chengey ain. Ta red ny ghaa ayn nagh row fakinit aym roie, myr sampleyr y screeuyn liorish J. J. Kneen as eh screeu mysh ny deiney loayrt Gailck ry cheilley ec y Droghad Kierroo ayns Doolish ec y jerrey jeh'n cheead shoh chaie. Ta'n Olloo Price soiaghey mooar dy liooar jeh'n Ghailck er y fa dy row recortyssyn jeant jeh ny loayreyderyn dooghyssagh s'jerree. T'eh gra dy dooar y Ghailck baase ayns 1974 marish Ned Maddrell. Er lhiam pene nagh vel eh feeu tuittym magh mysh y chooish shoh. Myr scoillar, foddee dy nhegin da Glanville Price gra y lheid. Agh vel ny scoillaryn Hewnish gra yn un red mysh Hewnish ta er ve aa-vioghit? Cha nel monney fys aym er Cornish, agh gyn ourys hug yn Olloo Price ferg er Cornee dy liooar tra honnick ad y stoo va screeut echey mychione y chengey oc! T'eh gra ""Cornish"" rish y chenn chengey as ""Cornic"" rish y chengey ""aa-vioghey"". T'eh gra peeishyn mooarey jeh'n aght-screeuee, y fockley magh as eer y grammeydys ""crooit"" - er lhimmey jeh ny focklyn crooit! Y grammeydys crooit, shen y red s'messey, t'eh smooinaghtyn. Myr shen, cha nee Cornish firrinagh t'ayn, as cha nod eh ve, er y fa nagh geayll peiagh erbee ta bio Cornish firrinagh goll er loayrt.",
,
"Ny Cornee boghtey! Gyn ourys ta ooilley ny reddyn ta'n olloo gra slane kiart. Agh sleih ta dy debejagh shirrey eiraght caillit, cha jean ad cur monney geill da'n lheid. Firrinagh ny foalsey, nee ad goll er, croo as dreamal. Tra ta'n doghan er jeet ort, cha nod oo scapail voish.",
,
"Ta'n lioar shoh er yeeaghyn dou cre cho aighoil as ta shinyn ny Manninee er aght ennagh. Cre'n atchim v'eh, coayl y chengey. Agh nagh yindyssagh yn obbyr va jeant ocsyn ren recortyssey ny loayreyderyn dooghyssagh ain as ad sauail reddyn nagh vod ny Cornee agh dreamal mychione.",
,
"Red ta beggan aitt mysh y chooish shoh: ta'n Olloo Price gra, ta mee credjal, dy row y Ghailck ""chiart"" ec Ned Maddrell as ny loayreyderyn dooghyssagh s'jerree agh cha nel recortyssyn jeu, ta'n olloo gra, ny undin fondagh dauesyn ta laccal gynsaghey Gailck. Foddee dy jinnagh yn olloo gra ""far-Ghailck"" (ny ""neo-Manx"" ny ""Mannish''?) rish y sorch dy hengey ta shinyn loayrt nish. T'eh beggan quaagh dy vel y chooid smoo jin ta laccal aavioghey Gailck cur ooashley da ny loayreyderyn dooghyssagh s'jerree agh cha nel shin cur monney geill da'n Ghailck oc! Sheilyms dy lhisagh shin stiurey coorse meanagh eddyr Gailck y Vible as Gailck y chenn sleih, eddyr ""croo"" as ""aavioghey''.",
 ,
Brian y Stoyll,
