Manx,English
Ny Celtiee as Pooar Chesh-Veanagh.,
,
,"It can be argued that, among the Celts, the Bretons and the Manx are most at risk from possible accidents in nuclear installations. The long term solution lies in the development of power sources utilising wave and solar energy."
 ,
"Ta'n drogh-haghyrt sy stashoon chesh veanagh (nuclear) ec Chernobyl ayns Mee Averil er chaghlaa yn aght ta ymmodee sleih smooinaght mychione pooar chesh-veanagh. Ta'n drogh-haghyrt shoh er nyeeaghyn dooin dy vel stashoonyn chesh-veanagh ro ghaueagh. Ren Chernobyl soilshaghey magh dy vel y licklaght jeh drogh-haghyrt chesh-veanagh foddey ny smoo na va ny hoaylleeyn gra. Son y chooid smoo, ta ny hoaylleeyn shoh nyn soie ayns oikyn stoamey raad t'ad gobbraghey er claaryn-earrooder (computer programs) vees cur fys dooin cre cho liklee as ta drogh-haghyrtyn ayns stashoonyn chesh-veanagh. Ta'n sleih ooasle shoh jannoo ymmyd jeh oltscarrey-gaueid (risk analysis) as earrooderyn feer niartal. Agh s'cummey shen: ta'n faaishnys-gaueid oc ny smessey na'n faaishnys-emshir ayns ny hellanyn shoh! Cha vod yn oltscarrey-gaueid goaill stiagh y gaueid jeh marranyn dooinnoil. Er y hon shen, she boghtynid ny faaishnyssyn-gaueid ta cheet magh ass oikyn stoamey ny saggyrtyn chesh veanagh (er nonney, bare dou gra, ny fir obbee chesh-veanagh). Ta ny Rooshee ginsh dooin nish dy row drogh-haghyrt ec Chernobyl kyndagh rish marranyn jeant ec ny deiney va gobbraghey ayns shen. Paart dy hiaghteeyn roish y drogh-haghyrt v'ad gra dy beagh drogh-haghyrt ec Chernobyl un cheayrt ayns thousaneyn dy vleeantyn, ny ommidjys ennagh myr shen.",
"Ren Chernobyl caghlaa ny haignaghyn ec paart dy leih. Cha ren eh caghlaa aignaghyn erbee ayns ny reiltyssyn Sostnagh as Frangagh, t'eh jeeaghyn. Cha mie lhienyn, ny Celtiee, shen y chlashtyn. Er lhimmey jeh'n chooid smoo jeh ny Yernee, ta ny Celtiee dy bollagh fo smaght ny Sostnee as ny Frangee. As ec y traa t'ayn ta'n reiltys ayns Divlyn cho faase as biallagh rish Lunnin nagh vel monney anchaslys eddyr Nerin seyr as Nerin fo smaght Sostnagh.",
"Ta ny reiltyssyn Sostnagh as Frangagh slane soiet er freayll (as mooadaghey) ny stashoonyn chesh-veanagh t'oc. Mastey ny Celtiee, foddee ta ny Britaanee as ny Manninee sy stayd smessey bentyn rish cooishyn chesh-veanagh. Ta ram ynnydyn chesh-veanagh (cahnagh as theayagh) ec ny Frangee sy Vritaan. Ta ayrn mooar jeh'n lectraghys Frangagh goll er giennaghtyn ec stashoonyn chesh-veanagh. Mastey ooilley ny reiltyssyn Europagh, ta'n reiltys Frangagh ayns foayr mooar jeh pooar chesh-veanagh. Oddagh oo gra dy vel y reiltys shoh slane keoi mysh y chooish. T'eh ny smessey na'n reiltys Sostnagh. Myr shen, cha vod ny Britaanee jerkal rish myghin erbee veih Paris. Ta shin ayns feme jeh caggey sharroo as liauyr dy woalley sheese ard-vooaralys ooilley niartal ny deiney keoi ta foast plooghey shin lesh stashoonyn chesh-veanagh. As ta ny deiney shoh ry-gheddyn ayns ymmodee cheeraghyn: Sostyn, y Rank, y Roosh as ram cheeraghyn elley.",
"Ta Mannin ayns gaue er y fa dy vel ee faggys da Sellafield. Ta gaue dy liooar sy stoo cughtee ta lught Sellafield ceau stiagh sy cheayn gagh laa, as ta'n gaue shen gaase gagh laa. Agh er lhimmey jeh shen, ta gaue ayn dy bee polt mooar ec Sellafield as dy bee geay niar ayn. Dy beagh drogh-haghyrt ec Sellafield cho olk as y fer ec Chernobyl, veagh reiltys Vannin eignit dy gharraghey pobble Vannin ass yn Ellan! Veagh eh olk agglagh dy beagh drogh-haghyrt ec stashoon Wylfa sy Thalloo Vretnagh, myr sampleyr, agh cha beagh ooilley y Thalloo Vretnagh currit mow lesh stoo goul-rooragh (radioactive). Dy beagh drogh-haghyrt olk ec Sellafield, cha beagh sleih abyl cummal ayns Mannin!",
"Yn ynrican red oddys mayd y hauail veih'n phooar chesh-veanagh, shen saase elley dy yiennaghtyn lectraghys. Sy traa ry-heet, cha bee geayl, ooill ny gas dooghyssagh faagit. Shegin dooin giennaghtyn lectraghys er aght elley. Ayns ny cheeraghyn Celtiagh, oddagh lectraghys goll er giennaghtyn ec pooar veih'n cheayn as veih'n gheay. Ayns Sostyn, ta'n Central Electricity Generating Board stiurey aa-hirrey ayns ny cooishyn shoh. Agh quoi y fer-toshee jeh'n CEGB? Y Chiarn Marshall, y Dr Strangelove jeh'n ghleashaght chesh veanagh. Er y hon shen, ta'n CEGB slane shickyr nagh vel pooar-marrey ny pooar geayee feeu monney. Ren ny Sostnee cur ersooyl nyn aa-hirrey ayns pooar-marrey da ny Loghlynnee. As nish ta ny Americaanee son ceau ram argid er pooar-marrey as pooar greiney. Shegin da ny Celtiee jannoo nyn gooid share dy scapail veih ny fir chesh veanagh ayns Sostyn as sy Rank.",
,
Brian y Stoyll,
