Manx,English
Chengey ny Mayrey?,
,
,"The opportunity for mothers and children to learn together and use the Gaelic without artificiality is vital to the future of the language. The learning situations such as in childhood should be an integral part of any language course so that the language is not just a mental exercise, but part of our whole being."
,
"Va mee lhaih art scruit ec Brian Mac Stoyll: art er-ennym ""Y Ghaelg: Eisht, Nish as y Traa Ry-heet"", va clouit sy lioar, ""For A Celtic Future"". Screeu Brian:",
"""Dy firrinagh, she yn doilleeid smoo t'ain yn genney dy vraane as paitchyn ta loayrt Gaelg. Ga dy vel mraane ayn as Gaelg flaaoil oc, cha nel monney jeu ayn. She red fyrrin yn Ghaelg ec y traa t'ayn (as rish ymmodee bleeantyn). Son y chooid smoo, she deiney ta cliaghtey loayrt Gaelg ry-cheilley.""",
"Ren Brian ynsaghey y Ghaelg da ny paitchyn echey hene, agh tra daase ad, cha row ad arryltagh dy ghra veg sy ghlare shen. Veagh toiggalys oc er feyshtyn sy Ghaelg, agh yinnagh ad ansoor sy Vaarle. Va fys oc nagh row y Ghaelg goll er loayrt ec nyn gaarjyn as myr shen v'ad jiooldey jannoo ymmyd jee.",
"Sy phossan cloie, Beeal Arrish, ta ny paitchyn toiggal Gaelg dy liooar dy ghoaill arraneyn as draneyn beggey as dy ghoaill ayrn ayns skeeallyn. Ta nyn moiraghyn gynsaghey y ghlare ec yn un traa as syn un aght. Nagh vel shen myr ta'n cheshaght, Mudiad Ysgolion Meithrin, coyrlaghey dauesyn ayns Bretin? Ayns Beeal Arrish ta ny paitchyn marish nyn gaarjyn as marish nyn moiraghyn as she'n Ghaelg ta chengey y phossan. Tra t'ad jannoo ymmyd jeh'n Ghaelg, cha nel ad faitagh as cha nel ad goaill nearey.",
"Shoh aght liauyr dy liooar dy ynsaghey y Ghaelg, my ta, agh she'n aght dooghyssagh t'ayn as ta'n Ghaelg cheet dy ve ""Chengey ny Mayrey"" reesht.",
"Red elley ta cheet ass yn chooish shoh: tra ta shin reih dy ynsaghey y Ghaelg, s'likly dy vel shin jerkal rish ynsaghey ee dy tappee ayns brastyl ennagh, jeeaghyn er lioaryn as y lhied. Ta shin jarrood yn traa foddey va ceaut ain ynsaghey y Vaarle as yn aght va shin cur greim urree - beggan er beggan rish traa foddey ass beeal un pheiagh er-lheh - son y chooid smoo, nyn moir. Ny jarrood neesht dy vel fockleyn noa ry-ynsaghey bunnys dagh laa nyn sheihll.",
"Ny smoo na shen, cre'n aght ta shin gynsaghey fockleyn as raaghyn sy Vaarle? Ta shin gynsaghey ad lesh nyn girp hene lurg dooin fakin as soaral as clashtyn as gennaghtyn red ennagh. Ta shin clashtyn fockleyn as raaghyn cochianglt rish y red shen ass beeal nyn moir as ta shin jannoo beeal-arrish.",
"Agh son y chooid smoo, ta shin gynsaghey y Ghaelg trooid y Vaarle, ass fockleyryn as lioaryn elley. Cha nel shin goaill stiagh y Ghaelg trooid nyn girp agh myr gamman inchynagh trooid nyn geeayle ynrican. Shen yn oyr ta shin jarrood fockleyn as raaghyn derrey vees reddyn taghyrt ain as ta feme ain orroo. Cha nee agh ec yn traa shen ta'n Ghaelg cheet dy ve ayrn jeh'n cheeayle chionnit ain.",
"By vie lhiam fakin possanyn elley jeh moiraghyn as nyn baitchyn goaill ayrn ayns Beeal Arrish er fud ny cheerey. Agh er-lhiam dy vel eh orrin neesht caghlaa yn aght ta shin gynsaghey y Ghaelg. Share da Gaelgeyr ynsaghey un studeyr na possan feer veg dy studeyryn. Shegin dooin cur ersooyl voin ny lioaryn ain as cur roish studeyryn dagh nhee ta shin loayrt mychione as insh daue ny fockleyn cooie - insh, insh, insh: Gaelg trooid ny cleayshyn oc.",
Shegin da studeyryn caghlaa nyn aigney as nyn jerkalys tra t'ad goaill toshiaght er ynsaghey y Ghaelg. Shegin daue goaill soylley ayns aght myr paitchyn. Shegin daue fakin; shegin daue soaral; shegin daue bentyn rish dagh ooilley nhee. Shegin daue clashtyn as jannoo beeal arrish.,
Shegin daue gennaghtyn y Ghaelg. ,
 ,
Robard y Charsalagh,
