Manx,English
Chengaghyn Celtiagh ayns Scoillyn.,
,
,"Celtic languages and cultures have suffered ever since compulsory education was introduced. The so called 'national curriculum' being forcibly introduce by the English government is a new menace. While every effort must be made to modify state education schemes and work with them, parallel efforts must be mounted to work outside state schemes."
,
"Neayr's ny laghyn va paitchyn eginit goll gys y scoill son y chied cheayrt ta ny chengaghyn Celtiagh er surranse dy mooar. Myr ta fys ayd va shoh er y fa dy row (as dy vel ) reiltyssyn joarree gymmydey ny scoillyn dy varroo chengaghyn ashoonagh ny Celtiagh. Shione dooin nagh vel ny scoillyn ooilley niartal as aignaghyn paitchyn goll er kiaddey. Agh ta ny scoillyn feer scanshoil as shegin dooin jannoo nyn gooid share dy chur Celtiaghys stiagh ayndaue. Tra va'n steat Yernagh currit er bun, smooinee ram Yernee dy noddagh yn chengey oc ve aavioghit liorish ny scoillyn nyn lomarcan, bunnys. Agh ta fys ain nish nagh ren shen taghyrt. T'eh fassanagh dy yannoo craid nish mysh yn eab niartal va jeant ayns Nerin dy aa-vioghey yn chengey. Tra t'ou geaishtagh rish paart dy 'leih, yinnagh oo smooinaghtyn nagh row speeideilys erbee ec ny Yernee. Va speeideilys dy liooar oc, kiart dy liooar. Ta Yernish vie ec thousaneyn dy 'leih as hooar ad y Yernish shen ayns ny scoillyn.",
"Ec y traa t’ayn ta reiltys Sostnagh Thooder soiet er chur er bun red t’ad gra curriglym ashoonagh (national curriculum) rish. Myr dy kinjagh, son ''ashoon'' toig Sostyn. Tra va reiltys Hostyn loayrt mysh shoh hoshiaght, cha row ad son lhiggey da Bretnish ve sy churriglym ' ashoonagh' ayns y thalloo Vretnagh! Agh va sleih gaccan dy lajer as nish ta'n Vretnish ' lowit', bwooise da jee (ta shen dy ghra, bwooise da'n ardleeideilagh, y Thooder). Myr dy cliaghtagh cha nel y sleih oikoil coontey monney jeh Yernish ayns Twoaie Nerin sy resoonaght shoh mychione y churriglym ''ashoonagh''. Cha nel eh cho olk as v'eh ayns ny shenn laghyn tra va'n Yernish coontit dy ve myr chengey ny apaghyn (ga dy vel ymmodee sleih almoragh foast smooinaghtyn myr shoh). Ta claar ny jees ayns Yernish er ve er y radio ayns Twoaie Nerin er y gherrit as ta paart dy politickeyryn mastey ny Unnaneyseyryn goaill rish dy vel y chengey scanshoil ayns bea ny cheerey.",
"Agh ny yeih shen as ooilley, ta'n shenn noidys foast ayn, ga dy vel eh fo cloayey jeh ""ymmydoilid'' - cha nel Yernish ""ymmydoil"" as myr shen t'ou beggan keoi my t'ou gynsaghey ee. Er y hon shen shegin dooin goaill aggle dy bee assee dy liooar jeant da'n chengey dy jeeragh tra va treisht ayn dy row reddyn sharaghey. As ooilley kyndagh rish y resoonaght mysh y churriglym ''ashoonagh'' ayns Sostyn. Ayns Twoaie Nerin, t'eh jeeaghyn dy vel y fer ta stiurey coorseyn ynsee ayns shen slane soiet er reddyn vees cur yn olk er y chengey. Myr sampleyr, bee eh feer ghoillee dy yannoo studeyrys er Yernish ec leval-A my t'ou laccal jannoo studeyrys er reddyn goll rish earroodys (computing), Son shickyrys, ta'n reih doillee shoh er ve ayn son bleeantyn, agh t'eh gaase ny smessey nish. ",
"Ta mee er lhaih dy vel curriglym ''ashoonagh'' ec Mannin nish. Foddym credjal nagh bee monney Manninaghys ayn, my ta! Y sleih ta reill harrish Sostyn nish surrys enn nagh vel graih oc er yn ynsaght. She sleih barbaragh, almoragh t'ayn. Sleih ta currit da'n argid as da pooar. Cha nel reiltys Hostyn laccal y theay ta fo'n smaght oc ve mie ynsit ta shen ro ghaueagh, ghooinney. Ta reiltys Hostyn laccal y theay dy ve abyl lhaih as screeu stoo aashagh as dy choontey as shen ooilley, t'eh jeeaghyn. As ta lught y Thooder imneagh dy vel y sorch kiart dy hennaghys goll er ynsaghey ayns ny scoillyn ta fo'n smaght oc. Shennaghys ta biallagh rish ashoonaghys Sostnagh, shen y sorch dy hennaghys t'ad laccal. Ga nagh vel Mannin dy jeeragh fo smaght Hostyn cha nod oo gra dy vel Mannin seyr, erskyn ooilley ayns cooishyn cultooroil. Ta mee goaill aggle dy vel ny moddee keoi ta stiurey Lunnin ec v traa t'ayn jannoo lheid y brock dy bee eh feer ghoillee dy chiartaghey eh tra vees y Thooder ayns yn oaie.",
"Ny yeih shen as ooilley, ta caa ayn dy bee Mannin scapail veih paart jeh ny reddyn agglagh ta taghyrt ayns ny scoillyn as colleishyn ayns Sostyn as Bretin ec y traa t'ayn. Erskyn ooilley cha nel stoo-ynsee Manninagh dy liooar er mayrn foast. Cha nodmayd ve gaccan ro lajer mysh y chooish er y fa dy nhegin dooinyn, ny Manninee Gailckagh, y stoo-ynsee y chroo. Red ta shin laccal dy tappee, shen coorse GCSE ayns Gailck. Ta mee credjal dy vel ny coorseyn GCSE ayns chengaghyn ny share na ny shenn choorseyn leval-O. Va ny coorseyn shoh currit da'n chengey screeut as da reillyn grammeydagh. Va shoh feer vie er aght ennagh, agh cha row eh foaysagh dauesyn va laccal gynsaghey chengey dy loayrt ee er aght dooghyssagh gagh laa. Shimmey peiagh hooar leval-O ayns Frangish nagh row abyl kionnaghey cappan dy chaffee sy Rank. Er lhiam dy bee coorse CCSE jannoo foays da'n Ghailck er y fa dy bee lheid y coorse cooie da feallagh aeg as da sleih shinney neesht.",
"Cha nodmayd croghey er yn chorys (system) oikoil ayns Mannin. Son shickyrys shegin dooin streeu car y traa dy haraghey eh. Agh sy jerrey ta shin nyn lomarcan. T'eh jeeaghyn dy beemayd eginit ny fir as mraane ynsee Gailckagh y hraenal dooin hene, cheumooie jeh'n chorys oikoil. Dy beagh yn argid ain, oddagh shin jannoo obbyr niartal son y Ghailck as cultoor Vannin cheumooie jeh'n chorys oikoil. Agh cha nodmayd jannoo mirrilyn.",
,
Brian y Stoyll,
