Manx,English
Sostyn Cheltiagh,
,
,"It is often not realised there are surviving Celtic influences in England today, in places like the Lake District and Derbyshire."
,
"Shimmey keayrt ta shin jarrood dy row ooilley Sostyn lesh ny Celtiee traa ennagh. Tra va ny Rauee reill harrish y cheer ta shin gra 'Sostyn' rish nish, she sorch dy henn Vretnish va goll er loayrt ec ooilley yn sleih dooghyssagh, bunnys. Eisht haink ny Sostnee veih'n Ghiarmaan as veih'n Danvarg as va ny Celtiee eginit goll ergooyl as ergooyl. As ta shin foast goll ergooyl, my ta.",
"Gys paart dy vleeantyn er dy henney, coardail rish ram lioaryn shennaghys (screeut ec Sostnee son y chooid smoo), va ny Celtiee ayns Sostyn ooilley currit mow dy bollagh. Ren y sleih dooghyssagh skellal roish as cha row veg faagit. Nish ta shin toiggal dy vel shoh aggairagh. Gyn ourys, va Celtiee dy liooar faagit ayns poggaidyn jeh'n cheer as Sostnee mygeayrt y moo. S'cosoylagh dy row yn chengey Cheltiagh goll er loayrt ayns ny poggaidyn shoh ayns Sostyn rish ymmodee blein. As eer tra va'n chengey Cheltiagh er ngeddyn baase ayns ny poggaidyn shoh, va ny cliaghtaghyn Celtiagh tannaghtyn ayns stayd lajer rish keeadyn dy vleeantyn.",
"Ta paart jeh ny cliaghtaghyn shoh foast ayn. Myr sampleyr, ayns Derbyshire t'ad jesheeney chibbraghyn casherick lesh blaaghyn as reddyn elley. Ghow yn agglish Chreestee greim jeh ny cliaghtaghyn shoh foddey er dy henney. Ta ny saggyrtyn Creestee goll mygeayrt marish y theay as ad bannaghey ny chibbraghyn. Cha dod ny saggyrtyn jannoo red erbee elley, er y fa dy ren ad toiggal niart ny jeeghyn paganagh. Ta'n agglish cur Creestiaght er yn chenn chredjue.",
"As va mee lhaih y laa elley dy vel cliaghtey ennagh oc ayns Cheer ny Loghyn (y Lake District) raad t'ad skeayley shuinyn er y laare ayns kialteenyn (goll rish skeayley shuinyn er y thalloo faggys da Cronk Keeill Eoin). Reesht, ta'n agglish Chreestee er ngoaill greim jeh cliaghtey paganagh v'ec ny shenn Cheltiee.",
"Foddee t'ou er nakin ny er chlashtyn mychione ny sthowranyn beggey shen t'ad gra 'sheela na gig' rish. Sthowranyn ny jallooyn grainnit jeh mraane rooisht t'ayn. Ta ny mraane shoh freayll foshlit ny pihttyn oc er aght veagh cur yn olk er ram sleih. Ta mee er lhaih mychione ny sthowranyn shoh ayns Nerin, red feer henn dy jarroo, as t'eh jeeaghyn dy row ad jeant dy chur ooashley da'n troaraght - y shenn chredjue reesht. Gys y laa elley, smooinee mee nagh row ad ry gheddyn cheumooie jeh Nerin. Agh, coardail rish pabyr naight Sostnagh, ta bunnys feed jeu ry gheddyn ayns Sostyn hene. Gyn ourys v'ad jeant paart dy vleeantyn er dy henney as grainneyderyn jannoo arrish er ny sthowranyn Yernagh heill mish. Agh, coardail rish y phabyr shoh, v'ad jeant keeadyn dy vleeantyn er dy henney. Ta kuse jeh ayns ny boallaghyn jeh kialteenyn. ",
"Ec nane jeh ny kialteenyn shoh, dooyrt y saggyrt dy bare leshyn gyn y sthowran y ve sy woalley jeh'n cheeil echey, red feer phaganagh. Agh t'eh feer henn neesht as veagh eh cur yn olk er sleih dy beagh eh goit magh ass.",
"Cha ren mish toiggal gys y laa elley noadyr dy vel sleih ayns Derbyshire ta coontey ad hene dy ve nyn Geltiee! Foddee ta shoh boghtynid jeianagh ren cheet woish yn Eash jeh Aquarius as ooilley y stoo quaagh shen woish ny bleeantyn tree feed. Agh oddagh oo ve shickyr jeh un red: ta Derbyshire ny smoo Celtiagh na Galicia, my ta. Va claar er y radio Sostnagh er y gherrit mychione shenndaaleeyn (archaeologists) va goll dy reuyrey seose shenn chlaghyn Celtiagh boayl ennagh ayns Derbyshire. Ayns y toshiaght, va ny shenndaaleeyn shoh boirit dy mooar (as dy follit) ec y sleih ynnydagh nagh row coontey monney jeh obbyr ny shenndaaleeyn as ad cur yn olk er shee ny shenn chlaghyn. Coardail rish y chlaare radio shoh, cha ren ny shenndaaleeyn rieau feddyn magh quoi va boirey orroo. Cho leah's va ny shenndaaleeyn abyl soilshaghey magh dy row ad ayns coennaghtyn marish spyrryd ny shenn chlaghyn, va dy chooilley nhee mie dy liooar as va'n obbyr cooilleenit. Choud's ta fys aym, cha nee spotch v'ayn. Ta ram reddyn quaagh ayn, ghooinney.",
,
Brian Mac Stoyll,
