Manx,English,Notes
Troor Tromode,,
,,
(carr: 'Brig Lily'),,
,,
Ayns y vlein kiare feed as hoght ,,
"Va Mannin heese, v'ee ayns stayd boght, ",,
Roosteyryn cheet veih gagh boayl quaagh ,,
Dy chur nyn Ellan sheese sy laagh.,,
,,
Va argid dooint ayns kishtaghyn ,,
Dy yannoo foays da gombeenyn ,,
"As paart jeh'n theay dyn thie erbee, ",,
Va coayl nyn spyrryd ayns dobberan dree.,,
,,
"Ren Laa Tynvaal cur aggle er sleih, ",,
"Veagh Mannin stroiet ec deiney creoi, ",,
"Agh gagh red mie fy yerrey hoal, ",,
Sidooryn Hostyn dy chooilley voayl.,,
,,
Va Yernee ayns Rhumsaa reeoil ,,
"Va baghey ayns shen dy braew sheeoil, ",,
Agh ren ny meoiryn-shee cheet ,,
stiagh ,,"Left-aligned, unlike the rest of the text"
Dy hauail Mannin veih baase as cragh.,,
,,
Shenn Yernagh goit ec meoiryn-shee ,,
"Nagh ren rieau toiggal red erbee, ",,
Thie raipit seose ec blebbyn boght ,,
Fardailagh shirrey son y loght.,,
,,
FSFO ry akin heose ,,
FSFO ry akin heese ,,
"FSFO dy chooilley voayl, ",,
Cre'n ferg t'ayns ny lettyryn doal.,,
,,
Hoig Manninee dooie ny lettyryn shen ,,
Va jannoo craid er aght cho glen ,,
"Jeh deiney berchagh, creoi as jooigh, ",,
Lurg pooar as argid v'ad pandoogh.,,
,,
"Gawne, Sheard as Joughin, slaynt as shee, ",,
"Hug bree as niart da Manninee, ",,
Ren cur ad hene myr oural losht ,,
As gra rooin ooilley 'Vel shiu dooisht?',,
"Eisht, Troor Tromode, v'ad goit ayns shen, ",,
"As ayns pryssoon t'ad tannaghtyn, ",,
"Cooinsheanse yn Ellan ayns nyn gree, ",,
Dy niartagh bree ny Manninee.,,
,,
Brian y Stoyll,,
