Manx,English
Turrysaght Cheltiagh,
,
,The relative ease of booking self catering holiday accommodation in North Wales as compared with Mann says a lot about socio-political developments in the two countries as well as their tourist industries.
,
"Va mish ruggit as troggit lesh y turrysaght ayns Mannin. Va shapp eeastyn as spollagyn ec my vummig ayns Doolish, as roish shen va shapp-eeastee er ve eck as ec my yishag. S'cooin lhiam dy mie yn aght va dy chooilley pheiagh tarroogh erskyn towse eddyr y Chingeesh as y jerrey jeh Mee Luanistyn as yn aght nagh row obbyr ry gheddyn cheumooie jeh'n traa shen. Nagh beagh eh yindyssagh dy gheddyn aght-beaghee raad va obbyr as argid ry gheddyn dy reiltagh car ny bleeaney, va mee cliaghtey smooinaghtyn. Goll rish ram Manninee, va mee moyrnagh dy liooar ass turrysaght Vannin, agh ec y traa cheddin va mee slane skee jeh'n aght va'n turrysaght cur er Manninee dy liooar y ve myr guillyn-drid. Shen y fa nagh row mee ro voirit tra ghow yn turrysaght dy gholl sheese y liargagh ayns Mannin. Agh nish ta mee smooinaghtyn nagh vel y turrysaght cho olk, foddee! She yn kerroo argidys ayns Mannin ta cur orrym smooinaghtyn myr shen.",
"Myr Manninagh cummal ayns joarreeys ayns Sostyn, dy dooghyssagh ta mee laccal cheet dy valley cho mennick as foddym. S'mie lhiam cheet er laghyn seyrey sy tourey marish y lught-thie aym, agh ta doilleeidyn kianlt seose lesh shen ta soilshaghey magh ny doilleeidyn jeh'n turrysaght ayns Mannin. Cha nodmayd fordrail tannaghtyn ayns thie-oast ayns Mannin. Ga nagh vel thieyn-oast Manninagh feer chostal, ta rour jin ayn (marish moddey). Aghterbee, t'eh doillee dy liooar tannaghtyn ayns thie-oast erbee ayns ny hellanyn shoh (er-lhimmey jeh Nerin) marish paitchyn aegey. T'eh jeeaghyn dy vel ooilley yn sleih aasit (er-lhimmey jeh ny Yernee) cur feoh da paitchyn.",
"Er y fa shen, t'eh foddey ny share dy hannaghtyn ayns thie ny cummal rea er mayl as coagyrey dhyt hene. T'ou abyl goll as cheet tra t'ou laccal gyn cur olk er sleih elley. Ga dy vel yn mayl ard dy liooar dy mennick, t'eh costal ny sloo na thie-oast. Agh my t'ou laccal geddyn thie ny cummal rea er mayl ayns Mannin, shegin dhyt reaghey eh dy tappee. Son y chooid smoo, t'eh ro anmagh sy Nah Vee ny ayns Mee Vart my t'ou laccal geddyn boayl er mayl sy tourey. Shen y red ren cheet orrin hene myleeaney, my ta. Cha nel buill dy liooar ayns Mannin ta ry gheddyn er mayl son turryssee.",
"Smooinee mish dy beagh yn un red taghyrt dy jinnagh shin prowal geddyn boayl er mayl sy Thalloo Vretnagh. Agh skeeal elley t'ayn son shickyrys. Ga dy vel ram thieyn as cummallyn rea goit hannah, ta ram jeu faagit. T'eh jeeaghyn dy vel keeadyn (foddee thousaneyn) dy hieyn as cummallyn rea ry gheddyn er mayl son laghyn seyrey sy Thalloo Vretnagh car ny bleeaney, erskyn ooilley ayns buill goll rish yn lieh-inshey Lleyn sy twoaie jeh'n Thalloo Vretnagh. My t'ou goll my yiass veih balley Caernarfon t'ou goll trooid baljyn beggey ta treigit as lieh-varroo. Keeadyn dy hieyn ry gheddyn er mayl son turryssee - shen soilshaghey magh y stayd treih jeh'n cheer shoh raad ta Bretnish foast goll er loayrt ec sleih dy liooar. Va thousaneyn dy Vretnee eginit faagail nyn dhalloo dooghyssagh. As ta joarreeyn as turryssee ayns paart jeh ny thieyn ta er ve aa-vioghit veih tholtanyn. Shen y ra dy vel mee beggan boirit mysh y thie yiowmayd er mayl ayns Jerrey Souree ayns Nefyn. Jig Meibion Glyndwr (Mec Ghlyndwr) lesh shilley orrin?",
"Er aght ennagh, t'eh ny red mie nagh vel monney thieyn ry gheddyn er mayl son turryssee ayns Mannin. Ta shen soilshaghey magh nagh vel thousaneyn dy Vanninee faagail yn Ellan as faagail thieyn follym ayns shen. Agh ec yn un cheayrt, my ta'n kerroo argidys gaase gyn lhiettal erbee ayns Mannin, bee yn Manninaghys ta faagit marrooit dy bollagh ec ooilley ny joarreeyn vees cheet stiagh. T'eh jeeaghyn nagh vel yn turrysaght cho olk as yn kerroo argidys.",
"T'eh lane shickyr dy vel ny deiney mooarey sy Vrusheyl (Brussels) coontey ny cheeraghyn Celtiagh y ve feeu son y turrysaght erskyn gagh red elley. Bentyn rish yn Vrusheyl as yn Co-Phobble Europagh (EC), ta Mannin ayns stayd feer hymoil. Jean ny deiney niartal sy Vrusheyl lhiggey da Mannin tannaghtyn myr ynnyd-argidys scanshoil? Ta ooilley ny cooishyn shoh doillee dy liooar.",
,
,
Brian y Stoyll,
