Manx,English
"""Eubonia Seyr"" er y Cholloo Reesht",
,
,A second Manx speaking weekend on the Calf of Man.
,
"Hie yn nah ""Kione Shiaghtin Gaelgagh"" er cummal er y Cholloo ayns Mee Boaldyn. Hiaull possan dy nuy Gaelgeyryn magh ass Purt le Moirrey ayns baatey braew noa ""Ushtey Bea dy Liooar"", myr ta shin gra 'sy Ghaelg ain. Atreih! va'n tidey cho traih tra raink shin y phurt cha dod shin cosney stiagh ayn, v'eh orrin lhiemmey magh er yn ""Clett"", carrickyn coodit lesh famlagh feer shliawinagh raad va ymmodee raunteeyn nyn lhie jeeaghyn orrin. Agh by ghastey dy liooar va ny Gaelgeyryn as cha row eh feer foddey roish my hooill shin seose yn ughtagh dys yn ghowaltys raad va shin cummal. Lurg tammylt beg va cappanyn dy caffee ain, bine dy yough neesht, as aile fuygh lostey dy gennal 'sy chiollagh.",
"She shenn ghowaltys yn troggal hene as s'lesh Treisht Ashoonagh Vannin eh nish, as yn slane ellaneen neesht. Cha nel agh daa phersoon cummal ayns shen voish yn Chaisht dys Jerrey Fouyir dagh blein raad t'ad recortey ooilley ny hushagyn ta garraghey dys shen as eisht ersooyl lhieu reesht, ny ta beaghey 'sy voayl car ny bleeaney. Ta daa ghooinney cummal ec yn thie sollys car ny bleeaney as shen yn slane pobble ta beaghey er yn ellan.",
"Va'n daa laa ayns shen chirrym as hie shin mygeayrt yn slane ellan, er lheh er ny slystyn jeeaghyn er ny ushagyn marrey as raunteeyn. Va pirree, stronnagyn, fee marrey, pibbinyn baney, caaigyn as ny smoo ry-akin as ghow dagh peiagh taitnys ayndaue.",
"Hooar shin mooirchooraghyn er ny traieyn. B'ymmydoil dy liooar va'n fuygh - cha row shin coontey monney jeh'n dooinney va cummal 'sy thie hene er y fa dy voogh eh yn gienneyder lectragh dagh oie ec nane- jeig er y chlag as lurg shen cha row agh soilshey yn aile ayn! Gyn scansh da shen va shin gennal dy liooar loayrt ry cheilley, cloie gammanyn, feddanagh as goaill arrane. Er-lhiams dy ren yn Ghaelg ain bishaghey - hooar mish craplag noa ny ghaa, ansherbee!",
"Fastyr Doonee daag shin yn Cholloo veih'n phurt ayns jiass yn Ellan. Tra va shin shiaulley mygeayrt Kione Spaainagh hiaull yn fer baatey cho faggys da ny carrickyn as b'lhoys da, raad honnick shin keeadyn dy idd (stronnagyn as pirree) er oirryn ny carrickyn, y lheid nagh row yn chooid smoo jin rieau er n'akin roie. B'yindyssagh va'n shilley shen! Foddym gialdyn un red ansherbee - bee Gaeltaght er y Cholloo reesht 'sy vlein ry-heet.",
,
,
F. McArdle,
