Manx,English
Ny Myn-Chengaghyn Oarpagh,
,
,Some minority languages in Europe are making welcome progress. The role of teaching through the language is crucial.
,
"Ta foddey ny smoo sleih toiggal nish dy vel niart chengaghyn goll er loayrt er yn teihll shoh wass. Ayns y Voodeeys Oarpagh, ta lieh-cheead millioon sleih loayrt myn-chengaghyn. As ec y traa t'ayn cha nel whillin sleih shirrey ny myn chengaghyn shen y chur fo-chosh. Ta aa vioghey niartal fo raad, agh foast ta myn chengaghyn dy liooar er raad y vaaish.",
"Bleeantyn er dy henney, hoig ny Bretnee cre cho scanshoil as t'eh dy chur chengey ennagh er e hoshiaght liorish ynsaghey trooid y chengey shen. Y laa t'ayn jiu, ta 70,000 ynseydagh geddyn yn edjaghys oc trooid Bretnish as ta 200,00 ny smoo jannoo studeyrys er Bretnish ec y scoill. Ghow ny Bretnee toshiaght er y raad shoh roish ymmodee sleih elley. Nish, ta'n lheid taghyrt sy Spaainey, agh ta'n reiltys Frangagh foast goll er myr v'ad ayns ny shenn laghyn.",
"Derrey baase Franco ayns 1975, va Catalaanish, Calleeshish as Baskish neu leighoil ayns ny scoillyn sy Spaainey. Agh neayr’s y traa shen, ta caghlaa yindyssagh er jeet. Eer daa vlein yeig er dy henney, cha row ynseyderyn dy liooar as Catalaanish oc sy Chatalaan (Catalonia). Nish, ta 85 ynseyderyn ass keead - gymmydey Catalaanish sy vrastyl.",
"Sy Ghalleesh, ta Galleeshish ec 2.5 millioon sleih (cre'n myn-chengey!). Rish jeih bleeaney, cooish eginagh t'ayn ayns ooilley ny bunscoillyn. Ta paitchyn gynsaghey Galleeshish myr cooish er-lheh as t'ad gynsaghey trooid Galleeshish. Ayns ny scoillyn ardey, shegin da ynseydagh jannoo studeyrys er daa chooish ec y chooid sloo trooid yn chengey shen. Ta cooishyn sheansagh (scientific) ry gheddyn trooid Galleeshish neesht bwooise da'n obbyr va jeant er y gherrid. Ayns ny ollooscoillyn, ta un ynseyder ass troor gynsaghey trooid Galleeshish dy bollagh. Shegin Galleeshish flaaoil ve ec studeyryn ollooscoill.",
"Mastey ny Baskee, ta 23 ass keead jeu as Euskara (Baskish) oc. Ta shen dy ghra, ta 700,000 loayrtagh ayn. Va 45 millioon punt ceaut dy hraenal ynseyderyn Baskish.",
"Ta'n lieh ayrn jeh ny paitchyn aegey gynsaghey Baskish ayns bunscoillyn yn steat as ta'n chooid elley goll gys scoillyn preevaadjagh va currit er bun noi'n leigh ayns lhing Franco. Neayr’s baase Franco, ta ny scoillyn preevaadjagh shoh er naase dy mooar as nish ta scoillyn ardey ayn. Ta ny smoo na daa cheead lioar-teks currit magh ayns Baskish gagh blein dy chooney lesh yn chengey ayns ny scoillyn.",
"Ayns y Rank, s'leayr foast nagh mie lesh reiltys Phaarys red erbee agh Frangish. ",
"Ga dy yiall Mitterand 'dy vel y traa er jeet nish dy 'osley scoillyn son ny chengaghyn as cultooryn jeh'n Rank', ta sleih goll rish ny Britaanee as ny Occitaanee foast fuirraghtyn rish y teihll noa. As adsyn gobbraghey fo doilleeid mooar, ta ny Britaanee goaill toshiaght dy chur scoillyn ardey Britaanish er bun. Cha nel monney cooney ry gheddyn veih'n reiltys. Ta'n reiltys ayns foayr jeh lessoonyn ayns scoillyn ec traa jinnairagh ny tra ta ny barrooseyn-scoill er ngoll magh ass!",
"Bentyn rish Occitaanish, ta'n chengey shoh ec paart dy henn sleih. Shenn chengey ny troobadooryn t'ayn. Ta sleih er neeck dy chur er bun jeih scoillyn-oikan as queig bunscoillyn. Ta paitchyn gynsaghey yn chengey liorish goll er thummey aynjee veih'n eash jeh daa vlein.",
"Myn-chengey elley nagh vel shin clashtyn monney mychione, shen Freeshlannish. Ta Freeshlannish goll er loayrt ec 600,000 dy 'leih ayns y twoaie jeh ny cheeraghyn Injil as ayns ayrn beg jeh'n Ghermaan. She cooish eginagh t'ayn ayns 500 bunscoillyn.",
"Mennick dy liooar, ta chengaghyn 'mooarey' cheet dy ve myn-chengaghyn ayns cheeraghyn joarree. Myr sampleyr, ayns Schleswig-Holstein (steat Germaanagh) ta edjaghys ry gheddyn trooid Danvargish ayns 50 scoillyn. As ayns y twoaie jeh'n Iddaal (Tyrol jiass) ta edjaghys Germaanish ry gheddyn.",
"Son shickyrys, by vie lesh ny Celtiee ve sy stayd cheddin as paart jeh ny 'myn chengaghyn' shoh ta goll er loayrt ec keeadyn dy housaneyn dy 'leih.",
,
Orree Crennell,
