Manx,English
,
Turryssid Cultooroil: Mie ny Sie?,
,
,The dominant nationalisms in the larger European states make it difficult to achieve a Europe of the Regions.
,
"Ayns dy chooilley heer Cheltiagh, ta shin er chlashtyn mychione y turryssid cultooroil, dy jarroo, cha nee red noa t'ayn son y chooid smoo. Ta shin cliaghtit rish sleih cheet dy yeeaghyn er shenn chashtallyn as shenn chlaghyn. Agh cha nel y chooid smoo jin cliaghtit rish lheid ny ynnydyn-eiraght hie er troggal ayns cheeraghyn ennagh er y gherrit. Ta ny h-ynnydyn-eiraght shoh jeant coardail rish yn aght ta sleih ennagh smooinaghtyn er ny reddyn haghyr ayns boayl ennagh. As, mannagh vel ny h-eieyn shoh ayns coardailys rish barellyn y sleih ynnydagh, hig boirey magh ass.",
,
"Jeeaghyn er yn turryssid teiy'n Oarpey, cha nel reiltyssyn ro arryltagh dy ghoaill rish dy vel yn turryssid scanshoil. Shen er y fa nagh vel monney sleih coontey yn turryssid dy ve un chynskyl (industry) agh red ta brisht seose ayns peeshyn. Ta shen taghyrt er y fa dy vel colughtyn mooarey, goll rish lhuingyssyn-aer, dy mennick kianlt lesh yn turryssid. Dy cliaghtagh, ta lhuingys-aer ayrn jeh red smoo, goll rish arraghey ashoonagh, ny chynskyl-etlanyn. Myr shen, cha nod yn lhuingys-aer cur eh hene da'n turryssid dy bollagh. Er yn aght cheddin, ayns ymmodee cheer, ny colughtyn ta troggal thieyn-aaght as y lheid, t'adsyn kianlt lesh dellal-troggal elley nagh vel bentyn rish yn turryssid. As reeshtagh, colughtyn ta cur gleashtanyn er mayl da skibbyltee, feer vennick t'ad shoh kianlt lesh cooishyn eddyr-ashoonagh. Myr shen, cha nel smaght kiart ec sleih ta stiurey yn turryssid er yn dellal oc hene. Ta reiltyssyn bwooiagh dy vel yn turryssid ayn, agh cha nel ad arryltagh dy chur monney geill da.",
,
"Ayns dagh cheer syn Unnaneys Oarpagh, ta'n turryssid cosney jeih dys feed sy cheead jeh'n troar-sthie lane (gross domestic product). As ny h-obbreeyn ayns dagh cheer, ta jeih dys feed sy cheead jeu gobbraghey da'n turryssid. She dellal mooar t'ayn.",
,
