Manx,English
Reurey ayns Ellan,
,
,The row over the superquarry in Harris once again highlights the need for less secret government.
,
"Er aght ennagh, ta red ennagh feer chooie bentyn rish y treealtys ec Redlands Aggregate dy yannoo quarral mooar ass towse ayns ny Harrey (Harris). Harrish keeadyn dy vleeantyn, ta lught yn argid er soiaghey beg jeh seihll ny hAlbinee Gaelgagh. Va'n chengey marrooit, bunnys. Va thousaneyn dy 'leih scughit magh ass dy yannoo reamys da ny kirree. Va'n sleih hene coontit dy ve gyn feeuid erbee.",
As nish ta treealtys ayn dy reuyrey as spooilley y thalloo hene dy yannoo raaidyn vees gymmyrkey tooilley gleashtanyn vees tilgey magh tooilley nieu. Shen y seihll dhyt.,
"Ta colught Redlands Aggregate geearree jannoo quarral feer vooar ec Lingerabay ayns ny Harrey Jiass. Veagh y quarral shoh costal jeih as tree feed millioon punt as veagh eh ry-akin veih'n eayst. T'eh jeeaghyn dy vel ny creggyn ec Lingerabay feer vie ry-hoi raaidyn. Dy dooghyssagh, veih'n toshiaght, ta sleih er duittym magh dy lajer noi as son y quarral. Ta sleih ynnydagh ennagh smooinaghtyn dy bee startaghyn ry-gheddyn sy wharral, as ta sleih elley gra dy bee brock ass towse jeant jeh'n cheer.",
"Va brialtys theayagh currit er bun dy chlashtyn arganeyssyn noi as son y quarral. Va imraa (report) jeant ec fir-choyrlee son Comhairle nan Eilean mychione y quarral. Er aght ennagh, hie yn imraa shoh dys Redland Aggregate roish my jagh eh dys ny coonseilee reiht (gyn ourys, ta'n lhied taghyrt ayns Mannin neesht). Dooyrt yn MP son ny hEllanyn Heear, Calum Mac Donald dy nee scammylt v'ayn dy row imraa follit ry-akin ec ny lhiaseyderyn (developers) roish my vaik ooilley ny coonseilee eh. Reesht, shoh beoyn (tendency) lajer ayns ymmodee cheer. Mannin ny mast'oc. Ta shirveishyn theayagh soiaghey beg jeh sleih reiht as freayll pooar dauesyn hene liorish folliaght.",
"Ayns Mee Boaldyn 1995, chlou yn West Highland Free Press ny h-earrooyn haink ass towse-barel ayns ny Harrey mychione y quarral mooar. Sy towse-barel, dreggyr 82 sy cheead jeh'n sleih. Jeu shid, va 68 sy cheead noi'n wharral as 32 sy cheead ayns foayr jeh. Tree bleeaney roish shen, va ny h-earrooyn bunnys bun-ry-skyn casley rish shen, lesh 62 sy cheead ayns foayr jeh as 38 sy cheead noi echey.",
"Myr shen, ta caghlaa mooar er jeet ayns barel y phobble. As t'eh jeeaghyn dy haghyr yn un red sy choonseil. Sy toshiaght, va'n choonseil ayns foayr jeh'n wharral, son y chooid smoo. Agh lurg tammylt, va ny smoo as ny smoo coonseilee noi. As ta'n Cheshaght Obbree ayns ny hEllanyn Heear noi'n wharral neesht.",
Ta Redland Aggregate treishteil dy bee y Scrudeyr-Steat ayns foayr jeh'n wharral (cha bee eh ny red noa my ta politickeyr jannoo neu-nhee jeh barel Albinee as eshyn ny oltey jeh sheshaght pholitickagh ta goll rish yn Auk Mooar ayns Nalbin).,
"Haink y brialtys theayagh gy kione er aght fud-y-cheilley. Va'n choonseil er votal nane as feed noi hoght noi'n wharral: caghlaa mooar veih'n vote daa vlein roish shen. Er y hon shen, cha row turneyr y choonseil shickyr c'red dy ghra ec y vrialtys. As kyndagh rish shen, t'eh jeeaghyn dy row coonseilee dy liooar coontey nagh row yn caghlaa-aigney soilshit magh ec y vrialtys. Va'n stayd ommidjagh ayn dy row lught y vrialtys goll er myr dy beagh y choonseil foast ayns foayr jeh'n wharral as fys mie ec lught y vrialtys dy row y choonseil (goll rish y theay) er jyndaa mygeayrt dy ve noi'n wharral.",
"Ta'n skeeal shoh ny skeeal cadjin. Ta treealtys ayn jeant ec reiltys ny colught mooar. Cha nel monney sleih cur geill da sy toshiaght. Eisht, ta tooilley sleih smooinaghtyn er y chooish as toiggal dy bee y treealtys jannoo assee mooar.",
As ta tooilley sleih loayrt magh. Shoh yn traa ta lught-reiltys loayrt mychione possan beg jannoo boirey. As foddee t'eh ro anmagh dy chaghlaa red erbee.,
"Ta boirey dy liooar jeant liorish folliaght oikoil. Ta sleih ayns ny hellanyn shoh loayrt mychione yn co-phobble neu follit (the open society) as reiltys neu follit. Dy firrinagh, ta reddyn gaase ny smessey. Ta reiltys Lunnin lhiggey er dy vod sleih geddyn greim er stoo va screeut my-nyn-gione ec sleih-reiltys. Agh dy firrinagh, ta reiltys Lunnin shirrey argid dy liooar veih sleih ta laccal feddyn magh cre ren scaan ennagh screeu my-nyn-gione. Jarrood reiltys neu-follit, ta ny scaanyn foast reill.",
"Ayns ny Harrey, va boirey jeant dy fardailagh er y fa dy row peiagh ennagh ny sleih ennagh geearree freayll imraa myr imraa follit. S'cosoylagh dy beagh ny sloo assee jeant dy beagh yn imraa er ve currit roish y theay dy chelleeragh. Agh ta ram sleih ta gobbraghey ayns offishyn foast slane shickyr dy vod ad freayll seihll kiune daue hene my t'ad glassey stoo ayns kishtaghyn - ny lhiggey da sleih scanshoil fakin y stoo follit oc.",
,
Orree Crennell,
