Manx,English
Goll dy Moal er yn Raad Shee,
,
,The British Government's backing for elections in Northern Ireland surprised and depressed a lot of people. More than ever political courage is needed on all sides.
,
"Tra vees yn art shoh ry-akin ayns clou, foddee dy bee eh ass date. As foddee nagh bee. Tra dooyrt ny possanyn-caggee ayns Nerin Twoaie dy row scuirr-caggee ayn, va'n chooid smoo dy 'leih treishteil dy beagh yn chee beayn. V'eh jeeaghyn dy row yn treisht shen ny smoo ayns Nerin na v'eh ayns Sostyn. Sleih v'ayns ny h-ardjyn pobblaghtagh ayns Nerin Twoaie tra va'n scuirr-caggee er ny 'ockley magh, hoig ad dy row yn theay jerkal rish reddyn mooarey. Agh my hie yn sleih cheddin dys Sostyn, hooar ad magh nagh row ram sleih ayns shid toiggal dy noddagh caghlaa mooar cheet ayns Nerin ooilley kyndagh rish y scuirr caggee. Va sleih dy liooar ayns Sostyn neu-arryltagh dy chredjal dy noddagh yn chee tannaghtyn. As ta'n neu-arryltys foast ayn.",
,
"Red agglagh dy ghra, agh veagh oo smooinaghtyn er aght ennagh dy beagh reiltys Hostyn bwooiagh dy beagh yn caggey ayn reesht. S'leayr nagh vod y reiltys shen dellal rish yn chee er aght teoilt as eh fo smaght ny h-Unnaneyseyryn. Ta caa yindyssagh ayn dy chur er bun shee veayn, agh ta gaue ayn nish dy jeanmayd goll ergooyl dys ny shenn laghyn. Bleeantyn er dy henney ayns Sostyn, dinsh Unnaneyseyr dou dy row Jee hene er chur ny h-Unnaneyseyryn dys Nerin dy yeeaghyn da ny Yernee treih yn aght dy hraue ny magheryn. Cha row eh spotchal: v'eh dy firrinagh credjal shen. As my ta'n dooinney shen foast er mayrn, bee eh foast credjal shen, s'cosoylagh. S'doillee caghlaa yn aght ta sleih smooinaghtyn rish bleeantyn as bleeantyn.",
,
"Son shickyrys, va caa elley caillit ayns Nerin Twoaie red goll rish jeih bleeaney as feed er dy henney. Shiartanse dy vleeantyn roish shen, va faghtys (campaign) Sean South er vailleil as va'n Armee Pobblaghtagh er ngoll magh ass. Marish possan beg dy chumraagyn, va Sean South er phrowal dy ghreinnaghey irree magh ayns Nerin Twoaie. V'eh marrooit marish deiney elley sy faghtys debejagh shen. Lurg shen, jannoo arrish er y phobble doo ayns America, ghow ny Catolee ayns Nerin Twoaie toshiaght dy hirrey kiartyssyn theayagh cooie daue hene. Va bunnys ooilley ny kiartaghyn share ec ny Protestoonee. Er yn oyr dy row yn niart as yn argid ec Protestoonee nyn lomarcan, bunnys, va ny smoo na un vote ec ram Protestoonee ayns reihyssyn ynnydagh. As ayns baljyn dy liooar, ga dy row ny smoo Catolee na Protestoonee ayndaue, va coonseilyn Protestoonee reill harrystoo.",
,
"Ayns Gleashaght ny Kiartyssyn Theayagh, ghow ny Catolee toshiaght dy hirrey ny kiartyssyn oc dy sheeoil. Agh hoie ny meoiryn shee orroo lesh y laue lajer, as lurg shiartanse dy vleeantyn, ren shen croo Armee Pobblaghtagh lajer nagh row ayn roish shen. Va'n caa caillit. Sheeu goll harrish ny shenn skeealyn reeshtagh er y fa dy vel ad jarroodit ec ram sleih. Myr sampleyr, sy phabyr 'The European' yn chiaghtin elley, va earisheyr screeu dy begin da ny meoiryn-shee as armee Hostyn fendeil ny h-Unnaneysseyryn noi'n Armee Pobblaghtagh tra va Gleashaght ny Kiartyssyn Theayagh goaill toshiaght. Cha row yn Armee Pobblaghtagh ayn ec y traa shen! Er y fa dy row ny h-Unnaneysseyryn foast smooinaghtyn jeh ny Catolee myr fo-phobble, va'n shenn chaggey fo raad reeshtagh, lesh 'dyn oarlagh' er yn daa heu. Neayr's y scuirr-caggee sy vlein 1994, ta reiltys Hostyn er ghra nagh vod Sinn Fein goaill ayrn ayns chaglymyn jeh ny sheshaghtyn politickagh ooilliu gys vees ny pobblaghtee cur seose paart jeh ny gunnyn oc. Sy chooish shoh, ta reiltys Hostyn 'jarrood' nagh vel possanyn erbee lesh gunnyn cliaghtey cur seose wappinyn erbee roish chaglymyn politickagh. Ta shenn phobblaghtee gra 'Hug shin seose y caggey armit jeih bleeaney as feed er dy henney as jeeagh er ny reddyn ren taghyrt'.",
,
Ta sleih ennagh smooinaghtyn dy vel Gerry Adams ginsh breagyn tra t'eh gra dy nee lurg y scuirr-caggee dy ghow reiltys Hostyn toshiaght dy hirrey gunnyn dy ve currit seose myr conaant jeh goaill ayrn ayns chaglymyn jeh ny sheshaghtyn politickagh. Ta'n sleih shoh gra dy row fys ec Gerry Adams er y chonaant shoh roish y scuirr-caggee. Quoi ec ta fys?,
,
"T'eh jeeaghyn dy vel reiltys Hostyn er nyannoo neu-nhee jeh Commishoon Mitchell. Veagh fys ec y chayt nagh dod ny pobblaghtee cur seose armyn erbee roish my row Sinn Fein goaill ayrn ayns resoonaghtyn marish sheshaghtyn elley, as shen ny dooyrt Mitchell. Syn ynnyd jeh goll er-oaie, ta Lunnin shirrey reihys as gra nagh vel shen yn un red as goll er-ash dys Stormont. Dy jarroo, ta shoh er chur yindys mooar er sleih dy liooar as er sleih nagh vel nyn bobblaghtee. Roish my ren Lunnin goll er y raad shoh, va shoh ayns yn earishlioar jeh'n Cheshaght Ghoaldagh cour Studeyrys Yernagh (sheshaght nagh vel currit da guee mollaght er Sostyn): '...the British government is unlikely to run with the prospect (jeh reihys) - despite support from centerists such as the Alliance party - in the face of such strong nationalist opposition.' Va'n fer-screeuee smooinaghtyn nagh jinnagh reiltys Hostyn gra do row eh ayns foayr jeh reihys. Goll rish sleih elley, va'n fer-screeuee neu-chiart.",
,
"Ansherbee, ta politickeyryn ayns Divlyn toiggal dy vel ad dellal rish deiney feer chreoi ayns Lunnin as Beeal Feirshtey mannagh row ad toiggal shen hannah.",
,
As c'red ta ny politickeyryn cheddin coontey jeh ny pabyryn-naight as chellveeish Sostnagh ta gra 'ashooneyryn Yernagh' rish dy chooilley pheiagh ayns Nerin nagh vel ny Unnaneyseyr? T'ou cummal sy cheer ayd hene as t'ou goll er reill liorish yn reiltys ayd hene as t'ou dty 'ashooneyr!' Vel Patrick Mayhew as John Major nyn ashooneyryn Sostnagh? Ta lheid yn aigney soilshaghey magh yn vaarney ghaueagh eddyr yn daa heer.,
,
"Ta shin roshtyn y stayd nish tra vees Yernee dy liooar, glass ny oranje, guee dy jinnagh Sostyn shooyl magh ass as cur caa da ny Yernee dy reaghey reddyn er aghtyn sheeoil ny-mast'oc hene. Ta Nerin ayns feme agglagh jeh daanys politickagh veih dagh cheu, cha nee jeh ny shenn skeealyn reesht as reesht.",
,
"Dy beagh ny h-Unnaneyseyryn abyl dy roshtyn coardailys marish ny Pobblaghtee, veagh y stayd jeh'n cheer caghlaait dy bollagh. Jarrood ooilley yn boghtynid shen mychione yn Phobblaght sluggey seose Nerin Twoaie - veagh niart mooar ec ny h-Unnaneyseyryn ayns Nerin noa. Ashlish, foddee, agh ta shin ayns feme jeh ashlish.",
,
Orree Crennell,
