Manx,English
Gaelg Albinagh ayns Scoillyn Ard,
,
,Summary
,
,Efforts to extend Gaelic medium education to secondary schools in Scotland have been stalled. Many people do not believe the real reason for this is the shortage of suitable teaching material.
,
"Cha nel reiltys Lunnin arryltagh dy lhiggey da scoillyn ard ayns Nalbin gynsaghey cooishyn-scoill trooid Gaelg Albinagh kyndagh rish 'doilleeid obbree'. Ta'n Scrudeyr-Steat son Nalbin er ghra dy vel eh ymmyrçhagh dy smooinaghtyn dy dowin er aghtyn dy ve speeideilagh sy traa ry-heet. Ta'n Scrudeyr-Steat gra dy vel reiltys Lunnin goaill ayns laue shaleeyn dy gheddyn tooilley ynseyderyn oddys gynsaghey trooid Albinish. Keimeeyn (graduates) as Albinish oc ta gobbraghey ayns bunscoillyn, bee toyrtyssyn eear-cheimagh (postgraduate grants) ry-gheddyn oc. Bee coonseilyn ynnydagh goll er greinnaghey dy yannoo ny smoo son possanyn roie-scoill ta cur Gàidhlig er e hoshiaght. As lhisagh coonseilyn ynnydagh as sheshaghtyn Albinish co-obbraghey ny share.",
,
"Ec y traa t'ayn, ta lieh-cheead unnid Albinish ayns Nalbin lesh thousane dy lieh dy h-ynseydee ayndaue ooilley cooidjagh. Paitchyn ayns ny h-unnidyn shoh, t'ad goll er ynsaghey trooid Albinish ayns bunscoillyn raad ta ny paitchyn elley goll er ynsaghey trooid Baarle. Ta ny h-unnidyn shoh feer speeideilagh, as sleih ta gobbraghey son Albinish, v'ad jerkal dy beagh unnidyn Albinish currit er bun ayns scoillyn ard Albinagh. Ta imnea mooar er ram jeh'n sleih shen nish kyndagh rish mee-arryltys reiltys Lunnin dy chur ynsaghey trooid Albinish er e hoshiaght.",
,
"Agh ta leshtal ec reiltys Lunnin sy chooish shoh. Foddee ad gra: 'Cur-shiu my ner: ta shin cur yn chengey er e hoshiaght er aght keeallagh as fondagh. Cha jeanmayd goll ro happee as milley y slane shalee'. Son shickyrys, ta ny toyrtyssyn son Albinish goll seose dys 2.1 millioon (bishaghey jeih sy cheead), bee coorsyn noa ry-gheddyn ayns scoillyn ard, as bee ad cur er bun ynnyd ry-hoi jannoo stoo-ynsee as dy chur magh eh.",
,
"Yn argid ta colleish Sabhal Mor Ostaig geddyn veih coonseilyn ynnydagh, hig shen dy ve fo smaght Oik Nalbin. S'taittin lesh stiureyder y cholleish shen, er y fa dy bee eh ny sassey geddyn argid veih un oik na veih hoght oikyn.",
,
"Goll erash dys Albinish ayns scoillyn ard, ayns 1994 ren scruteyryn-scoill cur magh imraa va noi sheeyney ynsagh trooid Albinish veih bunscoillyn dys scoillyn ard.",
,
"Va sleih goaill yindys jeh briwnys ny scruteyryn. Kyndagh rish shen, ta 123 dy heshaghtyn as persoonyn er chur ny barellyn oc mysh imraa ny scruteyryn. Ga dy beagh bunnys gagh nane jeh ny h-aghinyn noi briwnys ny scruteyryn, ta'n Scrudeyr-Steat er nobbal sheeyney ynsagh trooid Gaelg Albinagh dys scoillyn ard. Yn MP son ny h-Ellanyn Heear, Calum Mac Donald, dooyrt eshyn dy row trimshey ersyn er yn oyr nagh dug yn Scrudeyr-Steat as Oik Nalbin geill da ny barellyn ta noi briwnys ny scruteyryn.",
,
