Manx,English
Yn Chynskyl-Eiraght,
,
"Paart dy vleeantyn er dy henney, va sleih ayns Carnac sy Vritaan goaill yindys moghrey dy row. Ren ad doostey dy 'eddyn dy row ny mooar-chlaghyn ard-ghooagh (famous megaliths) ec Carnac cruinnit mygeayrt lesh faalyn-streng. Cha dod sleih shooyl faggys da ny sheen chlaghyn arragh. Va cummaltee Charnac corree. Quoi va er nyannoo yn atçhim shoh?",
,
V'eh jeans ec reiltys y Rank dy firrinagh. Dooyrt sleih sy reiltys shen nagh row ad agh coadey ny claghyn veih'n theay. She tashtey yindyssagh va ny claghyn as begin da'n reiltys jannoo shickyr nagh row riftanyn jannoo assee aaue. Agh ren cummaltee Charnac briaght cre'n fa nagh row y reiltys cur faalyn-streng mygeayrt ny keeadyn dy vooar-chlaghyn elley nagh row ec Carnac hene. Cha dod y reiltys cur freggyrt kiart.,
,
"Fy yerrey, hooar cummaltee Charnac magh dy row claare-obbree follit ec y reiltys. Marish lught-dellal, v'ad geearree troggal pairk-hashtee (theme park) ec Carnac. Ta millioon dy 'leih cheet lesh shilley er ny mooar-chlaghyn gagh blein as ta argid ry-chosney assdaue. As red beg elley, dooyrt y reiltys as y lught-dellal, shegin dooin strode balley beg çheerey dy hroggal y phairk-hashtee. Mannagh vees cummaltee y valley beg çheerey arryltagh dy gharraghey, bee ny thieyn oc kionnit er egin.",
,
"Myr smooinagh oo, cha nel y sleih sy valley beg çheerey ro wooiagh mychione shoh. Dy jarroo, un ven er y chooid sloo, t'ish er ghra nagh bee ish garraghey noadyr. Foddee dy jean ee garraghey as ish ny corp marroo, t'ee gra. Myr shen, t'eh jeeaghyn dy bee boirey dy liooar çheet dys Carnac kyndagh rish yn çhynskyl-eiraght (heritage industry).",
,
"Haink lioar anaasagh magh er y gherrid mychione yn çhynskyl-eiraght. T'eh enmyssit 'The Heritage Crusade and the Spoils of History', liorish David Lowenthal (Clou Viking). Ta'n ughtar gra nagh vel eiraght as shennaghys yn un red. Dy jarroo, t'eh goll foddey ny sodjey na shen. My t'ou gobbraghey son 'eiraght', t'eh gra, shegin dhyt lheamyssey shennaghys (deform history). Eiraght, shen credjue sy traa hie shaghey. Shegin dhyt ve biallagh da'n chredjue shen, as cha lhiass dhyt ve shirrey yn 'irriney.",
,
"Ta shennaghys goll er screeu ocsyn hooar laue yn eaghtyr. Agh, coardail rish Lowenthal, ta eiraght lhieusyn ren coayl y caggey, ta shen dy ghra, ny ourallee (victims). Paart jeusyn ta çheet veih sleih hooar laue yn eaghtyr, bare lhieu ve marish ny ourallee. My t'ou Americaanagh, Frangagh ny Sostnagh, t'ou ayns feme jeh red ennagh ta ec sleih ren coayl y caggey. Ta Lowenthal screeu mychione ben-ynsee voish Paris ta ""accan er y fa nagh vel Britaanish eck. Kyndagh rish shen, ta trimshey urree as t'ee gra 'Cha nel çhengey aym, cha nel cultoor aym'. Fer Oarpagh elley, by vie lesh ve gollrish ny Injinee Americaanagh.",
,
"Son shickyrys, shimmey keayrt ta 'eiraght' currit da sleih ta heese, goll rish y chooid smoo jeh ny Celtiee. As, dy jarroo, ta shinyn, ny Celtiee, bwooiagh tra s'mooar lesh sleih elley ny cultooryn Celtiagh. Agh ta'n çhynskyl-eiraght gaueagh dy liooar, myr ta shin cur my ner sy Vritaan. Shimmey keayrt, ta joarreeyn çheet as gra rish sleih dooghyssagh 'Ta shinyn toiggal yn eiraght euish ny share na shiuish. Jarrood-shiu ny eieyn euish mychione yn eiraght euish - shoh yn eiraght euish. Shione dooinyn ny eieyn kiart'. As ta'n sleih dooghyssagh dooint magh, er y çhemmal, gyllagh magh dy fardailagh 'Erhoh shinyn - eaisht-shiu rooin!'",
,
"Er lhiam dy vel eh scanshoil dy vel lioar Lowenthal er jeet rish. Shoh y chied cheayrt ta mish er nakin y lheid screeut sheese. Stoo goll rish '..ta eiraght croo cooinaghtyn as jannoo neu-nhee jeh feeridyn neu-inchyssagh' ('..heritage invents memories and excludes inconvenient facts'). As 'Jarrood ny ta cur yn olk orrin, shen cadjin as ymmyrchagh ec yn un cheayrt' ('Forgetting what displeases us is not only normal hut necessary'). Ta ny Celtiee toiggal shoh feer vie!",
,
"Shinyn ta streeu dy choadey as bishaghey ny cultooryn ain, ta shin toiggal y daa raad: raad yn 'eiraght' as raad y scoillaraght. Raad yn eiraght currit da lhoobey 'yn 'irriney' beggan (ny ram) as read y scoillaraght currit da'n irriney. Agh ny keayrtyn cha nel eh baghtal dy vel daa raad ayn. Ny keayrtyn ta'n daa raad çheet ry cheilley as ta arganys ayn. 'Yn 'irriney' - c'red t'eh'?",
,
"Ayns Thie Tashtee yn Antrapoaylleeaght ayns Vancouver, ta fogrey mie va screeut ec dooinney dooghyssagh: 'My t'ou laccal freayll eiraght. shegin dhyt croo'. Ta mish credjal shen. choud's nagh vel shin lhoobey shennaghys rouyr. Shegin dooin goaill ny jeelymyn as croo, croo, croo. Shegin dooin cur ooashley da'n çhenndiaght, agh ec y traa cheddin shegin dooin croo seihll noa lesh y çhengey as y kiaull, goaill ymmyd jeh gagh red, shenn as noa, ta mygeayrt y mooin. Cha nodmayd aa-vioghey y seihll myr v'eh ayns ny sheen laghyn (Cre ny shenn laghyn t'ou loayrt mychione'?).",
,
"Un red ta shickyr: ayns Baarle, ta'n fockle 'eiraght' er jeet dy ve sollagh. Ayns Sostyn, myr sampleyr, ta Shirveishagh yn Eiraght dellal rish y cronghyr. As ayns Mannin. by vie lesh Undinys Eiraght Vannin caghlaa yn ennym echey. Agh ta oyr elley ayn dy chaghlaa yn ennym. Ny deiney mooarey ayns y Tashtey ta reill harrish Mannin, t'ad smooinaghtyn dy vel Undinys Eiraght Vannin yn un red as Eiraght Ashoonagh Vannin. Cha nel ad toiggal yn oyr dy vel yn Undinys geddyn argid erbee veih'n reiltys tra ta Eiraght Ashoonagh Vannin geddyn millioonyn hannah. Yee, saue shin ooilley.",
,
Orree Crennell,
,
,"A useful book analysing the world wide heritage industry has been published. It points out that, by its nature, heritage involves invention. Call it creation and things are not too bad."
