Manx,English
Farrysyn ny çheeraghyn Celtiagh,
,
"Hie y Cohaghlym Eddyrashoonagh er cummal ayns Mannin ayns 1998. Ard-chooish y Chohaglym, va shen farrysyn (economies) ny çheeraghyn Celtiagh. She Lorne MacLeod loayr son Nalbin. Ta Lorne MacLeod yn Ard-Hecktyragh jeh Colught Dellal Ynnydagh yn Ellan Skianagh as Lough Allshey. Va'n colught shoh currit er bun dy scuirr as dy hyndaa mygeayrt y leodaghey sy farrys jeh'n Ellan Skianagh as Lough Allshey, yn ard er y çheer vooar ta faggys da'n Ellan Skianagh.",
,
"Hug Lorne MacLeod list dy ard-haleeyn. V'ad shoh Ollooscoill y Ghaeltaght as ny h-Ellanyn? Chaghnoaylleeaght-fysseree, 'Tar erash', çheet dy ve dty chroiteyr, kiaull as ellynyn, ymskeaylley, as y Ghaidhlig. 'Thig air ais' - 'Tar erash' - shen shalee dy ghreinnaghey sleih voish yn Ellan Skianagh as Lough Allshey dy heet erash as (y red share) dy chur er bun colughtyn beggey. Ta stoyr-fysseree feer vooar goll er troggal dy roshtyn sleih feiy ny cruinney. Yn çhalee ry-hoi Ollooscoill y Ghaeltaght as ny h-Ellanyn, ta shen feer hymoil, er y fa dy bee shoh myr ollooscoill soylagh. Sabhal Mor Ostaig, y cholleish Ghaidhlig er yn Ellan Skianagh, bee shen feer scanshoil sy chooish shoh. Cha nel yn earroo dy cummaltee ayns yn Ellan Skianagh as Lough Allshey tuittym nish - dy jarroo, t'eh goll seose nish. Ta sleih saa, breeoil garraghey stiagh, y chooid smoo jeu veih'n çheer vooar Albinagh.",
,
"Y loayrtagh son y Vritaan, va shen Bernez An Nail, y stiureyder jeh undinys cultooroil ayns Rennes. Ren eh goaill toshiaght lesh focklyn veih art sy phabyrnaight Frangagh Le Monde. Va'n art enmyssit Y Virril Vritaanagh'. Va'n art mychione yn aght ta sleih gobbraghey ry cheilley sy Vritaan, y chreeaght noa ta ry gheddyn ayns shen as yn aght ta’n Vritaan 'goll rish Catalonia nish'. Ta'n Vritaan nane jeh ny ardjyn smoo scanshoil syn Oarpey bentyn rish y turrysid as gaase bee. Cha nel y Vritaan croghey er ardjyn elley, er aghtyn dy liooar. Ta ny smoo pobble cummal ayn na ayns ard elley sy steat Frangagh.",
,
"Lurg y Nah Chaggey Mooar, va'n Vritaan ayns stayd agglagh. Va ny purtyn currit mow as yn fo-strughtoor stroiet. Va'n farrys croghey er eirinys va shennemshyragh. Va daa cheead as daeed thousane gowaltys ayn, y chooid smoo jeu feer veg - ny sloo na queig acyr as feed.",
,
"Ny smoo na lieh-cheead blein lurg shen, cha nel eh myr shen er chor erbee. Ga nagh vel agh shey sy cheead jeh cummaltee y steat Frangagh ec y Vritaan, ta'n Vritaan cur queig as feed sy cheead jeh’n vainney as hoght as daeed sy cheead jeh ny ein. Ta'n Vritaan sy tree ynnyd syn Oarpey bentyn rish oohyn. Ta shiaght millioon muc eck. Shoh paart jeh ny earrooyn hug Bernez magh.",
,
"Ta ny caglaaghyn er nyannoo foays da'n farrys ooilley cooidjagh. Agh ta sleih er hurranse dy mooar. Ta'n shenn seihll ersooyl. Ta biljyn ass towse er nyn stroie dy yannoo magheryn mooarey as caghlaa yn cheer dy bollagh. Ta ram stoo er ny hollaghey, erskyn ooilley yn ushtey.",
,
"Red va beggan quaagh bentyn rish leaght Vernez, va shen y red nagh dooyrt eh veg mychione y Vritaanish as y cultoor Britaanagh. Freggyrt feysht ec jerrey y leaght, dooyrt eh dy row yn çhengey er ngoll sheese dy mooar, ga dy row reddyn mie ayn, goll rish Diwan, ta cur er bun scoillyn raad t'ad gynsaghey trooid Britaanish. Va obbyr erskyn towse ry yannoo dy chur cooney da'n chengey.",
,
"Loayr Adam Price son Bretin. Ta eshyn stiureyder ronsaghey as lhiasaghey (research and development) ec Menter a Busnes (Ventyr as Dellal) ayns Aberystwyth, ayns pairk-sheanse (science park) ry-hoi cur colughtyn beggey er bun. Paart dy vleeantyn er dy henney, v'eh baghtal nagh row Bretnisheyryn (adsyn as Bretnish oc) çheet rish dy chur colughtyn er bun. Ta Adam smooinaghtyn dy vel ram Bretnisheyryn foast smooinaghtyn nagh vel eh cooie dauesyn dy yannoo y lheid - shen red ta Baarleyryn jannoo. 'She ny Baarleyryn ta croo kiartaghyn as she ny Bretnisheyryn ta gobbraghey da ny Baarleyryn'. Er y fa nagh vel creeaght dy liooar ocsyn as Bretnish oc, cha nod cooishyn goll er bishaghey. Er c hon shen, ta Adam Price dellal rish Bretnisheyryn, cooney lhieu dy chur colughtyn er bun as dellal trooid Bretnish. Peiagh ny ghaa va geaishtagh rish Adam ec y Chohaglym Celtiagh, cha dod ad credjal dy row ny Bretnisheyryn cho faitagh as shen. Agh reesht as reesht ec y Chohaglym shoh va shen yn chaghteraght: genney creeaght lhiettal lhiasaghey.",
,
"Loayr Conall Ó Morain son Nerin. Eshyn y stiureyder jeh gien mie theayagh (public relations) son Slattery PR. Loayr eh feer niartal ayns foayr jeh margaghyn seyr. V'eh gra reddyn lunagh mychione reiltyssyn Yernagh v ayn kuse dy vleeantyn er henney as ad croo kiartaghyn foalsey lesh argid nagh row ayn. Va shoh fardailagh dy bollagh as ren ny Yernee gynsaghey lessoonyn piandagh. Kyndagh rish shen, t'ad ny smoo creeney lesh argid nish. Bwooise da’n chreenaght shen as da'n Unnaneys Oarpagh, ta'n Tiger Celtiagh jannoo dy mie as abyl dy chur er bun reddyn casley rish Teilifis na Gaeilge.",
,
"Loayr Alastair Quinnell son y Chorn. She coonseilagh-countee eshyn as anaase echey er cooishyn Oarpagh. She skeeal trimshagh v'echey. Va ny Cornee leedeil ayns ram cooishyn çhynskylagh (industrial), agh nish ta ny çhynskylyn tradishoonagh er nyn stroie. Cha nel y Chorn geddyn monney cooney noadyr er y ta dy vel ee kinjagh goll er kiangley lesh Devon, ard ta foddey ny s’berchee. Dy jarroo, ta'n Chorn ayns stayd agglagh.",
,
"Ren Charles Cain loayrt son Mannin. Loayr eh mychione farrys myr cooish-ynsee as yn aght dy vel yn earroo dy chummaltee ayns cheer feer scanshoil. My va sleih laccal dy ve berchagh as tarroogh, begin geddyn tooilley cummaltee. Agh veagh shen stroie shee as taitnys y cheer. Myr shen, va doilleeid ayn. Loayr Charles Cain mychione Mannin - eirinys, chynskyl, turrysid as y kerroo-argidys. Dooyrt eh dy row ynsagh scanshoil ass towse. Berchys Vannin, shen e pobble. As v'ee cur ersooyl pobble mie-ynsit da cheeraghyn elley rish ymmodee bleeantyn. Dooyrt eh nagh row politickeyryn Vannin ynsit dy liooar. Lhisagh Mannin ve foddey ny smoo daaney. Erskyn ooilley, lhisagh Mannin freayll rick er ny reddyn va goll er feiy ny cruinney as ginsh da’n teihll mychione Mannin.",
,
Orree Crennell,
,
,Summary
,
,Speakers from the Celtic countries gave lectures on the economies of their countries at the 1998 International Celtic Congress in the Isle of Man.
