Manx,English
Caggaghyn Chellveeish,
,
,
"Ayns yn aigney jeh peiagh erbee ta resoonagh, ta Teilifis na Gaeilge (TnaG) speeideilagh dy liooar. Shoh yn shirveish-chellveeish ayns Yernish va currit er bun ec y reiltys Yernagh er y gherrid. Agh, myr veagh oo smooinaghtyn, ta sleih ennagh ayns Nerin noi'n stashoon noa. 'T'eh costal rouyr as cha nel monney sleih jeeaghyn er', t’ad gaccan. Son y chooid smoo, myr veagh oo smooinaghtyn reesht, y sleih ta gaccan nish, cha row ad laccal y stashoon er chor erbee. Kuse jeu, shen sleih ta coontey Yernish dy ve marroo as by vie lhieu ve 'eddyrashoonagh', ta shen dy ghra, Baarlagh ny lomarcan.",
,
"S'mirrilagh dy vel TnaG ayn. Begin caggey liauyr 'yannoo dy chur eh er bun. Goll rish ny partanyn Manninagh, va Gaeilgeoiri ennagh slane noi cur stashoon Yernish er bun. Ren reiltyssyn Yernagh girree seose as tuittym sheese kyndagh rish scammyltyn anchasley as oddagh y treealtys dy chur TnaG fo raad er ve caillit ec traa erbee. Agh, bwooise da Jee, cha row y treealtys marrooit as haink TnaG rish.",
,
"Tra va TnaG fo raad, v'eh cur yn olk er paart jeh’n lught-jeeaghyn liorish ymskeaylley recortyssyn jeh gammanyn Gaelagh classicagh. Va shoh tayrn ram sleih elley dy yeeaghyn er y stashoon, agh va Yernisheyryn ennagh gaccan nagh row y lheid cooie da stashoon Yernish. Shoh cooish va’n Irish Times glackey dy hoie er TnaG, gaccan dy vel y stashoon noa' costal ass tow se as failleil dy cosney lught-jeeaghyn ta mooar dy liooar' - er-lhimmey jeusyn ta jeeaghyn er ny gammanyn classicagh ('red neu-chooie').",
,
"Myr t’eh eginit jannoo mennick dy liooar, ren Cathal Goan, fer-toshee TnaG, fendeil y stashoon dy mie. Hoilshee eh dy dooar TnaG mysh jeih millioon punt dy jeeragh veih'n reiltys Yernagh son 1998. Chammah as shen, ta TnaG geddyn mysh shey ny shiaght millioon punt voish Raidio Teilifs Eireann. Va ny earrooyn shoh reaghit kuse dy vleeantyn er dy henney as, ec traa shen, cha row TnaG kiarail ymskeaylley agh son daa oor gagh laa. Ta TnaG er nyannoo cho mie lesh yn argid oc as dy vel ad gymskeaylley ayns Yernish son kiare oor dy lieh gagh laa nish, lesh kiare gys shey oor ny smoo gagh laa ayns Baarle, gyn geddyn tooilley argid veih'n reiltys.",
,
"Skimmee undinagh TnaG, shen jeih persoonyn as feed ta goaill ymmyd jeh chagnoaylleeaght ta thalk-noa. As, feiy Nerin, ta tree cheead kiartey er nyn groo, ta sleih aeg lesh schleighyn leaghar er ngeddyn caa dy ghoaill ymmyd jeh ny schleighyn shen as ta TnaG er chosney aundyryn eddyrashoonagh son ny claareyn t’eh eh nyannoo. Ta Cathal Goan gra dy vel eh stiurey'n stashoon-chellveeish smoo fondagh ayns cooishyn-argidys sy teihll. As t’eh gyindys vel 'costal ass towse' aght sleetchagh dy ghra 'ny jean ceau veg er chellveeish ayns Yernish'?",
,
"Ayns Pobblaght Nerin, ta nane sy cheead jeh'n lught-jeeaghyn chellveeish jeeaghyn er TnaG ec traa-mullee. Shoh mysh yn earroo cheddin as adsyn ta jeeaghyn er Sky News as t'eh ny smoo na adsyn ta jeeaghyn er MTV ny Eurosport.",
,
