Manx,English
Shennaghys: Rieughid as Neu-rieughid,
,
"Tammylt er dy henney hug mee my ner dy row inneen ayms goaill ymmyd jeh lioar-scoill enmyssit 'Discovering the making of the UK'. Shoh lioar t'ad gymmydey ayns scoillyn ayns Mannin. Ta'n lioar shoh ayrn jeh strane enmyssit 'Feddyn magh mychione y traa hie shaghey', as t'eh mychione 'Y Crooin, Ard-whaiyllyn as Pobble, 1500 - 1750'. Reesht, ta'n lioar ayrn jeh Shalee Shennaghys ny Scoillyn (The Schools History Project), va currit er bun ayns Sostyn sy vlein 1972. Va'n lioar hene currit magh ayns 1992 as reesht ayns 1995.",
,
"Foddee dy vel stoo mychione çheeraghyn elley ayns lioar elley sy 'trane 'Feddyn magh mychione y traa hie shaghey', agh ta'n lioar shoh ooilley mychione Sostyn, son y chooid smoo: Rheynn 1 - 'Sostyn ayns ny bleeantyn 1500'. Rheynn 2 -'Cre goll rish v'eh, cummal ayns Sostyn ec y traa shen?' Rheynn 3 - 'Cuin va’n Aachummey Agglish ayns Sostyn?' Rheynn 4 - 'Cuin va'n Ravloyd Sostnagh (English Revolution)?' Rheynn 5 - 'Cre cho jeianagh as va'n Reeriaght Unnaneyssit?' Rheynn 6 (Y Jerrey) - 'Turrys mygeayrt Britain'.",
,
"Lhig dooin jarrood Sostyn, Sostyn, Sostyn car y traa son minnid, as neemayd jeeaghyn er yn aght t'ad geearree gynsaghey shennaghys sy lioar shoh. Son shickyrys, tra t'ou fosley dty veeal as loayrt mychione shennaghys, nee peiagh ennagh gra dy vel oo aggairagh. Ayns cooishyn politickagh, s'mie lesh sleih er y skian jesh loayrt mychione ny reeghyn as mraane-rein as sleih niartal elley ayns shennaghys. Bare lesh lught y skian toshtal loayrt mychione y theay as cre goll rish ve ayns seihll y theay. Ayns Sostyn, tra hooar ny Thoreeyn y varriaght ayns 1979, phrow ad dy gheddyn rey rish yn eab va goll er ayns ny scoillyn dy ynsaghey da feallagh aeg mychione y theay syn ynnyd jeh gynsaghey ny daaytyn jeh reeghyn as mraane-rein. Va ny Thoreeyn lane shickyr dy row ram ynseyderyn keoi ayns Sostyn lhieeney king ny ynseydee oc lesh eieyn gaueagh. Haink shennaghys ayns ny scoillyn dy ve ny smoo politickagh foastagh.",
,
"Sy lioar-shennaghys ta mee screeu mychione ayns shoh t’ad dellal rish seihll y theay kiart dy liooar, agh ta stoo quaagh dy liooar ayn. Myr sampleyr, ta paart dy ghuillagyn sy lioar briaght 'Row y sleih boght dy firrinagh boght?' Ta shin lhaih dy row reiltys Hostyn boirit dy mooar sy cheyoo eash jeig as sy chiaghtoo eash jeig dy row y cheer lane dy wagaantee va shooyl ny dhieyn, shirrey jeirkyn. Ta’n lioar gra dy row ymmodee sleih baghey ayns stayd treih car y traa as cha row niart oc er shen. Agh eisht ta'n lioar goll er dy ghra: 'Agh shimmey peiagh sy cheyoo eash jeig as shimmey scrudeyr-shennaghys neayr’s y lhing shen ren gra nagh row ram jeh ny wagaantee shoh as lught shooyl ny dhieyn dy firrinagh prowal dy chooney lhieusyn hene. Oddagh y sleih boght er nobbraghey dy beagh ad laccal jannoo shen, agh v'ad shaghney obbraghey jeh yioin. Bare lhieusyn beaghey liorish shooyl ny dhieyn, roosteyrys as geid.'",
,
