Manx,English
Y Commeeys Celtiagh as y Cohaglym Celtiagh,
,
"Ta baase trimshagh Alan Heusaff cur orrym smooinaghtyn mychione y Commeeys Celtiagh as y Cohaglym Celtiagh as gleashaghtyn Celtiagh elley. Va mee er veeiteil rish Alan roish shen, agh va rieau cooinaghtyn aym jeh'n tra haink mee ny whail ayns Divlyn ayns 1966. Va shen lieh-cheead blein lurg Irree Magh 1916 as va'n ard-valley imneagh dy liooar erreish da Pillyr Nelson goll er sheidey seose.",
,
"(Ec y traa shen, cha row Radio Vannin lesh reiltys Vannin as va arraneyn myr 'Up went Nelson in old Dublin' ry chlashtyn er y radio, cred eh ny dyn.) Va Alan as mish goaill ayrn ayns chaglym jeh sheshaght haink rish as hie magh ass tappee dy liooar - Commeeys yn Aeglagh Celtiagh. Hug Alan leaght feer anaasagh mychione shennaghys y Vritaan, as y vea echeysyn hene Loayr eh mychione yn aght va ny Frangee cur gagh red Britaanagh fo chosh as yn aght ren en scapail veih'n vaase ec kione y nah chaggey mooar. Ec y traa shen as rish ymmodee bleeantyn lurg shen va’n reiltys Frangagh geiyrt orroosyn va 'co-obbraghey' lesh ny Germaanee. Shimmey Frangagh ren co-obbraghey dyn yss da sleih elley ren deyrey sleih nagh ren co-obbraghey er chor erbee.",
,
"Goll rish Britaanee elley, ren Alan scapail gys Nerin. Red nagh nhione da monney sleih nish, ren sleih ayns ollooscoillyn Bretnagh cooney lesh Britaanee scapail veih baase sy Rank. As va kuse jeh ny Bretnee shen nyn olteynyn jeh'n Chohaglym Celtiagh, sheshaght ta gra dy vel ee 'neupholitickagh'. Quaagh dy liooar, shen y fa dy dug Alan Heusaff y Commeeys Celtiagh er bun ayns ny bleeantyn tree feed: cha row y Cohaglym Celtiagh gra 'politickagh' rish hene as v'eh cooie sheshaght noa y chur er bun veagh dellal rish cooishyn Celtiagh dy jeeragh as dy politickagh.",
,
"Ta mish hene smooinaghtyn dy vel dy chooilley nhee politickagh. Cha nod oo shaghney politickaght. Agh ta mee kianlt lesh y Cohaglym Celtiagh, 'sheshaght neupholitickagh', rish ny smoo na daeed blein. Cre'n fa? Er y fa dy vel y Cohaglym politickagh er aght croutagh. Er lhiam nagh vod oo gra dy vel oo laccal coadey as cur er e hoshiaght ny cultooryn Celtiagh gyn y ve politickagh. Cho leah's t’ou gra dy vel oo currit da chengey Cheltiagh erbee, shimmey peiagh ta smooinaghtyn dy vel shen ny red slane politickagh. S'cooin lhiam y skeeal mychione yn inneen jeh aspick ayns Mannin paart dy vleeantyn er dy henney. Va’n inneen shoh goll dys brastyl Gaelgagh as hooar peiagh ennagh magh dy row yn ennym eck recortyssit ayns pabyryn 'follit' ayns ard-stashoon ny meoiryn-shee. Ben ghaueagh v'ayn my v'ee gynsaghey Gaelg!",
,
"Lhisagh ny sheshaghtyn Celtiagh gobbraghey ry-cheilley ny smoo. Ta'n chooid smoo jeh ny sheshaghtyn shoh goll er y raad oc hene. Eddyr t'ad almoragh mychione sheshaghtyn Celtiagh elley, er nonney s’cummey lhieu dy vel sheshaghtyn elley ayn. Agh, ga dy bare dooin feddyn magh foddey ny smoo mychione ooilley ny sheshaghtyn shoh, veagh eh ny varran fardailagh dy phrowal dy chur un sheshaght foawragh er bun, veagh goll er stiurey veih'n vean.",
,
"Keead blein er dy henney, v'eh feer fassanagh dy ve 'Celtiagh' (myr t'eh nish). Va sleih berchagh as pooaral loayrt dy niartal mychione eddyr-Cheltiaghys. Ayns Mannin, va sleih doaieagh ass towse goaill ayrn mooar sy ghleashaght Cheltiagh. S'liklee nagh row meoiryn-shee imneagh freayll arrey er lheid y sleih shen. Agh eisht haink y chied chaggey mooar as Irree Magh 1916 ayns Nerin. Cha row eddyr-Cheltiaghys fassanagh arragh as va sleih ayns Mannin (as cheeraghyn elley fo Hostyn) lhiggey er nagh row Nerin ayn. Er aght ennagh, hannee y Cohaglym Celtiagh fo raad feiy ny bleeantyn. Neayr's y traa ta fys ayms er, she shenn sleih ta goaill ayrn sy Chohaglym son y chooid smoo. Son shickyrys, ta sleih aeg goaill arrane as kiaulley ec ny cohaglymyn bleeaney, agh she shenn sleih ta stiurey y Cohaglym Celtiagh - sleih ta dy mennick gaccan nagh vod ad cleayney feallagh aeg stiagh. (Jean y red cheddin cheet er y Chommeeys Celtiagh?)",
,
"Er y gherrid, ta banglane Albinagh y Chohaglym Celtiagh er chur magh treealtyssyn dy yannoo y Cohaglym ny smoo breeoil as 'profeshoonagh' liorish cur er bun ard-oik as pointeil fir-oik veagh geddyn faill. Agh s'doillee troggal argid cour shen. Myr shen, ta’n Cohaglym tannaghtyn myr sorch dy chlub ry-hoi shenn chaarjyn. Agh cha nod oo gra dy vel shen ny red scammyltagh ayns eash tra ta drogh-yantee ayns colughtyn eddyrashoonagh kiarail geddyn rey rish reddyn leaghar ayns bea sheelnaue. As ta'n Cohaglym lowal da sleih lhiggey er dy vel reddyn politickagh 'neu-pholitickagh'.",
,
"Son shickyrys, lhisagh y Commeeys as y Cohaglym co-obbraghey. Ayns Mannin, ta shen taghyrt hannah er aghtyn beggey. Foddee dy beagh co-obbraghey oikoil ny s'doillee: ta Manninee dy liooar er ngoll ass shilley er y skian jesh jeh'n pholitickaght as kyndagh rish shen t'ad smooinaghtyn dy vel Ard-Scrudeyr y Chommeeys goll rish sorch dy youyl! Bentyn rish ny cheeraghyn elley, cha nel fys ec olteynyn ennagh jeh'n Chohaglym dy vel y Commeeys ayn (as gyn ourys, cha nel fys ec olteynyn ennagh jeh'n Chommeeys dy vel y Cohaglym ayn). Son y tract t'ayn, she cubbyl quaagh t'ayn: sheen ven seyr ta laccal dy ve cooyrtoil, ta goll er y scooyr dy follit nish as reesht, as stuggey breeoil ta gaase ny shinney.",
,
Brian Stowell,
,
,Summary
,
,"After Alan Heusaff's sad death, it is particularly relevant to say that cooperation and information interchange is needed between the myriad Celtic societies, especially between the Celtic League and the Celtic Congress."
