Manx,English
Vel eh feeu dy ve coontit dy h-oikoil myr mynlught?,
,
"Ny Cornee ta gobbraghey son yn ashoon Cornagh, t’eh jeeaghyn dy vel y chooid smoo jeusyn coontey eh dy ve feeu dy ve coontit myr mynlught. Ta reiltys y Reeriaght Unnaneyssit (RU) gobbal dy vel ny Cornee 'mynlught ashoonagh' ('a national minority'). Mastey ny Cornee ta jannoo caggey noi yn briwnys shen ta Ann Trevenen Jenkin, Alistair Quinnell as Graham Sandercock.",
,
"Ayns 1995, marish steatyn elley jeh Coonceil yn Oarpey, dooyrt reiltys yn RU dy row eh ayns coardailys rish yn Cochruinnaght Crauelagh (Framework Convention) ry hoi Coadey Mynlughtyn Ashoonagh. Kyndagh rish shen, lhisagh yn RU cur arrym da cairyn mynlughtyn ashoonagh, jannoo caggey noi lhiettrymys, cur er e hoshiaght cormid, freayll as lhiasaghey cultoor as chengaghyn mynlughtyn ashoonagh, cur raane dy jean yn ym-ysseraght (media) cur geill da mynlughtyn ashoonagh, as greinnaghey mynlughtyn ashoonagh dy ghoaill ayrn ayns cooishyn theayagh.",
,
"Kyndagh rish yn Co-chruinnaght Crauelagh, begin da'n RU cur imraa (report) da Coonceil yn Oarpey, screeu sheese ny va reiltys yn RU jannoo bentyn rish ny currym listit heose. Haink yn imraa shoh rish ayns 1999. Ayns yn imraa, t'eh ry akin dy vel reiltys yn RU smooinaghtyn nagh vel eiraght ny Cornee ayns feme jeh coadey er lheh. T'eh ceau magh y treealtys dy lhisagh ny Cornee ve coontit myr mynlught ashoonagh, ga dy vel ymmodee Cornee as olteynyn Cornagh jeh Kiare as Feed Hostyn laccal dy ve coontit myr shoh. Geiyrt er y vriwnys shoh jeant ec reiltys yn RU, ta Cornee scanshoil er jeet ry cheilley dy screeu Imraa y Vynlught Ashoonagh Cornagh. Ta'n imraa shoh gra dy lhisagh ny Cornee ve coontit myr mynlught ashoonagh as ta stoo dy liooar screeut sheese dy hoilshaghey dy vel shen kiart. Ta mish jannoo coontey giare jeh’n imraa syn art shoh.",
,
"Ta’n imraa gra nagh vel y fockle 'mynlught' arganagh - 't'eh bentyn da possan ta sloo as neu-chionysagh (nondominant).' Agh cha nel eh aashagh dy ghra c'red ta 'mynlught ashoonagh'. Ayns y Cho-chruinnaght Crauelagh hene, cha nel meenaghey cronnal (precise definition) jeh 'mynlught ashoonagh' ry gheddyn - cha dod ny steatyn ta goaill ayrn cheet gys coardailys mychione shoh! Agh ny yei shen as ooilley, foddee meenaghey ennagh goll er tayrn magh ass y Cochruinnaght Crauelagh. Ta stoo ayn mychione y jarroo-enney (identity) jeh mynlught ashoonagh cheet voish craueeaght, chengey, tradishoonyn as eiraght cultooroil. As ayns stoo screeut ec y Cho-chruinnaght, t’eh soilshaghey dy row sleih goaill ymmyd jeh’n cherrym (term) 'mynlught ashoonagh' roish my daink monney sleih neu-Oarpagh dy chummal syn Oarpey (ta reiltys yn RU cliaghtey smooinaghtyn mychione sleih lesh crackan doo, dhone as bwee tra t’ou gimraa 'mynlughtyn' - as, ec y traa cheddin, ta'n reiltys cheddin jarrood dy vel ny Celtiee ayn).",
,
"Red ta cur cree da ny Cornee, t’eh jeeaghyn dy vel y Co-chruinnaght coontey cummal er y thalloo cheddin rish traa feer foddey myr tro (characteristic) jeh 'mynlught ashoonagh'. Ny sodjey na shen, t'eh jeeaghyn dy vel y Cochruinnaght (Convention) bunnys arryltagh dy ghra 'my t'ou uss smooinaghtyn dy vel uss ayns possan ennagh, t'ou uss ayns y phossan shen.' Ta shoh garraghey ersooyl veih'n chenn smooinaght- fer-oik ginsh dhyt 'T'ou uss dty oltey jeh possan X as cha nod oo jannoo arganeys mychione shen.'",
,
