Manx,English
Croo Shennaghys,
,
"Va'n chied lioar (Lioar Queig!) ayns strane dy wheig lioaryn mychione shennaghys Vannin er ny chur magh er y gherrid, currit ayns clou liorish Ollooscoill Lerpoyll. Ta’n lioar shoh enmyssit 'Y Lhing Jeianagh, 1830 gys 1999'. Ta laue vooar ec Laare Studeyrys Manninagh syn obbyr. Ga dy vel y Laare dy h-oikoil fo smaght tree mainshtyryn (Rheynn Ynsee Vannin, Eiraght Ashoonagh Vannin as Ollooscoill Lerpoyll), she Ollooscoill Lerpoyll ta jeeaghyn dy ve stiurey yn Laare. Shoh obbyr scanshoil ta er ny ghoaill ayns laue ayns shoh - studeyrys mooar jeh shennaghys Vannin as eh cur onnor da obbyr A W Moore son cur magh e lioaryn-shennaghys mysh keead blein er dy henney. Neayr's va daa lioar Moore currit magh, ta lioar-shennaghys Kinvig er ve feer scanshoil, agh nish ta lioaryn Moore as Kinvig slane ass daayt. Ta shin ayns feme jeh lioaryn shennaghys noa - as shen ny ta goll er croo nish.",
,
"Tra t'ou screeu ayns Gaelg, ta 'shennaghys noa' sheeaney ny smoo myr dy beagh oo croo shennaghys na t'eh sheeaney my t’ou screeu ayns Baarle, er aght ennagh. Ayns Baarle, she lioar ta 'a new history' cheet er. Ayns Gaelg, bare dhyt screeu 'lioar-shennaghys noa'. As, dy jarroo, adsyn ta screeu lioar shennaghys, t'ad croo shennaghys noa, ga nagh vel ad (kinjagh) laccal jannoo shen. Cha nod slane obbiaghtoilaght (objectivity) ve ayn.",
,
"Jeeagh er y chaggey mooar eddyr fir-shennaghys mychione Deherree ny hEwnyn. Goll erash dys y chied lioar jeh'n studeyrys mooar mychione Mannin, she lioar feer vie t'ayn, ta 469 duillagyn er lhiurid. Ghow Manninee dy liooar ayrn ayns screeu ee, marish sleih elley as enney mie oc er Mannin. Agh cha noddym geddyn rey rish imnea ennagh mychione y lioar. She yn Olloo John Belchem jeh Ollooscoill Lerpoyll screeu meer vooar jeh'n lioar-shennaghys shoh, erskyn ooilley yn veer mychione yn aght haink yn 'eash jeianagh' gys Mannin. Ta John Belchem screeu dy mie as gyn ourys she fer-shennaghys erbaghtal t’ayn. Agh cha nel eh ny Vanninagh. T'eh screeu boayl ennagh sy lioar noa mychione sleih cheet gys Mannin 'veih'n twoaie'. Vel eh cheet er sleih veih Loghlin, t'ou gindys. Cha nel - ta shoh mychione sleih cheet veih twoaie Hostyn. Ayns buill elley sy lioar, t’eh ry akin dy vel aigney yn Olloo Belchem (as aigney fer-screeuee ny ghaa elley sy lioar) soiet ayns Sostyn. Foddee nagh vodmayd jerkal rish red erbee elley. Tra va A W Moore ayn, oddagh ancheirdee (amateyryn) aghtal jannoo ram reddyn liorish graih. Nish, mannagh vel oo ayns y voayl kiart ec y traa kiart lesh ny qualleeaghtyn kiart, jarrood eh. Veagh shin feer aighoil ny laghyn t’ayn jiu dy 'eddyn oayllee-shennaghys Manninagh lesh eaghtyrys dy liooar dy chur blass Manninagh da lioar-shennaghys mychione Mannin syn aght cheddin as ta jeant ec John Belchem as eh cur e vlass hene da’n lioar noa shoh. S'cooin lhiam dy dug yn olloo shoh leaght mychione yn jarroo-enney (identity) Manninagh ayns Thie Tashtee Vannin blein ny ghaa er dy henney. Ta mee toiggal nish dy row y stoo va ry chlashtyn sy leaght y stoo cheddin as t’ayns y lioar noa ta screeut ec yn olloo.",
,
"Ta ram jeh mychione yn aght ren A W Moore as 'ashooneyryn cultooroil' elley croo jarroo-enney Manninagh, myr ta John Belchem fakin ny cooishyn shoh. Strooys hene dy row jarroo-enney Manninagh ayn keeadyn dy vleeantyn roish my row Moore as e chumraagyn ayn, agh ta mee toiggal ny ta'n olloo cheet er. Caghlaa raa creeney Yernagh, cha nel jarroo-enney ayn gollrish yn jarroo-enney ayd hene. Sy lioar noa (myr dooyrt eh sy leaght shen), ta Belchem screeu dy ren A W Moore leodaghey yn ayrn Loghlinagh jeh eiraght Vannin as dy ren eh mooadaghey yn ayrn Celtiagh as eh gobbraghey 'dy chroo' jarroo-enney Manninagh. Lurg y leaght shen, hirr John Belchem feyshtyn veih'n lught-eaishtagh sy Thie Tashtee. Va'n lught-eaishtagh Manninagh dy liooar dy hannaghtyn ny host arrymagh. Fy yerrey, dooyrt mee nagh row feysht kiart aym, agh heill mee dy row eh beggan quaagh dy ghra dy row possan feer niartal syn Ellan mysh keead blein er dy henney va cur Celtiaghys er e hoshiaght erskyn Loghlinaghys. S'feer eh dy row Manninee pooaral ennagh jannoo nyn gooid share dy aavioghey Celtiaghys, agh, choud's va mee toiggal eh, va John Belchem smooinaghtyn dy row Moore as cumraagyn echey feer speeideilagh as adsyn cur er Manninee dy chur arrym da Celtiaghys.",
,
"S'doillee shen y chredjal. Gyn ourys erbee, va speeideilys dy liooar ec Moore as eh doostey ashoonaghys Manninagh. Agh strooys hene dy row Loghlinaghys reill aignaghyn ny Manninee. V'ad ynsit dy ghoaill moyrn ass yn eiraght Loghlinagh, cha nee ass yn eiraght Cheltiagh. As shen yn aght ta ymmodee Manninee smooinaghtyn foastagh, ga dy vel Celtiaghys cheet dy ve ny stroshey ec y tract t’ayn. Y colught shen ta creek urryssaght, cha nel eh goaill ymmyd jeh jalloo jeh Celtiagh dy chreck e pholaseeyn 'Manninagh', t'eh goaill ymmyd jeh jalloo jeh Wiggynnagh. Ta shin foast clashtyn mychione Wiggynnee ymmodee keayrtyn, erskyn ooilley ec tract Tinvaal. As shen myr v'eh keead blein er dy henney. Va ny Celtiee coontit dy ve bolvaneagh, almoragh as dyn ymmyd. Va ny Loghlinee coontit dy ve aghtal, tushtagh as breeoil. Ny laghyn t'ayn jiu, ta shin gra kynneeaghys rish shen. As cha nel shin er ngeddyn rey rish ny fallsoonyssyn nieuagh shen hie er croo mysh shey feed blein er dy henney - fallsoonyssyn ren greesaghey ny Natseeyn loghtyn barbaragh y yannoo. Ta foast sleih ayn ta credjal dy vel sleih lesh sooillyn gorrym as folt fynn ny share na sleih elley. Er lhiams nagh ren A W Moore mooadaghey role ny Celtiee ayns shennaghys Vannin. Cha row eh agh troggal y role shen seose ass y laagh as glenney eh.",
,
"Haink lioar mychione shennaghys Nerin magh bunnys ec y tract cheddin as y lioar mychione Mannin. Shoh 'images, icons and the Irish Nationalist imagination 1870 - 1925', er ny chur magh ec Four Courts Press. Screeu yn Olloo Eagleton voish Manchuin e vaght mychione y lioar shoh sy Times Higher as screeu eh reddyn feer chreeney mychione shennaghys Yernagh as shennaghys ooilley cooidjagh. T'eh gra dy vel fir-shennaghys Yernagh nyn yee-feayn-skeealleydee profeshoonagh (professional demythologisers) ec y tract t’ayn, goaill aggle roish skeealyn ennaghtagh as jallooyn cleaynagh. (Ta aastudeyrys jeans er shennaghys Nerin, prowal dy ghra dy nee boghtynid va ram jeh’n chennaghys screeut ec 'ashooneyryn Yernagh'.) Ta Eagleton gra dy vel lught yn aastudeyrys (revisionists) er ve ro gharroo as ad prowal dy scarrey rieughid rish feayn-skeealleydaght: 'There is no point replacing the Celtic twilight with a supercilious deriding of what ordinary people have found precious...' Cha nel 'gannidys sonnaasagh 'sy lioar noa mychione Mannin, agh s'treih lhiam nagh vel tooilley Manninaghys ayn.",
,
,Summary
,
,"The first volume of a five-volume new history of the Isle of Man has been published. While this event is to be welcomed, it has to be remembered that writing history (like any human activity) can never be objective."
,
Brian Stowell,
