Manx,English
Soylee Beeal Feirshtey Sy Traa Ry Heet,
,
"Er y gherrid, hie mee gys Beeal Feirshtey dy loayrt mychione y Ghaelg ayns 'scoill-gheuree' va reaghit son sheshaght enmyssit Soylee Beeal Feirshtey 2008 (Imagine Belfast 2008). Shoh sheshaght va reaghey cheb Veeal Feirshtey dy ve enmyssit Ardvalley Oarpagh jeh Cultoor son y vlein 2008. Myr t’eh taghyrt dy mennick lesh immeeaghtyn cultooroil myr shoh, cha hoig mee c’red va goll er ram jeh'n traa! Va mee ayns Beeal Feirshtey rish tree ny kiare laa as son y chooid smoo jeh'n traa shen va mee marish daa ghooinney ta gobbraghey son Yernish, fer jeu ayns ollooscoill as y fer elley ayns ynnyd chultooroil boayl ta bunscoill as ro-scoill (nursery school) Yernish. Y sleih va çhebbal Beeal Feirshtey dy ve enmyssit Ardvalley Oarpagh jeh Cultoor, v'ad jeean dy hoilshaghey dy vod y daa heu cheet ry cheilley ayns yn ard-valley. Myr shen, v'ad laccal ny Gaeil dy ve goaill ayrn chammah as Albinee-Ullee (Ulster Scots), ny hashooneyryn Yernagh chammah as ny unnaneyseyryn. Rish ymmodee bleeantyn ta mish gindys cre’n fa t'ad gra 'ashooneyryn' rish y derrey heu as 'unnaneyseyryn' ny 'leighaltee' rish y jeh elley. Nagh vel (row?) shoh ny chaggey eddyr ashooneyryn Yernagh as ashooneyryn Goaldagh'? Agh, fy yerrey, hoig ny leighaltee nagh row Lunnin laccal ad arragh. Nish, ta kuse jeh ny leighaltee debejagh dy chroo jarroo-enney (identity) fondagh dauesyn hene. T'ad laccal y seihll dy ve jeeaghyn orroo myr Albinee-Ullee as cha nee Yernee.",
,
"As va Soylee Beeal Feirshtey 2008 laccal y seihll dy ve jeeaghyn er Beeal Feirshtey myr boayl raad ta sleih smooinaghtyn mychione y traa ry heet, cha nee mychione y traa t'er ngoll shaghey. Sleih ta smooinaghtyn mychione y traa ry heet ayns Beeal Feirshtey, t'ad briaght cre'n sorch dy h-ardvalley vees ayn ayns 2008? Nod Beeal Feirshtey goll er caghlaa? Bee yn scarreydys (sectarianism) ayn son dy bragh? Cre'n ynnyd vees ec Yernish? Cre'n ynnyd vees ec Ulleeish, chengey Albinee-Ullee? Nod Beeal Feirshtey toilliu yn ennym jeh Ard-valley Oarpagh jeh Cultoor?",
,
"Hug Tom Paulin yn ard-loayrtys jeh’n scoill-gheuree (v'eh ny smoo goll rish leaght na loayrtys). She bard, leaghteyr, cremeyder as persoon-chellveeish Tom Paulin. My ta enney ec sleih er, s'cosoylagh dy dooar ad yn enney shen veih'n chlaare-chellveeish shen er BBC 2, 'Newsnight'. Ta Paulin dy mennick goaill ayrn ayns 'Newsnight' oie Jeheiney, tra ta inchynee (intellectuals) myr eshyn gra reddyn dewil mychione lioaryn t'ad er lhaih, ny filmyn as cloieyn t'ad er nakin. Sy chlaare shen er y gherrid, haink Paulin dy ve corree agglagh tra dooyrt Germaine Greer nagh row ny sidooryn Goaldagh agh 'cooilleeney yn currym oc' Doonaght ny Folley (Bloody Sunday). Myr shen, ta Paulin co-ennaghtagh rish ny pobblaghtee, ga nagh noddagh oo gra dy nee pobblaghtagh eshyn. She bard t'ayn, ny yei. Ayns Beeal Feirshtey yn vee elley, she Chengey Phobble yn Ard-valley (The Vernacular City) va ennym e leaght. Dooyrt eh cre cho scanshoil as t'eh dy ve geaishtagh rish chengey yn phobble - Baarle, Yernish, Ulleeish, as gagh chengey elley. Loayr eh mychione y scansh jeh Beeal Feirshtey daa cheead blein er dy henney as ny smoo, myr ard-valley raad va sleih smooinaghtyn as screeu ayns aghtyn seyr. Va'n Ravloyd Frangagh feer scanshoil feiy ny cruinney. Erskyn ooilley, v'eh scanshoil ayns twoaie Nerin. She Prostanee Yernagh chroo pobblaghtys Yernagh, dy firrinagh, cur geill da ny h-eieyn oc hene as da eieyn haink noal veih'n Rank.",
,
"Chammah as Tom Paulin, loayr sleih elley (as mish ny mast'oc) mychione politickaght Yernagh as chengaghyn. Leaght ren mee clashtyn, va shen currit ec Henry Patterson veih Ollooscoill Ullee. Loayr eshyn mychione y skian toshtal ayns cooishyn politickagh ayns twoaie Nerin. Ghow eh rish dy ren Coardail Jeheiney Caisht cur lesh sorch dy hee. Agh t'eh smooinaghtyn dy vel eh gaueagh dy vel y coardail shoh 'riojey' cooishyn as lhiettal gleashaghey er oi.",
,
"Dooyrt Henry Patterson dy vel Coardail Jeheiney Caisht cur dy chooilley pheiagh ayns Nerin twoaie ayns tree possanyn: 'ashooneyryn', 'unnaneyseyryn', as 'sleih elley'. T'eh smooinaghtyn dy bee eh doillee da sleih dy scapail veih ny lipaidyn shen. As t'eh shickyr dy nhegin daue scapail my vees 'politickaght chiart' goll er lhiasaghey ayns Nerin twoaie: ta shen dy ghra, y skian toshtal noi'n skian jesh. Ta Patterson smooinaghtyn dy vel Coardail Jeheiney Caisht goaill rish scarreydys as cur er dy ve ny smessey.",
,
"Paart dy 'leih va geaishtagh rish Henry Patterson, cha row ad ayns coardailys rish. Fer jeu shen, dooyrt eh dy row lane bwooisal nagh row caggey jeean foast goll er ayns Nerin twoaie, ga dy row reddyn agglagh foast goll er jannoo ayns shen. As dooyrt fer elley nagh chreid eh dy row scarreydys cheet dy ve ny smessey.",
,
"Loayrtagh elley, va shen Mary Burgess veih Ollooscoill Notre Dame, Chicago. V’ish loayrt mychione politickaght chultooroil ayns Beeal Feirshtey roish as lurg da Nerin goll er rheynn (veih 1890 gys 1925). Dooyrt ee dy row ashooneyryn Prostanee ayns Nerin twoaie ec y traa shen. Agh cha row shen cooie da sleih va cur beaynchroo (making stereotypes) er yn daa heu: Catolee - ashooneyryn, Prostanee - leighalee. Ooilley yn stoo va screeut ec ny hashooneyryn Prostanee shoh ayns y twoaie, va neu-nhee jeant jeh ayns y twoaie - as ayns y jiass neesht. V'eh feer speeideilagh Nerin y scoltey er aght ennagh.",
,
"Va daa cheilidh reaghit son y scoill-gheuree shoh. V'eh baghtal ry akin dy row ad reaghit dy chur caa cooie da'n daa heu dy chloie yn kiaull oc ad yannoo ny daunseyn oc. Myr Manninagh, ghow mee soylley jeh ny ceilidhyn. Foddym toiggal dy row eh doillee ny keayrtyn da Yernee veih'n twoaie soylley y ghoaill jeh gagh ayrn ayns ny ceilidhyn shoh. Cha nel y caggey cho jeean, agh ta'n noidys foast ayn",
,
,Summary
,
,A Manxman's view of a cultural event to help Belfast's bid to be named European Capital of Culture in 2008. The keynote address by Tom Paulin stressed Belfast's former tradition of free-thinking.
