Manx,English
Lunnin - Che Neemayd Nishtagh?,
,
"Tra vees yn art shoh ry akin ayns Carn, foddee dy bee red ennagh reaghit eddyr ny Crogheenyn-Crooin (Crown Dependencies) as Reiltys y Reeriaght Unnaneyssit, ny Reiltys Hostyn, by chiart dou ghra. Lurg e varriaght ghloyroil syn Earack, ren Tony Blair geddyn rey rish yn oik jeh’n Chiarn Shansyleyr ayns Reiltys Hostyn. Dooyrt sleih ennagh dy row shen y caghlaa smoo ayns coarys leighoil Hostyn neayr's lhing ny Saksanee meeilley as kiare cheead blein er dy henney. Ec y traa shen, ren reeghyn Hostyn poinsheil fer dy ghellal rish screeunyn ny reeghyn: haink ad dy ghra Chiarn Shansyleyr rish y scrudeyr shoh, va ny ghooinney feer phooaral. Haink ennym y chiartey veih'n Ladjyn 'cancelli', y scape va'n scrudeyr gobbraghey cheu-heear jeh.",
,
"Gys Mean Souree 2003, she Derry Irvine va'n Chiarn-Shansyleyr. She yn dooinney shoh va cur cooney dy chur Tony Blair er e hoshiaght, agh ayns Mean Souree 2003 hooar Blair rey rish oik Derry Irvine. Ta anaase ec Manninee (as ec sleih ayns Jersey as Guernsey) er y chooish er y fa dy row yn Chiarn-Shansyleyr goll rish sorch dy h-ardchiannoort jeh ny Crogheenyn-Crooin shen. Er y fa dy row neu-nhee jeant ec Blair jeh oik y Chiarn-Shansyleyr, v'eh jeeaghyn nagh row mainshtyr ec ny guillyn-drid ayns ny Crogheenyn-Crooin. Gyn ourys, va ny guillyn-drid shen boirit agglagh. Foddee dy beagh orroo dy loayrt rish ben-rein Hostyn ish hene d'eddyn magh c'red va ny h-oardaghyn oc.",
,
"Rish bleeantyn, va Mannin as ny Crogheenyn-Crooin elley fo ordaag yn Oik Sthie (Home Office) jeh Reiltys Hostyn ayns Lunnin. Tra veagh sleih ayns Reiltys Vannin boirit mysh red ennagh scanshoil, veagh ad goll gys yn Oik Sthie dy resooney yn chooish. Son y chooid smoo, veagh lught yn Oik Sthie reaghey dy loayragh ben y tey rish ny Manninee. Eisht, tra va pooar ec Tony Blair, ren ad garraghey cooishyn ny Crogheenyn-Crooin ersooyl veih'n Oik Sthie as hug ad da oik y Chiarn-Shansyleyr ad. Haink sleih ayns Mannin as ny Crogheenyn elley dy ve boirit mychione shen, agh dinsh lught Lunnin daue dyn y ve boirit. Cha nee agh caghlaa beg v'ayn, dooyrt lught Lunnin. Cha row ad ginsh yn irriney, t'eh jeeaghyn.",
,
"Lurg paart dy hraa, hug y Chiarn Shansyleyr, Derry Irvine, shilley er Mannin. Coardail rish ny skeealyn, va jinnair mie ny ghaa echey tra v'eh ayns Mannin. Ghow sleih ayns Reiltys Vannin yindys tra diu eh tree boteilyn d'eeyn feer chostyllagh. Oor ny ghaa lurg shen, ghow ad tooilley yindys tra vrie eh 'Cuin vees joughyn goll er shirveishagh?' Dooyrt lught Reiltys Vannin dy nee dooinney coar v'ayn. Cre'n aght oddagh fer myr shen jannoo assee dooin?",
,
