Manx,English
Vel shin nyn Geltiee ny dyn?,
,
"Ta kuse dy henndaaleeyn ayns ny hellanyn shoh (as buill elley?) er jeet dy ve greesit dy liooar mychione y chooish shoh: vel ny Albinee, Bretnee, Britaanee, Cornee, Manninee as Yernee nyn Geltiee firrinagh? Ta shen dy ghra, vel ad jeh’n sluight cheddin as ny shenn Cheltiee er y Cheer Vooar Oarpagh ren ny shenn Ghreagee as Romanee screeu mychione ny smoo na daa veeilley blein er dy henney?",
,
"Ta shin cliaghtit lhaih dy daink ny Celtiee dys ny h-ellanyn shoh veih'n Cheer Vooar roish my row Yeesey Creest ayn - as dy daink ram jeu ayns ruegyssyn (invasions). Shen yn aght haink ny chengaghyn as y cultoor Celtiagh dys ny hellanyn shoh. Agh nish ta shenndaaleeyn gra nagh vod ad feddyn cowraghyn erbee jeh lheid ny ruegyssyn shen. As, ga nagh vel money prowallyn jeant choud as shoh, cha nel eh jeeaghyn dy vel DNA ny 'Celtiee' ellanagh goll rish DNA ny shenn Cheltiee er y Cheer Vooar. Dy jarroo, ta’n DNA t’ec 'Celtiee' ellanagh ennagh jeeaghyn goll rish DNA ny Bascee t'ayn nish! Bentyn rish shoh, ta sleih ennagh credjal dy row ny Bascee yn chied phobble Oarpagh. As foddee dy vel sleih dooie ny h-ellanyn shoh er ve ayns shoh rish meeillaghyn as meeillaghyn dy vleeantyn, neayr's traaghyn ny shelgeyryn-chymsee (hunter-gatherers). My s'feer shen, foddee dy vel eh soilshaghey magh yn oyr dy vel DNA ny Bascee goll rish DNA ny Bretnee as ny Yernee: she shenn, shenn Oarpee t’ayn. As, my s'feer shen, shegin soilshaghey magh yn oyr dy vel chengaghyn Celtiagh ec 'Celtiee' ny hellanyn shoh.",
,
"Agh erskyn shoh as ooilley, cre'n fa ta sleih ennagh cho debejagh dy vrishey seose ashlishyn ny 'Celtiee' ellanagh? Vel politickaght cheu-heear jeu? Nar lhig y smooinaght agglagh shen cheet stiagh ayns dty chione. Agh ny yei shen as ooilley... T'eh symoil dy vel lheid y BNP (y Partee Goaldagh Ashoonagh) jeant cho booiagh dy chlashtyn yn eie nagh vel Yernee yn laa t'ayn jiu jeh'n chynney cheddin as ny shenn Cheltiee er y Cheer Vooar Oarpagh. My t'ou uss jeeaghyn er ynnyd-eggey (website) yn BNP, hee uss dy vel lught y BNP jeeaghyn roue gys y laa yiowmayd magh dy nee DNA Sostnagh ta ry gheddyn ayns Nerin son y chooid smoo!",
,
As cre’n fa ta lught y BNP (as sleih elley) smooinaghtyn dy vel shinyn ta gobbraghey son cooishyn Celtiagh coontey kynney dy ve cho scanshoil? Ta'n Commeeys Celtiagh as sheshaght Celtiagh elley kiart tra t'ad gra dy nee ny chengaghyn Celtiagh ny reddyn smoo scanshoil - ny benn rish y kynneeaghys.,
,
