Manx,English
Sourey ayns y Chorn,
,
"Ta mish as y lught-thie dy jeeragh er jeet dy valley veih laghyn seyrey ayns y Chorn. Cheau shin shiaghtin ayns ‘cott’ er mayl, ayns balley beg son skibbyltee ayns Heyl, faggys da Porthia (St Ives). Va’n emshyr mie car y traa as ren shin scapail veih ny sterrymyn hug yn oik er buill elley. Va Porthia jeeaghyn feer aalin, ga dy row eh jingit ec thousaneyn dy hurrysee as thousaneyn dy ghleashtanyn va goll dy chooilley voayl gyn lhiettalys erbee, v’eh jeeaghyn. Agh foddee dy row shin beggan keoi as shinyn goll dys shen ec y traa s’preaysee jeh’n vlein.",
"Ga dy vel sleih dy liooar ayns Mannin nagh vel jannoo dy mie, shimmey peiagh sy Chorn nagh vel ayns stayd mie. Ta’n cheer Chornagh nane jeh ny buill s’boghtey sy Vretyn Vooar, ga nagh row shen baghtal ry akin ayns Porthia, va jeeaghyn berchagh dy liooar. Agh quoid dy Chornee ta faagit ayns shen? Son shickyrys, ta ny thieyn ny s’costyllee na thieyn ayns Mannin. As t’ou clashtyn spotchyn sharroo nagh vod Cornee fordrail dy chummal ec y clyst-marrey jeh’n cheer oc hene. T’ad traastit magh ec lught yn argid voish Lunnin as buill elley. T’eh jeeaghyn dy ve ny smessey na ayns Mannin. Er aght ennagh, ta shinyn ayns Mannin goll er coadey liorish y cheayn. Sleih ayns Lunnin, t’ad abyl lheim stiagh ayns gleashtan as gimman dys y Chorn. T’ad cliaghtit rish jingaghyn-traaght agglagh as cha nel ad feer voirit ec y lheid sy Chorn sy tourey. As er aght ennagh, ta shinyn ayns Mannin goll er coadey liorish yn emshyr: t’ee ny share sy Chorn. Erskyn ooilley, ta Tinvaal ain, ga nagh vel monney jeh ny h-olteynyn toiggal dy kiart dy vel ashoon Manninagh ayn. Dy dooghyssagh, ta Cornee dooie cheet dy ve corree tra t’ad clashtyn Sostnee gra dy vel y Chorn ayrn jeh’n ‘Cheer Heear’. Ayns aignaghyn lught Lunnin, she unnid chooie Devon as y Chorn, as by vie lhieu jannoo neunhee jeh jarroo-enney ny Cornee. Car y traa, ta gaue mooar ayn dy bee yn Chorn sluggit seose ayns ‘Cheer Heear’ vooar nagh vees cur enn er bee er jarroo-enney ny Cornee.",
"Dettyl shin voish Mannin gys Lunnin as hroailt shin er y traen gys y Chorn. Son shickyrys, cosoylit rish red erbee ayns Mannin, ta’n Tamar ny h-awin niartal, as tra t’ou goll harree veih Plymouth gys y Chorn, t’ou toiggal dy vel oo goll gys cheer elley. Dy firrinagh, ta ny Cornee er nyannoo obbyr virrilagh as ad freayll y jarroo-enney oc hene. Lieh-cheead blein er dy henney, sleih va gra nagh row yn Chorn Sostnagh, v’ad coontit dy ve ass nyn geeall, son y chooid smoo. Cha nel eh myr shen nish, ga dy vel beoyn er yn ym-ysseraght Hostnagh foastagh craiddey mysh yn ashoonaghys Cornagh. Agh nagh vel beoyn orroosyn craiddey mysh red erbee er lhimmey jeusyn hene? Va mee jeant booiagh dy akin ny h-enmyn jeh baljyn as baljyn beggey ayns Cornish er fograghyn oikoil, as dy akin y brattagh Cornagh dy chooilley voayl. As t’eh jeeaghyn dy vel enmyn Cornish er kuse dy straiddyn noa. Hie mee lesh shilley er Oie Chornish raad va sleih cliaghtey loayrt y chengey oc hene ayns thie-lhionney ayns Gwinear, balley beg ta faggys da Heyl. T’eh baghtal ry akin dy vel ymmodee sleih croghey er y turrysid sy Chorn. Cha vaik mee rieau cho whilleen dy phamfladyn as lioaranyn as earishlioaryn daahit ta cleayney oo dy heet dys baljyn beggey, thieyn-bee, garaghyn, thieyn-ellyn, thieyn-cloie as ymmodee reddyn elley. As ta ram jeh ny h-earishlioaryn nastee shoh jeeaghyn glasagh as costyllagh. Jarrood Rheynn Turrysid Vannin! Foddee dy vel eh ny smoo onnoroil dy ve croghey er y turrysid na er yn argidys, agh cha noddym jannoo fegooish smooinaghtyn dy vel y jees jeu meehaiagh.",
"Hug shin shilley er y Tate ayns Porthia, y thie-ellyn mooar ayns shen. Ta tradishoon-ellyn lajer ec Porthia as buill elley sy Chorn. Agh heill shin nagh vel yn ellyn cho lajer sy Chorn as v’ee keayrt dy row. Tra va mee sy Chorn, chionnee mee coip jeh shennaghys thalk-noa jeh’n cheer. Shoh ‘Cornwall, a history’ liorish Philip Paynton va currit magh mleeaney ec Cornwall Editions Limited. Ta Philip Paynton y stiureyder jeh Commyn Studeyrys Cornagh Ollooscoill Exeter. Cha nel caa er ve ayms foast dy lhaih yn Hoar shoh dy kiart, agh t’eh jeeaghyn dy ve mie dy liooar. Ta roie-raa sy Hoar screeut ec y Chornagh ard-ghooagh shen A L Rowse. She ‘Shenn Chlaghyn’ yn ennym jeh’n chied chabdil, ta gra dy vod yn aght t’ou smooinaghtyn mychione y Chorn ve goll rish ymmodee reddyn. Eddyr ta’n Chorn myr jeelym lieh-yarroodit jeh’n chenn seihll Celtiagh, er nonney she boayl t’ayn raad ren y Ravloyd Jeadyssagh (Industrial Revolution) scoltey yn seihll. Ta ny Cornee myr peesh faagit jeh shenn chynney as yn aght-beaghee goll magh ass dy tappee kyndagh rish y traastey veih cultoor eddyrashoonagh. Er nonney, fy yerrey ta barrant dy liooar ec ny Cornee orroo hene dy hoilshaghey nyn yarroo-enney hene dy breeoil sy vosaic Oarpagh. Son joarreeyn, ta shee as kiunys ry gheddyn sy Chorn, boayl raad oddys ad scapail veih’n teihll jeianagh. Son Cornee cadjin, dy mennick she genney argid, genney obbyr as thieys treih y Chorn, cheer raad t’ad gleck dy veaghey. Gow dty reih.",
"Ta cabdil ayns y Hoar shoh enmyssit The mystery of the Celts’ ta resooney yn argane mychione ny h-Albinee, Bretnee, Britaanee, Cornee, Manninee as Yernee. Nee ‘Celtee’ t’ayn er chor erbee? Cha nel, ta shenndaaleeyn ennagh gra. Agh cha nel adsyn loayrt y chengey cheddin as ny chengeydereyn as cha nel sleih cadjin boirit ec y chooish shoh. Ansherbee, my t’ou gra ‘Celtiagh’ rish pobble ta/va loayrt chengey Cheltiagh, ta shen mie dy liooar. Ayns y Hoar, ta Richard Paynton gimraa yn co-haglym dy henndaaleeyn ayns 1992 raad v’eh jeeaghyn dy row ard-shenndaaleeyn gobbal dy row Celtee roie-hendeeagh ayn noadyr. Loayr Vincent Megaw as Ruth Megaw noi yn eie quaagh shoh. V’ad noi ‘an unhealthy political correctness in modern British, or rather, English archaeological thinking.’ Ta stoo dy liooar sy Hoar mychione y chengey Chornagh, stoo ta goll gys y laa t’ayn jiu, bunnys. Roish y chied Chaggey Mooar, va Henry Jenner coontey Cornish dy ve yn ard-red ayns ashoonaght Chornagh, agh cha row eshyn soit er aa-vioghey ee myr chengey loayrit. Va Robert Morton Nance as A S D Smith slane son Cornish loayrit chammah as Cornish screeut. Smooinee Jenner dy lhisagh yn aa-vioghey ve soit er Cornish Yeianagh -y chengey myr v’ee goll er loayrt tra hie ee sheese myr chengey yn theay. Agh smooinee Nance dy bare daue goaill ymmyd jeh’n Chornish ayns ny Mirril-chloieyn - Cornish Veanagh. Chroo Nance, Smith as sleih elley Cornish Unnaneyssit, soit er Cornish Veanagh. Bentyn rish y chengey, va coardail dy liooar ayn eddyr ny caggaghyn mooarey as lurg y nah chaggey mooar. Agh ayns ny bleeantyn kiare feed sy cheead shoh chaie, va sleih ynsit cremmey Cornish Unnaneyssit as chroo Ken George Kernewek Kemmyn (Cornish Chadjin) as eshyn foast goaill ymmyd jeh Cornish Veanagh. Ren eh caghlaaghyn syn aght- screeuee. Er y laue elley, ghow Richard Gendall ymmyd jeh Cornish Yeianagh. Dooyrt eshyn dy row yn aght va sleih loayrt Baarle ayns Penwith Heear soilshaghey yn aght va Cornish goll er loayrt. As haink yn argane eddyr ny possanyn-chengey dy ve garroo dy liooar. Er y gherrid, ta Nicholas Williams er ghra dy bare da’n aa-vioghey goaill ymmyd jeh Cornish Unnaneyssit. Red mirrilagh: ta’n chengey er vishaghey ga dy vel ny scoltaghyn shoh ayn. As ta Manninee as Cornee co-obbraghey.",
,
,A Manxman gives impressions of a summer holiday in Cornwall and gives some thoughts on Philip Paynton’s new history of Cornwall.
Brian Stowell,
