Manx,English
Yn Impiroilaghys Reeshtagh.,
,
"Lurg y Nah Chaggey Mooar, shimmey peiagh va smooinaghtyn dy row cash noa vaynrey cheet rish. Va ny Natseeyn currit mow, va ny h-Ashoonyn Unnaneyssit currit er bun, as feiy ny cruinney va sleih streeu son seyrsnys as cairys. Ayns cheeraghyn Oarpagh dy liooar, v’eh coontit dy ve yn red kiart dy chroo shirveishyn-slaynt as shirveishyn-ynsee son dy chooilley pheiagh, boght ny berchagh. ec y traa cheddin, va ny shenn impiraghtyn Oarpagh goll sheese y liargagh dy tappee. Ny veggan as ny veggan, va ny meeryn slaait jiarg ec Sostnee niartal er caslys-cheerey yn teihll geddyn sorch dy heyrsnys. Va'n red cheddin taghyrt bentyn rish ny h-impiraghtyn Frangagh as Belgagh as impiraghtyn elley. Ga dy daink y Caggey Feayr rish as va sleih goaill aggie roish caggey cheshveanagh, hannee meeryn mooarey dy yerkallys.",
"Tra huitt yn Unnaneys Soveidjagh veih my cheilley, va tooilley jerkallys ayn. Dy firrinagh, she yn Impiraght Rooshagh huitt veih my cheilley. Lhig ny Soveidjee er dy row ooilley yn pobble syn Unnaneys oc corrym, agh, ginsh yn irriney, va laue yn eaghtyr ec ny Rooshee.",
"Agh cha row yn jerkallys shen cooilleenit. Vrish caggaghyn magh ayns cheeraghyn dy liooar, yn Yugoslaavey ny mast’oc. Fo’n ennym foalsey jeh jeianaghey (modernising), ta pooaraghyn lajer er vooadaghey yn vaarney eddyr sleih boght as lught yn argid. Ta’n ‘dellal seyr stroie ny beaghyn jeh sleih feiy ny cruinney.",
"Gyn ourys, shione dhyt ooilley yn stoo shoh hannah. Agh, myr Celtiee, erskyn ooilley, shegin dooin cur geill da]n impiroilaghys noa. Neayrs lhing ny Romance ny shlee na daa veeilley blein er dy henney, ta ny Celtiee er hurranse kyndagh rish yn impiroilaghys. Shoh yn polasee ta dellal rish sleih as cheeraghyn ta currit fo chosh myr greieyn-obbyr ta currit er y teihll cour cosney argid son ny mainshtyryn oc. Foastagh, ta ny h-aghtyn-smooinaghtyn ec ymmodee Celtiee soilshaghey dy vel yn impiroilaghys jannoo orroo ec y traa tayn.",
"Va kuse jin bolvaneagh dy liooar dy chredjal ny skeealyn dy row yn impiroilaghys goll ersooyl son dy bragh lurg y Nah Chaggey Mooar. Cha row shen kiart - t’eh cheet crash dy lajer nishtagh, goll er leeideil ec deiney goll rish George W. Bush as Putin sy Roosh.",
"Neayr’s hoie ny h-Arabee shen er America lesh etlanyn, ta leshtal cooie er ve ec Bush as Putin as fir-toshee elley dy lhiggey er dy vel sheshaght agglagh dy h-ymaggleyderyn gobbraghey ry cheilley feiy ny cruinney, dy jeean as dy fondagh. As ny jean jarrood y dooinney treih shen, Tony Blair. Agh hooar yn FBI as yn CIA nagh vel lheid y cheshaght agglagh shen ayn. Son shickyrys, ta possanyn dy gheiney debejagh ayn ayns ymmodee cheeraghyn ta arryltagh dy varroo sleih elley as jannoo reddyn scammyltagh elley. Agh t]eh er ve myr shen rish ram bleeantyn.",
"Ta reiltyssyn ennagh goaill ymmyd jeh skeealyn ard-yindyssagh mychione Al Qa’ida (Yn Undinys) dy cheau ersooyl cairyn sleih. Cooinee er yn chennaghys. Shimmey leigh hranlaasagh va bree currit jee ec fir-toshee Hostyn harrish ny bleeantyn kyndagh rish yn eab dy chur Nerin fo chosh. Ta ny leighyn shoh er chur stiagh er sleih cadjin ayns Sostyn, Bretyn, Nalbin, Mannin as y Chorn chammah as orroosyn ayns Nerin hene. As nish, kyndagh rish Y Chaggey noi'n Atchim' t'ad croo leighyn smessey foast ayns America, Sostyn as cheeraghyn elley. As ta Putin er naavioghey yn impiroilaghys Rooshagh liorish y chaggey scammyltagh ayns Chechnya.",
"Agh ta’n sampleyr share jeh’n impiroilaghys noa ry gheddyn syn Earack nish. Rish ymmodee bleeantyn, ta Rumsfeld as e chaarjyn er naarlaghey dy hoie er y cheer shen. Nish t’eh jeant oc - as cre’n brock fuilltagh t’ayn. Jarrood y blaatar mychione Wappinyn Cour Ard-Chragh. As jarrood y boghtynid mychione seyrey pobble – t’eh jeeaghyn nagh row ad laccal agh geddyn greim er yn ooill, s’cummey vel meeillaghyn dy leih oney marrooit.",
