Manx,English
Ny Chengaghyn Gaelgagh.,
,
"Foddee nagh vodmayd loayrt mychione “ny chengaghyn Gaelgagh’. Foddee dy bare dooin loayrt mychione mosaic dy fo-ghlaraghyn Gaelgagh fud Nerin, Mannin as Nalbin. Agh loayrym mychione tree chen­gaghyn Gaelgagh ayns shoh: Yernish, Gaelg Albinagh as y Ghaelg. Er aght ennagh, she yn Ghaelg y chooish sassey. Cha vod oo jannoo arganeys mychione ny slystyn jeh ellan. As she yn Ghaelg chengey ashoonagh Vannin, ga nagh vel y Ghaelg ec y chooid smoo jeh ny Manninee. as ga dy vel ymmodee joarreeyn er jeet dy chummal ayns Mannin. Myr haghyr eh rieau, hig paart jeu shen dy ve nyn Manninee. Ga dy row ny shenn Vanninee currit to chosh dy bollagh as ta’n Manninaghys er leodaghey, cha ren ny Manninee surranse ny reddyn agglagh haink er ny Yernee as ny Gaeil Albinagh. Dy firrinagh, va eabbaghyn jeean jeant dy gheddyn rey rish Yernee as Gaeil Albinagh, nyn jengaghyn as nyn gultooryn. Ga dy row ny eabbaghyn shen speeideilagh er aghtyn ennagh, cha row ad speeideilagh er aghtyn elley. Ta spyrryd noa ry akin ayns Nerin as ayns Nalbin Gaelgagh neesht, ga nagh vodmayd gra dy vel cooishyn goll er oi dy yindyssagh.",
"Bentyn rish ny tree chengaghyn Gaelgagh, heill sleih keead blein er dy henney dy beagh y Ghaelg slane marroo ayns tammylt beg. Cha haghyr shen. Foddee dy raink shin y grunt ayns 1961 tra dooyrt mysh hoght feed dy leih dy row Gaelg oc. Ayns 2001, dooyrt ny shlee na jeih keayrt yn earroo shen dy row Gaelg oc. Son shickyrys, cha nod oo gra dy nee loayrtee flaaoil ooilley yn sleih shen. Agh hoilshee eh dy vel tooilley sleih pohlldal y chengey - erskyn ooilley sleih aeg. Y red smoo scanshoil, shen y Vunscoill Ghaelgagh ayns Balley Keeill Eoin. Son y chied cheayrt rish ny shlee na keead blein ta paitchyn ayn as Gaelg flaaoil oc. Chammah as shen, ta thousaneyn d’eallagh aeg er nynsaghey paart dy Ghaelg ayns ny scoillyn elley. ec y traa f ayn, cha nel shin jannoo reddyn dy liooar dy chooney lesh y feallagh aeg shen - as dy chooney lesh Gaelgeyryn ooilley cooidjagh. Cha nel caaghyn dy liooar ayn Gaelg y loayrt. As cha nel shin croo sleih aasit dy liooar as Gaelg flaaoil oc. Agh ny yei shen as ooilley, s’mooar y sharaghey t’er jeet rish.",
"Bentyn rish Nerin, tra hooar ayrn jeh’n cheer sorch dy heyrsnys, smooinee sleih dy liooar dy beagh Yernish aavioghit liorish cur ee ayns ny scoillyn. Cha hoig ad dy row feme er foddey ny smoo na shen - argid as kiartaghyn. Cha nod oo beaghey er y chengey ny lomarcan. As haink y reiltys ayns Divlyn dy ve lhag-chreeagh bentyn rish aavioghey’n chengey. Sy jerrey. hoig y pobble hene dy row eh orroosyn dy yannoo red ennagh as ghow ad toshiaght dy chur scoillyn er bun raad fad gynsaghey trooid Yernish. Va lheid ny scoillyn shen currit er bun ec y reiltys Yernagh ayns ny bleeantyn feed as ny bleeantyn jeih as feed, agh chaill y reiltys shen cree bentyn rish y chengey as huitt yn earroo dy scoillyn-Yernish sheese as sheese. Chammah as shen, haink Yernee dy ve cur feoh da’n chengey kyndagh rish yn aght broutagh va Yernish (as cooishyn-scoill elley) goll er ynsaghey ayns ny scoillyn. Ny yei shen as ooilley, ga nagh row Yernish aavioghit er yn aght va ymmodee Yernee jerkal, va thousaneyn dy Yernee er chosney fys er y chengey. As va bree noa currit da’n ghleashaght-chengey ec ny Gaelscoillyn - as ny Trubbylyn ayns twoaie Nerin. Va Gaeltaghyn-balley currit er bun ayns Beeal Feirshtey as Doirrey.",
"Nish, kyndagh rish Coardail Noo Andreays er y gherrid, ta’n reiltys Goaldagh er ghial-dyn dy der ad bree da Slattys Yernish. Ta Yernish ayns Nerin twoaie bishaghey. Sy vlein 2001, dooyrt 167.490 dy leih ayns Nerin twoaie dy row fys oc er Yernish bishaghey jeh 18% neayr’s 1991. Ayns Nerin twoaie nish ta tree feed as nuy-jeig dy scoil­lyn raad fad gynsaghey trooid Yernish. Sy vlein 2010, f eh grait dy bee ny shlee na jeih thousane paitchey vees goll er ynsaghey trooid Yernish ayns Nerin twoaie. Shoh bishaghey feer niartal. Ta lught y Yernish breeoil as niartal nish, agh ta’n chengey ayns feme jeh coadey leighagh. Hannah, ta Yernish goll er coadey liorish Ayrn III jeh’n Chaart Oarpagh cour Chengaghyn Ardjynagh n\ Myn-chengaghyn, agh ta’n coadey shen faase dy liooar. Ta feme er coadey stroshey. Ta’n cheshaght-Yernish Pobal (Pobble er nobbraghey dy niartal dy chur er y reilt\s Goaldagh bree y chur da Slattys Yernish ec Westminster. Hirr Pobal er oaylleeyn-chengey ad dy screen sheese treealtyssyn cour lheid y clattys shen. Mastey ny oaylleeyn va Robert Dunbar (Ollooscoill Aberdeen), Wilson McLeod (Doon Edin), Colin Williams (Caerdydd) as Fernand de Varennes (Ollooscoill Murdoch, Yn Austrail). She Wilson McLeod vees cur Leaght Ned Maddrell ayns Mannin mleeaney. Nish, ta’n reiltys Goaldagh gra dy jean ad gaarlaghey Slattys Yernish son Nerin twoaie dy chur y chengey er e toshiaght. T’eh jerkit dy der ad bree da Billey dy Chairyn vees goaill stiagh cairyn-chengey.",
"Ec y traa cheddin, ta’n reiltys Goaldagh er ghra dy vel ad soil er lhiasaghey L’lleeish (Ulster Scots) as y cultoor as eiraght ta goll maree.",
Surrys enn dy vel feme er Slattys Yernish. Ta’n Partee Unnaneysagh Deynlagh (DUP PUD) er ghra dy vel ad boirit ec lheid y clattys - oddagh ymmyd ve jeant jeh dy leodaghey’n ‘Goaldaghys’ ayns Nerin twoaie. t’ad smooinaghtyn. Ta lught-PUD gra dy jean ad shickyraghey nagh jed argid er ‘jummal’ er skeymyn-Yernish. Cha nyrrys dy vel feme leighagh er coadey Yernish.,
"Va art mychione Gaelg Albinagh sy lhiaggan Yernagh jeh’n Sunday Times Jerrey Fouyir. Myr yinnagh oo jerkal, she ronneeaght v’ayn noi’n chengey lesh stoo ayn goll rish “zombie language’! Nagh vel nearey orroo as ad clou lheid y voghtnid shoh? Ta shin gynsaghey veih John Josephs dy vel Gaelg Albinagh ny chengey Yernagh ren cheet gys Nalbin sy chiaghtoo cash jeig! Rere yn art shoh, ta John Josephs yn olloo jeh chengoaylleeaght-obbree ec Ollooscoill Ghoon Edin. Veih ny barelyn jeh’n fer shoh ta clouit syn art shoh, foddym toiggal nagh vel eh coontey monney jeh’n eie dy vel Gaelg Albinagh myr chengey ny mayrey Nalbin. Agh cha nel mee smooinaghtyn dy vel eh cho almoragh as dy vel eh credjal dy daink y chengey gys Nalbin sy chiaghtoo cash jeig - ta shen ny shlee na thousane blein ro anmagh. Veih’n chiarroo ny’n wheiggoo cash, heeyn Shenn Yernish magh harrish ooilley Nalbin, bunnys. Haink y Chenn Yernish dy ve Gaelg Albinagh, chengey ghloyroil ren surranse fo tranlaase agglagh. Goll rish ny sliennooyn ayns ‘Mac’, bunnys ooilley ny cowraghyn elley jeh ashoonys Albinagh t’ayn nish, haink ad veih’n eiraght Ghaelgagh.",
"Ta feoh noi’n Ghaelg Albinagh ry akin feiy’n art - feoh gyn undin as noi resoon. As ta’n feoh soilshaghey yn doilleeid fee ny Gaeil Albinagh: ta noidyn keoi oc ta toast cummal ayns sorch dy hie-baanrit. Noidyn ta arryltagh dy ghra nagh ren shennaghys taghyrt. Booise da Jee nagh vel noidyn myr shen ain ayns Mannin. T’ou abyl dy ghra dy vel yn art shoh lane dy chyneeaghys - red nagh vel goan sy Sunday Times. Agh y sleih screen yn art shoh, foddee dy vel ad cho cor-ree er yn oyr dy vel cooishyn Gaelgagh sharaghey ayns Nalbin. Gyn ourys, shegin da ny Gaeil caggey dy chosney gagh oarlagh, agh ta reddyn cheet lhieu ny veggan as ny veggan. ",
