Manx,English
Yn Kaart Oarpagh son Chengaghyn Ardjynagh as Mynchengaghyn as y Reeriaght Unnaneysit.,
,
"Ta’n Kaart shoh ry-hoi coadey as cur er nyn doshiaght chengaghyn ardjynagh as mynchengaghyn syn Oarpey. Choard reiltys y Reeriaght Unnaneysit dy chur bree da’n Chaart shoh yn chied laa, Jerrey Source 2001. Dooyrt y reiltys shen dy row ny chengaghyn ardjynagh as mynchengaghyn v’eh dellal rish myr shoh: Gaelg Albinagh. Yernish, Bretnish, Albinish as Albinish Ultagh. (Ayns shoh, ta mee gra ‘Albinish’ rish ‘Scots’.) Sy vlein 2003. choard reiltys y Reeriaght Unnaneysit dy chur Cornish as y Ghaelg fo smaght y Chaart. Myr shione dooin ooilley, cha nel Mannin ayns y Reeriaght Unnaneysit, agh ta’n Reeriaght shen feer jeean dy ghellal rish ‘cooishyn joarree’ ass lieh Vannin!",
"Ta’n Kaart ayns tree ayrnyn. Ayrn Nane. shen sorch dy roie-raa. Ta Ayrn Jees cur list dy reddyn lhisagh reiltys jannoo my ta’n reiltys shen er chur yn ennym echey hug y Chaart. As ta Ayrn Tree cur ny reddyn lhisagh reiltys jannoo dy lheanaghey ymmyd chengey ayns y vea theayagh jeh cheer. Mastey chengaghyn elley, cha nel y Ghaelg fo smaght Ayrn Tree toast - cha nel reiltys Vannin arryltagh shen y yannoo. Jeeaghyn er y list dy reddyn t’ayns Ayrn Jees jeh’n Chaart Oarpagh, t’eh toshiaghey lesh goaill rish dy vel chengey ta fo smaght y Chaart, dy vel ee soilshaghey ‘berchys cultooroil”. Shegin da reiltys gra ny t’eh jannoo dy ghoaill rish shen. Red elley sy list, shen shickyraghey nagh vel yn aght ta cheer giarrit seose ayns ardjyn-reiltys lhiettal cur chengey er e toshiaght. As red elley, ta feme er reiltys reddyn ‘daaney’ (‘resolute’) y yannoo dy choadey chengey as cur ee er e toshiaght. Chammah as shen, lhisagh reiltys ta fo smaght y Chaart greinnaghey yn ymmyd jeh chengey bentyn rish loayrt as screeu yn chengey shen, ayns bea theayagh as preevaadjagh. Foast loayrt mychione Ayrn Jees y Chaart, lhisagh reiltys greinnaghey kianglaghyn eddyr possanyn ta gymmydey chengaghyn ta goll rish y cheilley. Red feer scanshoil sy list shoh ayns Ayrn Jees, shen seyraaidyn ry-hoi ynsaghey as jannoo studeyrys er chengey ec gagh leval dy studeyrys veih brastyllyn-oie gys ollooscoillyn.",
"Ta Ayrn Tree goll ny s’diuney. Screeut sheese ayns shoh, ta ny reddyn lhisagh reiltys jannoo, bentyn rish ynsaghey chengey ayns scoillyn, colleishyn as ollooscoillyn, jannoo ymmyd jeh chengey ayns quaiylyn as ayns offishyn reiltys, as jannoo ymmyd jeh chengey ayns radio as chellveeish. Ta ram jeh shoh jeeaghyn yindyssagh hoshiaght, agh, my t’ou lhaih ny t’ayns Ayrn Tree lesh paart dy chiarail, hee shiu dy vel levallyn dy liooar ayn. Myr sampleyr, oddagh reiltys ennagh goaill ayns laue dy chur er bun un vrastyl-oie raad ta sleih aasit gynsaghey chengey ennagh - er nonney cur er bun slane scoill raad ta dy chooilley nhee goll er ynsaghey trooid chengey ennagh. As ta levallyn elley eddyr oc shoh. Bentyn rish cooishyn quaiyllagh. oddagh reiltys coardail rish lowal da peiagh e chooish y phleadail ayns quaiyl ayns mynchengey as eeck son peiagh elley dy hyndaa shen gys chengey yn tromlagh - er nonney. oddagh reiltys reaghey dy beagh ooilley yn chooish whaiyllagh goll er jannoo trooid y vynchengey (as y reiltys abyl reih leval ny ghaa eddyr y daa leval shoh). Ta’n red cheddin ry akin sy Chaart bentyn rish dellal rish offishyn reiltys as yn ym-ysseraght - ta ‘listyn-yeearree’ ayn da reiltyssyn. Cha nhegin da reiltyssyn jannoo monney as foddee ad gra ‘Jeeagh-shiu - nagh vel shin yindyssagh!” Agh ny yei shen as ooilley, s’braew dy vel y Kaart ayn - choud’s nagh vel oo cummal sy Rank, raad ta’n reiltys coontey yn Kaart dy ve myr obbyr y Jouyl.",
"Lurg blein ny ghaa. reiltys t’er chur yn ennym hug y Chaart, shegin da cur tuarastyl gys Coonceil yn Oarpey dy ghra ny ta jeant echey. Ta oaylleeyn lhaih yn tuarastyl as (son y chooid smoo) cur shilley er ny buill raad ta ny chengaghyn goll er ymmydey dy loayrt rish sleih ynnydagh dy ‘eddyn magh ny share ny ta goll er (agh cha daink oaylleeyn gys Mannin. V’ad leshtallagh son shen as loayr Manninee roo ayns Lunnin). Eisht, ta oaylleeyn screeu tuarastyl ta soilshaghey ny t’adsyn smooinaghtyn mychione obbyr reiltyssyn. ec y traa t’ayn, ta reiltys y Reeriaght Unnaneysit er chee cur stiagh y trass huarastyl echey gys Coonceil yn Oarpey. As t’eh anaasagh dy liooar dy yeeaghyn er tuarastyl ny oaylleeyn mychione y nah huarastyl haink veih reiltys y Reeriaght Unnaneysit. Reir tuarastyl ny oaylleeyn, son bunnys gagh chengey ta’n Reeriaght Unnaneysit dellal rish, ren loayrtee shirrey reddyn stroshey dy ve jeant dy choadey nyn jengaghyn. By vie lesh Yernisheyryn ayns Nerin Twoaie geddyn Slattys Chengey son Yernish ayns shen. Ghow ny oaylleeyn tastey dy row bree currit da Slattys Chengey ayns 2006 son Gaelg Albinagh, as dooyrt ad dy nee kesmad er oi scanshoil v’ayn. Bentyn rish Albinish, hug ny oaylleeyn my ner nagh row earrooyn oikoil ry gheddyn foastagh jeusyn ta loayrt y chengey - foddee dy row shen kyndagh rish sleih nagh row toiggal dy nee chengey ‘firrinagh’ v’ayn. Cha row ny oaylleeyn jeant booiagh ec y stayd jeh Albinish - boayl ennagh v’ee grait dy ve ny ‘chengey-eiraght’. Bentyn rish Cornish, dooyrt ny oaylleeyn dy row ad jeant booiagh dy row lughtyn-reill ynnydagh co-obbraghey lesh ard-lughtyn-reill dy chur tashtey er bun Cornish y chur er oi. Cheet gys Mannin, ren ny oaylleeyn goltaghey ny reddyn jarrooagh va reiltys Vannin jannoo yn Ghaelg y chur er oi. Ooilley cooidjagh bentyn rish ‘chengaghyn Ayrn Jees’, dooyrt ny oaylleeyn dy row genney buntowshanaghey ayn - va feme er y lheid my hed chengey er ymmydey ayns bea theayagh. As, dy mennick, va staydys injil ec ‘chengaghyn Ayrn Jees’ as genney plannal-chengey. Hug shen er loayrtee dy choontey nagh row reiltyssyn feayr-chooishagh.",
"Bentyn rish reiltyssyn jannoo reddyn ‘daaney’ dy choadey chengaghyn, dooyrt ny oaylleeyn nagh row dy liooar jeant dy chroo polasee ooilley-ghoaillagh son Yernish ayns Nerin Twoaie. ga dy row reddyn jarrooagh jeant son y chengey bentyn rish yn ym-ysseraght. Er y laue elley. ren ny oalleeyn goltaghey yn argid va currit ‘dy feoilt’ son Albinish Ultagh. Red va boiragh, va shen dy row polasee ayn ayns Nerin Twoaie dy ghellal rish Yernish as Albinish Ultagh ‘dy corrym’ er aght neulhoobagh. My va Yernisheyryn laccal jannoo red ennagh nagh dod lught yn Albinish Ultagh jannoo er chor erbee. va lhiettalys currit er ny Yernisheyryn. Cha row shen cairagh. dooyrt ny oaylleeyn. Lhisagh reiltys dellal rish gagh chengey as ee myr unnid ny lomarcan.",
"Bentyn rish ymmydey ny chengaghyn ayns bea laaoil, dooyrt ny oaylleeyn dy row eh feer scanshoil dy gheddyn coardail mychionc yn aght ta Cornish goll er lettraghey. Va tree sorchyn dy lettraghey ayn va croo doilleeidyn bentyn rish fograghyn theayagh ayns Cornish, as ayns ynsagh erskyn ooilley. Bentyn rish Mannin, cha dooyrt ny oaylleeyn monney stoo jiooldagh. Agh dooyrt ad nagh row monney jeant dy skeaylley ymmyd y Ghaelg mastey yn theay. As va feme mooar ayn er traenal ynseyderyn Gaelgagh dy tappee. Ayns tuarastyl ny oaylleeyn ooilley cooidjagh, ta foddey ny smoo ayn mychione ny chengaghyn na ta mee er nimraa heose ayns shoh - she tuarastyl liauyr t’ayn. Chammah as shen, bee paart jeh’n tuarastyl ass daayt. Myr fockle jerrinagh, s’feeu gra reesht dy vel y Kaart Oarpagh braew feeudagh - son yn eddyr-ashoonaghys ny lomarcan.",
,Summary
,"Under the Council of Europe ‘s Charter for Regional and Minority Languages, the United Kingdom government has undertaken to safeguard and promote Scottish Gaelic, Irish, Welsh, Scots, Ulster Scots, Cornish and Manx. The UK's third report on its performance is about to be submitted at present. The committee of Experts' report on the UK's second report makes interesting reading."
