Manx,English
,
Gear-cheim ayns Nerin Hwoaie reeshtagh,
,
"Veih’n aght ta ymagglaghey goll er resooney syn ym-ysseraght Ghoaldagh, s’aashagh smooinaghtyn dy nee ymaggleyderyn Muslimagh ta jannoo yn chooid smoo jeh’n ymagglaghey ayns y Reeriaght Unnaneyssit. Agh cha nel shen kiart. Dy ve firrinagh, she ayns Nerin Hwoaie son y chooid smoo ta sleih soie er sleih elley dy raghtal. As son y chooid smoo, she ass-unnaneyderyn pobblaghtagh ta jannoo yn stoo raghtal. V’eh grait dy jinnagh Coardail Jeheiney Caisht cur sthap da bleaystaney, shottal sleih as kerraghey sleih liorish bwoalley ad dy trome. Agh ny shlee na jeih bleeaney lurg y Coardail shen, ta’n earroo dy haghyrtyn agglagh ayns Nerin Hwoaie goll er bishaghey. ",
"Er y gherrid, va bleaystan kiare cheead punt faagit ec ard-offish y voayrd-poleeney ayns Beeal Feirshtey – cha ren eh bleaystey. Va ass-unnaneyderyn as meoiryn-shee lhiggey gunnaghyn noi ry hoi ayns Co. Fear Manach. Ayns y Strah Bane, ren assunnaneyderyn lhiggey gunnaghyn syn aer ec oanluckey, kionfenish sleih dy liooar va bwoalley bassyn – y chied cheayrt haghyr y lheid rish nuy bleeaney. Va daa hidoor as meoir-shee marrit ayns Mee Vayrnt, as, ayns ny shey mee ny lurg shen, va meoiryn-shee soit er un cheayrt jeig lesh gunnaghyn. Harrish y daa vlein shoh chaie, va 720 raaue bleaystan currit. Ass yn earroo shen, va 420 red oddagh oo gra ‘bleaystan so-chredjal’ rish. Ayns Nerin Hwoaie nish ta mysh un ‘taghyrt ymagglaghey’ ayn gagh laa. ",
"Son shickyrys, cha nod shoh goll er cosoylaghey rish ny reddyn mooarey va’n IRA jannoo paart dy vleeantyn er dy henney. Ta ny possanyn ass-unnaneagh beg, lane dy vrahderyn, as cha nel ad goll er pohlldal goll rish ny pobblaghtee armit ayns ny bleeantyn tree feed as jeih, as kiare feed. As, ec y traa cheddin, ta Sinn Fein goll er pohlldal feer niartal. Agh hug y Commishoon-scrutee Eddyrashoonagh skeeal magh er y gherrid dy vel yn earroo dy hoiaghyn armit ec y leval syrjey neayr’s va’n Commishoon currit er bun shey bleeaney er dy henney. As ta kimmeeys ny leighalee phara-hidooragh feer ard neesht. Ta ny leeideilee phobblaghtagh as unnaneysagh goaill rish dy jig y raghlid dy ve ny smessey, s’cosoylagh. ",
"Cha nel ad ayns coardailys mychione monney stoo elley. Ec y traa cheddin as ta’n troddan ass-unnaneagh gaase mastey ny pobblaghtee, ta gear-cheim er jeet er rheynn pooar eddyr unnaneyseyryn as pobblaghtee. Er y daa heu, ta ass-unnaneyderyn girree magh noi’n status quo. Er y cheu leighalagh, ta’n Partee Unnaneysagh Deynlagh fo baggyrt veih’n Choraa Unnaneysagh Tradishoonagh – ny deiney feer chreoi. T’adsyn lhiettal garraghey pooaraghyn poleeney as cairagh gys shecktyrys Nerin Hwoaie, red va coardit un vlein jeig er dy henney. Son pobblaghtee as ashooneyryn Yernagh, ta’n chooish shoh smoo scanshoil na cooish elley erbee. Dy beagh pooaraghyn poleeney as cairys currit da shecktyrys Nerin Hwoaie, veagh Nerin Hwoaie geddyn smaght deynlagh harrish niart va ymmyd jeh son traa liauyr dy hranlaasey dy scarreydagh yn mynlagh sy steateen t’ad gra Nerin Hwoaie rish. Kyndagh rish shen, ta ny leighalee er chroo conaant lurg conaantyn dy lhiettal garraghey ny pooaraghyn scanshoil veih Lunnin gys Nerin Hwoaie. ",
"Myr shen, ta sleih er ve gra foddee dy beagh Sinn Fein cur reihyssyn fo raad, ny foddee dy beagh rheynn pooaraghyn tuittym veih my cheilley. Ta Jeffrey Donaldson veih’n Phartee Unnaneysagh Deynlagh gra nagh vel eh feer voirit, as dy vel lught Sinn Fein kinjagh lhiggey er dy vel ad dooaignagh tra nagh vel ad geddyn ny t’ad geearree. Agh ta’n gear-cheim pohlldal as niartaghey troddan ny h-ass-unnaneyderyn pobblaghtagh. By vie lhieusyn rheynn pooaraghey y vrishey sheese. My t’ou toiggal y niart as y shennaghys jeh tradishoon pobblaghtagh Nerin, cha nyrrys nagh vel mynlagh pobblaghtagh er ghoaill rish y lhiggey lesh y cheilley va jeant ec Sinn Fein myr ayrn jeh’n choardail-shee. Son shickyrys, ta sidooryn Goaldagh er gholl dy valley, as ta unnaneyseyryn er ve eginit dy rheynn pooar lesh sleih v’ad soit er stroie. As ta foddey smoo cairyn theayagh as corrymid heayagh ayn. Agh ta oikyn y reiltys foast nyn ayrn jeh’n steat Goaldagh, as ta Nerin unnaneysit foast foddey ersooyl. Nerin unnaneysit – she ard-dean phobblaghtys Yernagh va shen rieau. Y lhiass-eaghtyrane jeh Sinn Fein Pobblaghtagh, t’eh gra nagh vel ad goll boayl erbee. As eshyn: ‘Cha nel ad agh loayrt mychione cur bree da reill Goaldagh as leigh Ghoaldagh’. Agh dooinney ta loayrt son Sinn Fein, t’eh gra dy vel caggey lesh gunnaghyn y red s’jerree dy yannoo. Mannagh vel strateish ayd, as cha nel oo agh goll magh dy varroo sleih, she marrooder oo. She fer-gunney oo, cha nee ravval. ",
"Ta sleih ennagh cosoylaghey troddan ny hass- unnaneyderyn pobblaghtagh nish rish troddan yn IRA ayns ny bleeantyn jeih as daeed – troddan ren goll er fioghey kyndagh rish genney pohlldal. Agh dy beagh red agglagh jeant as dy beagh ymmodee sleih marrit, foddee dy jinnagh shen greinnaghey aawoalley mooar as cooyl-skyrraghtyn atchimagh. Cha ren Coardail Jeheiney Caisht feaysley yn caggey, ren eh cummal as dooney stiagh eh. Reeshtagh ayns Nerin Hwoaie, ta sthurneish unnaneysagh lhiettal politickaght cheeallagh. Kyndagh rish y ghear-cheim argidoil, foddee, t’eh jeeaghyn nagh vel ny reiltyssyn ayns Lunnin ny Divlyn cur monney geill da taghyrtyn feer ghaueagh ayns Nerin Hwoaie. Bee eh ommidjagh erskyn towse my vees ny reiltyssyn shen lhiggey harrish y raaue. Cha nel sleih laccal y clag dy ve currit erash daeed blein. Ayns ny bleeantyn tree feed, hirr mynlagh Nerin Hwoaie cairyn theayagh. Cha ren reiltys Lunnin veg. Sleih va fo chosh, hirr ad ny cairyn shen er aghtyn sheeoil, as eisht va brouityn unnaneysagh lowit dy hoie orroo lesh claghyn as maidjyn. Cha row firghunney ry-akin as va’n IRA marroo. Agh va’n IRA aa-chrooit ec raghtalid unnaneysagh as ec faasid reiltys Lunnin. Cha nel shin laccal ooilley shen reeshtagh.",
,
,Summary It looks as though power sharing in the North of Ireland could fall apart over the issue of transferring policing and justice powers to the Northern Ireland executive. Maybe the financial crisis is making the London and Dublin governments not to take things seriously enough. 
Brian Stowell,
