Manx,English
Eddyr-insh eddyr-Cheltiagh,
,
"Hie Cohaglym Celtiagh Eddyrashoonagh 2010 er cummal veih’n wheiggoo laa gys y jeihoo laa Mee Averil ayns Doolish, sy Thie-oast Claremont er y chooylaghan. Gagh blein, t’eh cheet dy ve smoo doillee dy gheddyn ynnyd cooie dy chummal lheid yn immeeaght shoh ayns Mannin. Ta shoh kyndagh rish genney thieyn-oast cooie. Red elley, cha nel aaght-studeyr ry-gheddyn ayns Mannin myr t’eh ayns ny cheeraghyn Celtiagh elley. Ayns ny cheeraghyn shen er y gherrid, hie gagh Cohaglym Celtiagh Eddyrashoonagh er cummal ayns thieyn-aaght son studeyryn ayns ollooscoillyn, er lhimmey jeh Nerin nurree, raad va’n immeeaght er ny cummal ayns thie-oast ayns Balley Shliggagh va costal dy liooar. Vrish shen shenn chliaghtey. Roish shen ayns Nerin, hie yn chooid smoo dy Chohaglymyn Celtiagh Eddyrashoonagh er cummal ayns ollooscoill ayns Divlyn, ayns thieyn-aaght son studeyryn, buill nagh vel cho costal as thieyn-oast. Smooinee Yernee ennagh dy bare goll magh ass Divlyn as dy chummal y cohaglym ayns thie-oast. Da chaghteryn, va’n cohaglym ayns Shliggagh y fer smoo costal va rieau cummit. As va’n fer ayns Doolish ayns 2010 beggan smoo costal foastagh dauesyn va tannaghtyn sy thie-oast. Agh foddee dy choont chaghteryn ennagh dy row yn thie-oast as y bee ayns Doolish ny share na’n thie-oast as y bee ayns Shliggagh. Ny yei shen as ooilley, she yn co-Cheltiaghys y red smoo scanshoil, cha nee yn aaght as y bee. Agh cooish ta smoo scanshoil foast: cre’n aght oddys y Cohaglym Celtiagh goll er sy chummey t’echey choud as shoh? Ny laghyn t’ayn jiu, cha nhimmey peiagh ta arryltagh d’obbraghey nastee. ",
"Hie yn cohaglym ayns Doolish lurg y Chaisht er cummal ayns y chummey cliaghtagh: leaght veih gagh cheer soit er bun-chooish reiht ec y vanglane-olteyr, turrysyn gys buill anaasagh, shirveish chillagh, cuirragyn-kiaullee as ceilidhyn. Haink mysh 50 chaghter rish, earroo va ard dy liooar as y costys ard ec y thie-oast. She eddyr-insh eddyr-Cheltiagh (Inter-Celtic Communications) va bun-chooish ny leaghtyn. Loayr y Dr Caitriona Mackie son Nalbin, y Dr Brynley Roberts son Bretin, screeu yn Dr Eamon Ó Ciosain pabyr mychione y chooish son Nerin, loayr Nigel Pengelly son y Chorn as loayr Adrian Cain son Mannin. Cha row Britaanee kionfenish. ",
"Mysh blein dy lieh er dy henney, haink Caitriona Mackie gys Mannin raad t’ee gobbraghey ayns Laare Studeyrys Manninagh. Loayr ish mychione yn aght ren Albinee as Yernee dellal rish genney spoar ayns ny thieyn oc ayns ny shenn laghyn. My va sleih laccal tooilley spoarcadlee, hrog ad sorch dy hamyr-cadlee va booghey magh boayl ennagh ayns boalley. Loayr Brynley Roberts mychione bea Edward Lhuyd – ny Llwyd - y dooinney hug yn ennym ‘Celtiagh’ er ny chengaghyn ain. V’eh ruggit ayns Oswestry sy vlein 1660 as hooar eh baase tra v’eh aeg dy liooar ayns 1709. V’eh ayrn jeh’n chaghlaa mooar shen ayns bea yn teihll t’ad gra yn Toilsheraght rish. Ghow sleih toshiaght dy yeeaghyn er y teihll myr v’eh as dy yannoo ny briwnyssyn oc hene syn ynnyd jeh cur geill da sleih elley nagh row jannoo shen. Ayns yn Oarpey, ghow sheanse toshiaght sy lhing shoh. Ren Llwyd studeyrys er chengaghyn er aght sheansagh as hoig eh dy row caslyssyn mooarey ec Yernish, Bretnish, Britaanish, Cornish, Gaelg as Gaelg Albinagh. Hoig eh dy nee lught chengey v’ayn, as dooyrt eh ‘ny chengaghyn Celtiagh’ rish y lught-chengey shen. She yn toshiaght jeh Celtiaghys v’ayn. ",
"Cha dod y Dr Eamon Ó Ciosain cheeet gys y chohaglym kyndagh rish chingys sy lught-thie echey, agh lhaih Etain Nic Cinngamhna magh e phabyr er e hon. Screeu eshyn mychone Edward Lhuyd neesht, agh hug eh geill myrgeddin da obbyr Guillaume Roussel as Louis Le Pelletier, Britaanee ren toiggal y kiangley eddyr ny Celtee mysh y traa cheddin as Lhuyd. She yn troor shoh hug scoillarys eddyr-Cheltiagh er bun. Ymmodee bleeantyn lurg shen, shimmey sorch dy eddyr-insh Celtiagh ta fo raad. Screeu Ó Ciosain dy vel Yernee er neiyrt er sampleyr mie ny Bretnee. Lurg da Conradh na Gaeilge v’er ny chur er bun sy vlein 1893, ren y Conradh arrish er yn eisteddfod dy chur er bun immeeaghtyn-kiaullee, daunsin, skeealaght as myr shen dy chooney lesh aavioghey Yernish. Ass shen haink Oireachtas na Gaeilge ayns 1897. As bleeantyn lurg shen ren ny Yernee cur geill da’n ghleashaght Meithrin ayns Bretin dy chur er bun ro-scoillyn Gaelagh ayns Nerin. Ny sodjey na shen, va bree currit da Slattys Bretnish ayns 1967 as da Slattys Bretnish elley ayns 1993. Ta ny slattyssyn shoh feer scanshoil er y fa dy dug ad staydys leighagh da Bretnish as hug ad pooar da Bretnisheyryn. Cha nyrrys dy ren ny Yernee studeyrys er ny slattyssyn Bretnish as ad gaarlaghey da Slattys Chengaghyn Oikoil va bree currit da ayns Nerin ayns 2003. Ta shoh niartaghey Yernisheyryn as ad laccal gymmydey Yernish tra t’ad dellal rish oikyn y steat. Dimraa Eamon Ó Ciosain Iomairt Cholm Cille (Shalee Cholum Killey) myr sambyl jeh eddyr-insh eddyr- Cheltiagh – shalee ta co-chiangley Yernee as Albinee. Screeu Ó Ciosain mychione De Valera as yn aght ren eh cooney lesh ashooneyryn Britaanagh va eginit cheet gys Nerin lurg y nah chaggey mooar. Va polasee ‘neuchommeeaght veigh’ ec De Valera. Chammah as shen, ren De Valera cooney lesh Mannin as eh cur Caoimhin Ó Danachair harrish dy recortyssey loayrtee dooghyssagh jeh’n Ghaelg. ",
"Cha nel y Dr Eamon Ó Ciosain jeant booiagh ec y stayd jeh ny chengaghyn Celtiagh (er lhimmey jeh Yernish) ayns ollooscoillyn Yernagh. Ta’n studeyrys jeh Bretnish er gholl ergooyl, as she gaueagh y stayd jeh studeyrys jeh Britaanish. Cha nel Gaelg ny Cornish erbee ry-gheddyn. As s’treih lesh nagh vel ny Yernee as ny h-Albinee co-obbraghey ayns cooishyn lettraghey as focklyn noa ayns nyn jengaghyn. ",
"Ec y Chohaglym Celtiagh shoh ayns Doolish er y gherrid, heill chaghteryn ennagh dy nee ny leaghtyn son y Chorn as son Mannin va ny leaghtyn smoo bioyr as smoo anaasagh. Son shickyrys, va’n daa leaght slane soit ayns cooishyn ec y traa t’ayn as v’ad jeeaghyn dy jeean gys y traa ry-heet. Loayr Nigel Pengelly son y Chorn as loayr eh mychione yn aght ta fysseree clouit goll sheese y liargagh as y feme dy gheddyn aghtyn noa ry-hoi eddyr-insh (jannoo ymmyd jeh’n eddyr-voggyl, son y chooid smoo). Ghow Nigel Pengelly yn earishlioar ‘Cornish World’ ayns laue. Shoh earishlioar feer speeideilagh ta roshtyn mysh queig millioon jeig dy leih jeh sluight Cornagh feiy ny cruinney. Agh cha nod ‘Cornish World’ tannaghtyn er mayrn son dy bragh. T’eh cosney 45% jeh’n cheet-stiagh echey veih soilsheenyn as t’adsyn goll sheese car y traa. Hed earish-lioaryn clouit magh ass, ta Nigel Pengelly gra, agh fodmayd cur stoo er yn eddyr-voggyl. ",
"Shegin goll ny smoo as ny smoo gys yn eddyr-voggyl as Facebook as Twitter as myr shen. Dimraa Pengelly ‘Yn earishlioar Cheltiagh smoo sy teihll’. Shen ‘Celtic Link’ ayns Canada, ta mysh 40,000 lhaihder echey. Sheeu jeeaghyn er. Ta Adrian Cain ny Oaseir Gaelgagh jeh Undinys Eiraght Vannin, as she eshyn loayr son Mannin. Hoilshee eh magh dy baghtal dy nee cheer noa Mannin nish – ta’n shenn seihll ersooyl dy bollagh nish as cha lhisagh shin ve jeeaghyn ergooyl car y traa. Shegin cummal sy teihll t’ayn nish. Ta Mannin er chaghlaa dy bollagh er y gherrid kyndagh rish ram sleih garraghey stiagh veih ymmodee cheeraghyn. Shegin cleayney sleih dy vel y Ghaelg myr ayrn jeh’n teihll noa shoh as shegin streeu car y traa dy chur y chengey er e toshiaght. As shegin toiggal dy vel sleih ennagh foast noi yn chengey as dy vel ad tannaghtyn nyn dost son y traa t’ayn. Beemayd er nyn dwoaie.",
,
