Manx,English
Yn-chummal seose as ny cheeraghyn Celtiagh,
 ,
"Lhaih mee er y gherrid nagh vel agh tree cheeraghyn sy teihll as yn-chummal seose (sustainability) ayns ny bunraghtyn oc. She Bretyn, y Latvey as y Tasmaan ny cheeraghyn shen. Cha row fys aym er shoh, agh sy vlein 2006 v’eh jeant oikoil dy nhegin da shirveishee ayns reiltys Vretyn cur geill da yn-chummal seose bentyn da red erbee ta ny rheynnyn oc jannoo. Ayns y chooish shoh, ta ny Bretnee toilliu moylley mooar. Foddee dy vel eh cowreydagh dy nee tree cheeraghyn beggey t’er chur yn-chummal seose ayns nyn munraghtyn. Roish ny bleeantyn kiare feed, cha row monney sleih cur geill erbee da yn-chummal seose. As s’goan y peiagh va boirit ec yn aght va sheelnaue spooilley berchys nadooragh y teihll myr dy beagh y berchys shen ry gheddyn son dy bragh – ‘Ee-shiu, as iu-shiu, as gow-shiu soylley mooar, son dy vowmayd baase mairagh – as lhig dooin ny paitchyn ain y yarrood’. Ta reddyn er chaghlaa beggan neayr’s ny bleeantyn shen, agh, dy firrinagh, cha nel monney er chaghlaa.",
,
"Agh cre ta ‘yn-chummal seose’ keeallaghey? T’eh jeeaghyn dy vel shen croghey er y pheiagh, bunnys. Ayns 1987, hug lught ny h-Ashoonyn Unnaneyssit y cheeallaght shoh er yn-chummal seose: ‘...lhiasaghey ta cooilleeney ny femeyn jeh sleih t’ayn nish, fegooish jannoo assee da’n ablid jeh sheelogheyn ta ry heet dy chooilleeney ny femeyn oc hene.’ Dy chelleeragh, ta boirey ayn, kyndagh rish y raa ‘cooilleeney ny femeyn jeh sleih t’ayn nish’. Adsyn ta currit da bunargidys jollyssagh as spooilley sheelnaue, cre ‘ny femeyn’ ec roosteyryn myr shen? Hig cragh vooar mannagh vees lhiettalys ennagh currit er bunargidys as ‘y margey seyr’, agh cha nel jeeaghyn feer liklee ec y traa t’ayn. Ta keeallaght elley jeh yn-chummal seose loayrt mychione ‘co-phobble dowanagh undinit er arrym son nadoor, cairyn sheelnaue son gagh peiagh, cairys tarmaynagh, as cultoor jeh shee’. Dy row y lheid ayn. Agh shegin dooin jannoo caggey son y lheid, as shinyn jerkal nagh bee yn caggey shen fuilltagh. Er y derrey laue, foddee ‘yn-chummal seose’ ve ny raa ta cur er sleih dy ve gennaghtyn souyr, agh cha nel monney keeallaght ayn. Er y laue elley, foddee ‘yn-chummal seose’ ve fakinit myr smooinaght scanshoil goll rish ‘seyrnys’ ny ‘cairys’. ",
"Ansherbee, lurg ooilley yn blaatarys mychione yn-chummal seose, ta shen ny ‘ard-phrinsabyl-reaghee’ ec reiltys Vretyn neayr’s 2006. Fer-coyrlee ec y reiltys shen, t’eh gra dy bee eh doillee agglagh dy gheddyn bee dy liooar son ooilley’n pobble sy teihll. Ta’n costys jeh bree girree, goll rish yn earroo dy leih sy teihll (s’cosoylagh dy bee shen dooblit ayns 2005), as ta’n emshyr caghlaa feiy ny cruinney. Ooilley shen ry cheilley, t’eh cur er dy ve smoo doillee dy gheddyn bee dy liooar da sheelnaue. S’ymmyrchagh ymmydey ram bree dy gheddyn y bee shen. Son y chooid smoo ec y traa t’ayn, ymmydey bree, ta shen yn un red as ceau daa-ocseed charboan seose syn aer, as s’olk shen. Ayns yn Unnaneys Oarpagh, ta troarey bee cur magh 31% jeh’n daa-ocseed charboan goll seose syn aer. Myr shen, shegin leodaghey’n daa-ocseed charboan ta cheet veih troarey bee. S’doillee shen, er yn oyr dy vel cooid vooar jeh’n teihll currit da eirinys myr dellal goll rish thieyn-jannoo – thieyn-jannoo ta gymmydey ram bree. ",
"T’eh creidit dy vel yn-chummal seose cooie da Bretyn – cheer lesh troareyryn beggey, troaryn-bee nadooragh lesh quallid ard, as beggan dy ghowaltyssyn goll rish thieyn-jannoo. Sambyl jeh yn-chummal seose ayns Bretyn, shen colught ta creck mooiraneyn piggylit. Hug y shellooder jeh’n cholught shoh er y lught-reill ynnydagh dy chur er bun reillyn son ocsyn va chaglym mooiraneyn er y traie. Shegin chagleyderyn geddyn kied mooiraneyn y haglym, as cha nhegin daue chaglym mooiraneyn erskyn yn earroo oikoil. Nish, foddee keead dy lieh dy hagleyderyn gobbraghey son imbagh lurg imbagh. Roish my row ny reillyn ayn, yinnagh earroo goll rish meeilley as daa cheead dy hagleyderyn cheet dy haglym mooiraneyn son daa laa. Sy traa gerrid shen, veagh lieh jeh ny mooiraneyn goit, as y lieh elley marrit – red atchimagh. Nish, ta ynchummal seose gobbraghey dy mie. Sambyl elley jeh yn-chummal seose ayns Bretyn, shen y thie-bee syn ollooscoill ec Aberystwyth. T’ad geddyn kiare feed sy cheead jeh’n feill oc, as feed sy cheead jeh ny messyn as lossreeyn oc veih gowaltyssyn s’lesh yn ollooscoill, as y chooid elley veih troareyryn ynnydagh beggey. ",
"Keeadyn dy vleeantyn er dy henney, va’n eeastagh-skeddan mygeayrt Mannin reaghit dy chionn. Cha row eeasteyryn lowit skeddanyn y hayrtyn roish laa er lheh as lurg laa er lheh – va imbagh reaghit ayn, as va ynchummal seose gobbraghey dy mie. Myr shen, va skeddanyn dy liooar faagit sy cheayn blein lurg blein. Eisht, sy nuyoo cheead jeig, haink baatyn-eeastee stiagh mygeayrt Mannin dy eeastagh skeddanyn. Cha row niart ec Tinvaal monney y yannoo dy fendeil shenn chairys ny eeasteyryn Manninagh. Haink ny baatyn-eeastee dy ve ny smoo as ny smoo, derrey ta ram jeu goll rish thieyn-jannoo floateil. Mie erskyn towse cour tayrtyn eeastyn – choud’s ta eeastyn erbee faagit sy cheayn. ",
"Phrow Mannin dy fendeil e eeastagh roagan liorish cur er bun sorch dy ‘gowaltys roagan’ raad va roaganyn aegey gaase. Haink baatyn-eeastee joarree stiagh, ghow ad roaganyn aegey as stroie ad y ‘gowaltys’, son y chooid smoo. Quaagh dy liooar, agh ta sleih cur y loght er ny reiltyssyn ayns Nalbin as Bretyn as Nerin Hwoaie son shoh. Er y fa dy dug Lunnin pooaraghyn ennagh da ny reiltyssyn shoh dy fendeil y keayn mygeayrt nyn jeeraghyn, haink ad gys Mannin Veg Voght dy eeastagh! Shione dou dy vel y chooish smoo cramp na shoh, agh ta shen y bun jeh. Foddee dy jig foays ennagh ass coardail noa mychione eeastagh ayns Mooir Vannin, agh foddee nagh jig. Cha nel agh un vaatey-coadee ec Mannin (y Barrule), agh cha nod shen jannoo red erbee goll rish ny reddyn va jeant ec ny h-Eeslynnee mysh sheeloghe er dy henney. Ta Mannin as gagh cheer feme coardailyn sheeoil noa ta coadey yn eeastagh as cur er dy ve yn-chummal seose.",
"Ec y traa t’ayn, ta Mannin troarey feill, flooyr, arran, oohyn, caashey, key riojit, lhune as stoo elley jee hene. Ta cooid vooar jeh shen croghey er argid veih’n reiltys. Lhig dooin guee nagh vod cadjeryn y ‘vargey seyr’ ayns reiltys Vannin cur sthap da’n argid shen. Jannoo arrish er y raa creeney Yernagh, ‘Cha nel margey seyr goll rish y vargey seyr ayd hene’. Dy firrinagh, cha nel margey seyr kiart ayn boayl erbee. Myr v’eh rieau, ‘ta’n kiart ec y niart.’ Bunnys dy kinjagh, yiow troareyryn mooarey laue yn eaghtyr er troareyryn beggey. Bentyn da bee ayns ny h- Ellanyn Goaldagh as Nerin, s’cummey quallid y vee, son y chooid smoo – shimmey’n peiagh ayns ny h-ellanyn shoh ta arryltagh dy ee trustyr erbee. Ec y traa t’ayn, ta baggyrt mooar er feill Vanninagh. Ta’n feill shen goll er coadey ec coardail hie er barganey lesh yn Unnaneys Oarpagh – cha nel ram feill neugheyr lowit cheet stiagh ayns Mannin. Agh hig y coardail shen gys jerrey roish foddey, as mannagh vees caghlaa mooar jeant, bee feill neugheyr lowit stiagh. Ta quallid feer ard ec y vee ta goll er troarey ayns Mannin (ta ooilley ny cheeraghyn Celtiagh myr shen), agh s’cummey shen lesh ram sleih: choud’s ta’n prios injil, nee ad gee bee nagh vel quallid vie echey. As, my t’ou boght, cha nel reih ayd: shegin dhyt kionnaghey bee neugheyr – shen nane jeh ny h-oyryn dy vel cho whilleen dy leih roauyr ayns ny cheeraghyn Baarlagh (‘gorley’ ta sheeyney magh gys cheeraghyn elley nish.) ",
