Manx,English
Jannoo faghid er ny Celtee,
"She Jonathan Edwards yn oltey jeh 'Kiare as Feed' y Reeriaght Unnaneyssit son Caerfyrddin Hiar as Dinefwr. Ren eshyn gaccan rish ny meoiryn-shee mychione ny reddyn va screeut ec fer enmyssit Roger Lewis mychione Bretnish ayns y Daily Mail, Bible Hostyn Veanagh. She ughtar Mnr Lewis as v'eh jeeaghyn dy nee eshyn screen sy phabyr-naight shen dy row Bretnish 'ny chengey-apag atchimagh as neuvioyr, nagh vel un ennymockle noa eck neayr's ny h-Eashyn Meanagh.' Va Mnr Edwards, oltey jeh Plaid Cymru, jeant cho corree ec y faghid shoh as dy ren eh gaccan mychione eck rish ny meoiryn-shee, as rish Barrantys-plaiynt ny Pabyryn-naight sy Reeriaght Unnaneyssit.",
"Va toshiaght currit da'n chooish shoh ec lioar enmyssit 'Bred of Heaven' screeut liorish Jasper Rees, ta ny Hostnagh. Ayns y lioar aitt shoh, ta Mnr Rees geearree cheet dy ve ny 'Vretnagh dooie', erreish da v'er n'eddyn magh dy row yn shaner echey ny Vretnagh - nagh hoig Jasper dy vel 'Rees' ny ennym Bretnagh? Screeu Roger Lewis baght jeh'n lioar sy Daily Mail, as she ayns y vaght shoh va'n faghid er Bretnish. Screeu yn MP rish Theresa May, y Scrudeyr Goaldagh, as eh guee urree ish dy 'scughey yn chingys shoh magh ass'. Agh shimmey peiagh pooaral as ard-ghooagh t'er hoie er Jonathan Edwards boght, as ad gra dy vel eh gaccan foddey ro niartal.",
"Ny mast'oc shen va noi Jonathan Edwards va'n MP son Rhondda ayns Bretyn Yiass, Chris Bryant. Dooyrt eshyn dy nee 'boghtynid' y stoo va screeut ec Roger Lewis, agh cha row sleih laccal ashoonaghys Bretnagh va gaccan car y traa. Cha lhisagh Bretnee cur geill da cremeydys, as cha lhisagh ad roie gys ny meoiryn-shee son cooney, smooinee eh. As eear-MP, Lembit Opik, dooyrt eshyn dy row kied ec peiagh erbee dy ghra reddyn eajee ayns ny pabyryn-naight -v'eh scanshoil dy phohlldal seyrsnys-baght ayns ny pabyryn-naight. As yn aght share dy chur Bretnish er e toshiaght, va shen dy chur troghyn jarrooagh er nyn doshiaght, heill eh. Dooyrt y dooinney veih'n Daily Mail, Roger Lewis, dy row eh er n'eddyn ymmodee chyrryssyn dy phohlldal veih Bretnee as Sostnee, goaill stiagh Stephen Fry , Carol Vorderman as Gyles Brandreth (Lhig dooin padjer y goaill!). Va Mnr Lewis gobbal dy row kynneeaghys erbee sy stoo va screeut echey, as dooyrt eh dy row eshyn hene lane Vretnagh. As bentyn da Bretnish myr 'chengey-apag atchimagh as neuvioyr, nagh vel un ennymockle noa eck neayr's ny h-Eashyn Meanagh', dooyrt eh dy daink shen veih'n lioar 'The Old Devils', va screeut ec Kingsley Amis. Agh cre'n fa hug Mnr Lewis shen stiagh syn art echey?",
"She cooish feer henn t'ayn, sleih jannoo faghid er ny Celtee, as ad lhiggey er dy nee aittys t'ayn - 'Nagh vod ad jannoo lesh. spotch? Graih veen, ta crackan thanney oc, nagh vel!' Agh smooinee er ny h-eiyrtyssyn haghyragh dy beagh reddyn eajee clouit mychione Sostnee ayns ny h-ellanyn shoh, ny currit magh er y radio ny er y chellveeish? Ec y traa t'ayn, er claareyn aitt er y chellveeish ayns Bretyn Vooar s'liooar ny focklyn 'Wales' ny 'Welsh' y ghra dy chur er y lught-eaishtagh dy ve gearey. Cha nel shen taghyrt lesh ny focklyn 'England' ny 'English'. Cha bee sleih dy dty hoiggal my nee oo gra 'He englished on me'. Agh nee ad hoiggal 'He welshed on me'. Va'n bun jeh'n vreear 'to welsh on' foast ry gheddyn ayns fockleyryn Baarlagh gys paart dy vleeantyn er dy henney. V'ad er n'eddyn rey rish y chooid smoo jeh ny focklyn as raaghyn eajee noi ny h-Ewnyn ayns fockleyryn Baarlagh tammylt braew er dy henney, as s'mie shen, dy jarroo.",
"Cha nel mish dy ghra dy vel ooilley nyn Sostnee nyn youyl veagh shen ommidjagh. Ansherbee, c'red ta 'Sostnagh', 'Bretnagh', 'Albinagh', 'Yernagh', 'Manninagh', ny 'Cornagh'? Ta shin ooilley mestit ry cheilley er aght ennagh. Y red ta mish soie er, shen impiroilaghys lught-reill Hostyn, red haink rish mysh meeilley blein er dy henney. Hug yn Olloo Robert Bartlett roish strane feer vie er y chellveeish Ghoaldagh mychione shennoaylleeaght ny Normanee. Loayr eh mychione yn aght hug Illiam y Fer-thammag ny Anglo-Hostnee fo chosh lurg 1066, as yn aght ghow ny Normanee as ny Anglo-Normanee greim er Nerin myr y chied choloin oc - red noa dy chlashtyn er chellveeish Ghoaldagh. Hoilshee yn Olloo Bartlett magh dy row Nerin ny cheer raad va ooilley ny reddyn smoo ayns impiroilaghys Oarpagh crooit. Choont ny Normanee as eisht ny Anglo-Normanee ny Yernee dy ve myr sleih injil 'untermensch' ny Natseeyn, son shickyrys. Va'n fer-shennoaylleeaght Gerald Bretnagh jeh sluight Normanagh as v'eh moyrnagh ass ny reddyn ren ny Normanee ayns Nerin. Screeu eh mychione ny Yernee myr pobble neufeeu as almoragh, va goll mygeayrt rooisht -cha row fys oc er eaddagh, ny er stoo kiart dy ee, ny eer er Yeesey Creest! As my t'ou dellal rish pobble myr shen, s'aashagh ad y chur fo chosh dy bollagh. My wooise mooar da'n Olloo Robert Bartlett son insh yn irriney ayns ny claareyn hug eh roish -cha ren mee rieau clashtyn y lheid roi'e er y chellveeish Ghoaldagh. Anchaslys mooar eddyr shen as y stoo impiroilagh ta shin cliaghtey geddyn veih'n chellveeish Ghoaldagh veih Starkey as Ferguson as nyn lhied. Myr dooyrt Bartlett, ta shin foast beaghey lesh ny h-eieyn va crooit mysh meeilley blein er dy henney tra va coloin jeant ass Nerin - y chied choloin ec lught-reill Hostyn.",
"Ren y spyrryd jeh impiroilaghys as kynneeaghys lught-reill Hostyn skeaylley magh trooid pobble Hostyn son y chooid smoo, as trooid ram jeh ny Celtee va currit fo chosh ec Sostyn harrish keeadyn dy vleeantyn. Myr sampleyr, jeeagh er 'Manx Last Night of the Proms' ta goll er cummal gagh blein ayns Doolish as Manninee kiaulley 'Land of Snob and Tory' (oh, dy row!) lesh cree, annym as coraa. As shimmey Manninagh dynsee dy chraidey mysh ny Bretnee as ny Yernee gyn resoon cooie. S'doillee da ny Celtee ooilliu scapail veih coloinaghys, dy jarroo. Coloinaghys ayns ny h-inchyn, shen y nieu smessey.",
"Er lhiam dy row Jonathan Edwards slane kiart dy ve gaccan dy lajer mychione y stoo va clouit ayns y Daily Mail mychione Bretnish - s'cummey ere voish haink y stoo shen, Roger Lewis ny Kingsley Amis. Y traa son gra 'Lhig da faghidyn ve jeant noi ain as cha jeanmayd gaccan', ta'n traa shen ersooyl, er lhiam pene. Shegin dooin jannoo red erbee oddys mayd dy chaggey noi faghidyn, as my ta leigh ayn ny chour, gow ymmyd jeh.",
,Summary
,"Jonathan Edwards MP took robust action concerning insults against the Welsh language printed in the English newspaper The Daily Mail. He was accused by various people of being thin-skinned, but this is highly debatable in view of the insults disguised as 'humour' which many Welsh people have to put up with."
