Manx,English
Britaanish,
"Ta Britaanish ny chengey p-Celtish, gollrish Bretnish as Cornish. Haink Britaanish rish er oyr dy daink Britnee veih'n Vretyn Vooar dy chroo cheer noa sy Cheer Vooar Oarpagh ayns ny keeadyn lurg da ny Romance er n’aagail y Vretyn Vooar as va pooar ny Sostnee gaase. Ta ny scoillaryn gra dy vel Britaanish ny chengey 'Cheltiagh Ellanagh' er y fa dy daink ee veih ny h-Ellanyn Goaldagh. Foddee dy row ny Britnee shoh scapail veih ny Sostnee. Ansherbee, hug ad y Vritaan er bun, haink dy ve ny cheer heyr. Tra haink y Rank dy ve myr cheer er-lheh, v'ee kinjagh baggyrt er y Vritaan. Er jerrey, va'n Vritaan voght sluggit stiagh ec ny Frangee as chaill y Vritaan e seyrsnys. Cha row eh feer foddey er dy henney dy row ny Frangisheyryn sy steal Frangagh nyn mynlagh. Adsyn as Britaanish, Baskish as chengaghyn elley oc, va ny shlee na jeusyn ayn na'n earroo dy Rangisheyryn. Ren reiltys Paris caggey jeean dy chur mow gagh chengey Vinshley' gollrish Britaanish as Baskish sy steal Frangagh. Ta'n reiltys shen er ve speeideilagh dy liooar: mysh y vlein 1950 va ny shlee na millioon Britaanisheyryn ayn. Mysh 2007, va'n earroo shen er duilrym gys 200,000 ny myr shen, y chooid smoo jeu shid ny shinney na Iree feed blein. Nish la UNESCO gra dy vel Britaanish 'ayns gaue mooar'. Cooinee dy dooyrt UNESCO dy row yn Ghaelg 'marroo'. Nish I'ad gra dy vel ee 'ayns gaue mooar'. Ta shin jannoo dy mie!",
"Eddyr y nuyoo cheead lurg Creest as y nah cheead yeig, she Britaanish va chengey yn sleih ooasle sy Vritaan. Agh ny lurg shen, hug y sleih ooasle as ny brastylyn meanagh toshiagh da loayrt Frangish, as haink Britaanish dy ve yn chengey v'ec sleih nagh row monney pooar ny argid oc - y skeeal cadjin ayns ny cheeraghyn Celtiagh. T'eh jeeaghyn nagh row ny reeaghyn Frangagh boirit ec ny chengaghyn ardjynagh sy steat Frangagh, ga dy row sleih eignit goaill ymmyd jeh Frangish son dellal-reiltys. Agh, faggys da jerrey yn hoghtoo cheead jeig, haink caghlaa mooar lesh y Ravloyd Frangagh. Hug y reillys ravloydjagh polasee er bun ren cur er Frangish dy ve foddey erskyn ny chengaghyn ardjynagh gollrish Britaanish. Va (as ta) sleih pooaral gra 'patois' rish gagh chengey ardjynagh, eer roosyn va (as ta) ard-lettyraght as cultoor oc. She 'Seyrsnys, Braaraghys as Cormid' va sleih-gherrym y Ravloyd Frangagh - agh cha row shen bentyn da chengaghyn 's'inshley'. Va ny ravloydjee smooinaghtyn dy row sleih ayns foayr jeh reeriaghtyn pohlldal chengaghyn ardjynagh ry-hoi cummal sleih-cheerey fo chosh. Myr shen, smooinee ny ravoydjee, bare dooin geddyn rey rish ny chengaghyn ardjynagh. Er aghtyn ennagh, ta'n polasee shen foast ayn. Ayns 1794, dooyrt ravloydjagh ennagh, 'Ta Britaanish ec conastaghys as faasechredjue'. Hoilshee shen dy row ny ravloydjee dy bollagh ayns foayr jeh laaraghey - as shen ny ren ad. Haink Paris dy ve eer ny smoo casley rish mean y teihll Frangagh, as haink Frangish dy ve ny chengey 'gyn cron' - eer ny share na Ladjyn. Dobbree reillys Paris dy jeean rish daa cheead blein dy varroo yn chengey Vritaanagh. Ec loshtaght yn eedoo cheead, cha row agh Britaanish ny lomarcan ec lieh jeh'n phobble ayns Breizh Izel, y Vritaan Heear. Va'n lieh elley daa hengagh. Ayns 1950, cha row agh keead meeilley Britaanee foast er mayrn as Britaanish ny lomarcan oc. Neayr's y traa shen ta'n chengey er ny h-imman sheese y lhiargagh ny smoo as ny smoo, as s'cosoylagh nagh vel sleih erbee er mayrn as Britaanish ny lomarcan oc nish. Ayns 1997, v'eh feddynit dy row mysh 300,000 Britaanisheyr ayns Breizh Izel - va mysh 190,000 jeu shen ny shinney na tree feed. Cha row Britaanish ec monney dy leih va eddyr queig bleeaney jeig as nuy bleeaney jeig dy eash. Agh ta'n caggey son Britaanish foast goll er oi.",
"Sy vlein 1925, va'n earishlioar lettyraght Gwalarn currit er bun ec Roparz Hemon. Va shen jeant echey ry-hoi troggal Britaanish gys y leval jeh ard-chengaghyn eddyrashoonagh liorish cur magh lettyraght va mie as noa ayns Britaanish. Va Galarn ayn rish nuy bleeaney jeig. Sy vlein 1946, ghow Al Liamm ynnyd Galarn myr ard-earishlioar lettyraght. Haink earishlioaryn Britaanish elley rish as ny veggan as ny veggan va lettyraght mooar dy liooar er ny croo ayns Britaanish. Ta paart d'ilmyn er nyn yannoo ayns Britaanish, as ta bardyn, chengeyderyn as fir-screeuee er nobbraghey ayns Britaanish as er chosney goo mie eddyrashoonagh. Ny mast’oc la Yann-Ber Kalloc'h, Roparz Hemon, Anjela Duval, Per-Jakez Helias as Youenn Gwernig.",
"Y laa t'ayn jiu, she Britaanish yn ynrican chengey Cheltiagh nagh vel enney eck myr chengey oikoil ny chengey ardjynagh. Ta'n steat Frangagh gobbal caghlaa y nah olt jeh'n vunraght (currit stiagh ayns 1994) ta gra dy nee Frangish chengey yn Phobblaght. Creid eh ny dyn, y chied fockleyr Britaanish, y Catholicon, va shen y chied fockleyr Frangish myrgeddin. Hie yn Catholicon er femblal ayns 1464, as v'eh ry-hoi tree chengaghyn - Britaanish, Frangish as Ladjyn. Sy lhing jeianagh, la ny Britaanee er nobbraghey braew jeean dy chosney enney eddyrashoonagh son y chengey oc. Ta fockleyryn ayn la kiangley Britaanish lesh Baarle, Ollanish, Germaanish, Spaainish as Bretnish. Chammah as shen, la fockleyr un-chengagh ayn la soilshaghey magh focklyn Britaanish ayns Britaanish. Va feed meeilley fockle sy nah chur-magh ayns 2001.",
"Ayns 1977, haink scoillyn Diwan rish, raad ta sleih aegey goll er ynsaghey trooid Britaanish - coorse-thummey. Va kuse dy veeillaghyn dy leih aegey goll gys ny scoillyn shen. Fy yerrey, phrow yn reillys Frangagh dy chur ny scoillyn Diwan stiagh ayns coarys-ynsee yn steat. Jinnagh oo credjal eh, agh va'n eab shen lhiettit ec Coonceil Vunraghtoil y Rank. Ren lhiasaghey jeh bunraght yn Wheiggoo Phobblaght gra dy nee Frangish chengey yn Phobblaght. Kyndagh rish shen, dooyrt y Choonceil shoh, cha nel chengey elley erbee lowit dy ve ny chengey ry-hoi gynsaghey da paitchyn ayns scoillyn y Rank! Ta shen keeallaghey nagh vel argid-steat erbee lowit dy gholl gys ny scoillyn Diwan. Masley scammyltyn eddyrashoonagh elley, cha jean y reiltys Frangagh cur e ennym hug Y Kaart Oarpagh son Myn-chengaghyn as Chengaghyn Ardjynagh, kyndagh rish Leigh Toubon. Ta Leigh Toubon gra dy nee Frangish y chengey son ynsagh theayagh - as shen eh.",
"Chammah as scoillyn Diwan, hie yn saase-ynsee Div Yezh (Daa Hengey) er croo ayns 1979. Ta'n saase shen goll er ymmydey ayns scoillyn-steat ennagh. As ta'n saase-ynsee Dihun (Doosley) ry-gheddyn ayns scoillyn Catoleagh. Ayns 2011, va 14,174 studeyryn goll gys scoillyn Diwan, Div Yezh as Dihun – as bee  yn earroo shen goll seose blein lurg blein. Ta mysh queig meeilley dy leih aasit jannoo studeyrys er Britaanish er coorseyn ennagh. Lhig dooin guee nagh vel agh un raad ayn da Vritaanish nish: seose. ",
,
,Summary
,"The history of the Breton language is sadly dominated by the persecution of the language and culture of Brittany by the French State, particularly following the French Revolution. But there are some hopeful signs for the language."
