English,Manx,Manx Original,Notes,Page
No. 174,,,,1
THE VILLAGE IN THE MOUNTAINS.,BALLEY-BEG AYNS SLEITYN Y RAANK.,,,1
"[by Sampson Vryling Stoddard Wilder, (1780-1865)]",,,,1
,"DY CHIARALAGH CHYNDAIT AYNS GAILCK, NY CHENGEY NY MAYREY ELLAN VANNIN",,,1
LONDON:,DOUGLAS:,,,1
"PRINTED BY AUGUSTUS APPLEGARTH AND EDWARD COWPER, DUKE-STREET, STAMFORD-STREET, ",PRINTED BY G. JEFFERSON,,,1
[c. 1820-23][1],1823,,"[1] Tract No. 174 is not yet in the Society’s catalogue of 1820, but it is in the 1824 catalogue. Since the Manx translation bears an 1823 date, the original must have come out that year or earlier.",1
THE VILLAGE IN THE MOUNTAINS.,BALLEY-BEG AYNS SLEITYN Y RAANK.,,,2
"M. ——, a merchant at the head of one of the first commercial houses in Paris, had lately occasion to visit the manufactories established in the mountainous tracts of the departments of the Loire and the Puy-de-Dôme.","Va oyr ec Marchan dy row, v’ayns unnane jeh ny thieyn s’yrjey son dellal ayns Paris, dy gholl dy akin Factoryeen v’er ny hroggal ayns ny Sleityn, ayns ayrn jeh’n Raank, enmyssit yn Loire.",,,2
"The road that conducted him back to Lyons traversed a country rich in natural productions, and glowing with all the charms of an advanced and promising Spring.","Myr v’eh goll er y raad, va’n aigney echey lhieent lesh boggey, ec yn shilley erskyn-towse aalin, va’n Cheer, ec yn imbagh shen, fordrail da.",,,2
,,,,2
"The nearer view was unusually diversified; not only by the fantastic forms of mountains, the uncertain course of small and tributary streams, and the varying hues of fields of pasture, corn, vines, and vegetables; but by the combinations and contrasts of nature and of art, and the occupations of rural and commercial industry. Factories and furnaces were seen rising amidst barns and sheep-cotes; peasants were digging and ploughs gliding amidst forges and founderies; verdant slopes and graceful clumps of trees were scattered amidst the black and ugly mouths of exhausted coal pits, and the gentle murmur of the stream was subdued by the loud rattle of the loom. Sometimes M.—— and his friend halted amidst all that is delightful and soothing; and, after a short advance found themselves amidst barrenness, deformity, and confusion. The remoter scenery was not less impressive. Behind them were the rugged mountains of Puy de Dôme; the lofty Tavare lifted its majestic head beside them, and far before appeared the brilliant summit of Mont Blanc. ",,,,2
,"[2] Haghyr eh dy ve ’syn Niarragh, tra ta dy chooilley red, myr dy beagh eh, er ny da-vioghey tra ta’n Billey figgagh gymmyrkey e Vess, as ny magheryn aalin lesh blaa—tra ta’n ghlasseragh goaill toshiaght dy aase seose, as dy chooilley cheint dy ghuillag dy ghossey[3]—tra ta’n labree streeu ayns caghlaghyn aght dy yannoo aarloo cour troar elley—ayns fockle, tra ta dy chooilley ayrn jeh’n Chroo, streeu ry cheilley, myr dy beagh eh ayns ve jeidjagh dy chur e obbyr hene er y hoshiaght.",,"[2] The remainder of this paragraph is a substitute for the English rather than any kind of translation. “It happened to be in the Spring, when everything, as it would be, reawoken, when the fig tree bears its fruit, and the beautiful fields with fruit — when the greenery begins to grow up, and all kinds of leaf branch — when the labourer strives in various ways to make ready for the another harvest — in a word, when each part of Creation is striving together, as if it were committed to progressing its own work.
[3] ghossey] Kelly: ‘DOSSEY, v. to cluster, to branch. Mos’.",2
"     In this state of mind he arrived at the skirts of a hamlet[4] placed on the declivity of a mountain; and being desirous of finding a shorter and more retired track, he stopped at a little house to inquire the way.","     Lesh yn cree echey soit er ny reddyn shoh, as e aigney lhieent lesh aalid y Cheer, hie yn Marchan er y hoshiaght marish e heshey-troailtagh, derrey haink eh dys balley-beg er lhiattee slieau; as myr veh aggindagh dy gheddyn raad s’girrey, hass eh ec thie dy vriaght son y raad.",,"[4] Other sources indicate that the hamlet is Saint-Jean Bonnefonds, now on the outskirts of Saint-Étienne. It was indeed known for its mines and ribbon-weaving in the 19th century.",2
