English,Manx,Notes,Page
English,Manx,,
"An ACCOUNT OF THE BRAVERY AND HAPPY DEATH OF JAMES COVEY, A BRITISH SEAMAN ",,,
LONDON:,,,
"PRINTED FOR THE RELIGIOUS TRACT SOCIETY; AND SOLD BY J. DAVIS, AT THE DEPOSITORY, 56, PATERNOSTER-ROW; J. NISBET, 21, BERNERS STREET, OXFORD STREET; THE SUNDAY SCHOOL UNION DEPÔT, 19, PATERNOSTER ROW; AND OTHER BOOK-SELLERS.",,,
[1830.][1],,"[1] An earlier edition of the English James Covey was printed in 1817 by Tilling and Hughes, Chelsea. [Any relation of the Tilling in Liverpool that published the Manx?]. The text is virtually identical with that of 1830, but there are a couple of sentences found only in the latter which are rendered in the Manx. The Manx Jamys Covey has no title page.",
AN ACCOUNT Of the Bravery and Happy Death OF JAMES COVEY.,COONTEY JEH DUNNALLYS AS BAASE MAYNREY JAMYS COVEY.,,
 [BY REV. JOHN GRIFFIN.],,,
"MR. PRATT, in the second volume of his Gleanings[2],  relates an affecting anecdote of a sailor on board the Venerable, the ship in which Admiral Duncan commanded the fleet in the action against the Dutch, off Camperdown. ",,"[2] Samuel Jackson Pratt, Gleanings in England, vol. II., 1801, London: Longman and Ress; Letter 31, pp. 537-557. In the remainder of the English text, the narrator is the minister of the Orange-street Chapel, Portsea, Hampshire. In the Manx it becomes a third-person narrative.",
"He received the account from Dr. Duncan, Lord Duncan’s chaplain and relative, who, in the action, assisted the surgeon and his mate in binding up the wounds, and amputating the limbs of the unfortunate sufferers.",,,
,"Ayns y caggey sterree noi noidyn yn ashoon ain va shiolteyr, enmyssit Covey, erboard yn lhong Venerable, v’er choayll e ghaa chass ayns y caggey,",,
"“A mariner,” says the doctor, “of the name of Covey, was brought down to the surgery, deprived of both his legs;",,,
"and it was [4] necessary, some hours after, to amputate still higher. ",as v’eh ymmyrchagh da’n Erlhee dy ghiarey ayrn jeh e lheaystyn neesht.,,
"‘I suppose,’ said Covey, with an oath, ‘those scissors will finish the business of the ball, master mate?’ ","“Heil-lhiam[3] Vainshtyr!” dooyrt Covey lesh lhoo, “dy jean y skynn shen choyrt jerrey er my vioys.”","[3] Heil-lhiam] An interesting variant of hellym ‘I suppose’ (Kelly), irregular present (relative future for independent future?) of sheiltyn.",
"‘Indeed, my brave fellow,’ cried the surgeon, ‘there is some fear of it.’","“Dy firrinagh, my heshey vie!” dreggyr yn Er-lhee, “ta oyr ain dy ghoaill aggle jeh shen.”",,
"‘Well, never mind,’ said Covey, ‘I have lost my legs, to be sure, and mayhap may lose my life; but,’ continued he with a dreadful oath, ‘we have beat the Dutch! we have beat the Dutch! so I'll even have another cheer for it: huzza, huzza!’”","“Ny cur geill,” dooyrt Covey, “ta mee er coayll my chassyn dy jarroo, as foddee dy gaillym my vioys, agh ta shin er gheddyn y varriaght harrish nyn noidyn,” as eshyn, lesh lhoo[4] atchimagh, “ta shin er gheddyn y varriaght harrish nyn noidyn, as shen y fa goym boggey reesht, Huzza! Huzza!”",[4] lhoo] text lhee,
"This anecdote is rendered more interesting still, by some prior and subsequent circumstances attending this poor sailor. ",Ta’n coontey shoh tooilloo tastey smoo veih ymmyrkey yn dooinney roish y tra shen as ny lurg. ,,
"Covey was a good seaman, and was noticed among his shipmates for his intrepidity; but he was pre-eminent in sin, as well as in courageous actions. ","Va Covey shiolteyr fondagh, as mooar soit jeh mastey e heshaghyn son e ghunnallys; agh v’eh cha niartal ayns peccah as veh ayns caggey.",,
"About a fortnight before the English fell in with the Dutch fleet, he dreamed that they were in an engagement, in which both his legs were shot off, and that he was out of his mind.","Tra gerrid roish haink lhuingyn dagh ashoon dy cheilley, ren eh dreamal dy row ad ayns caggey ayn va e ghaa chass goit ersooyl, as dy row eh ershaghryn ayns e aigney.",,
"The dream made this courageous seaman tremble, and sometimes attempt to pray; but, not liking to retain God in his thoughts, he endeavoured to blot out the impressions from his memory, and the [5] recollection of his sins from his conscience, by drinking and blasphemous intercourse with the ships company. ","Hug y dreamal er y shiolteyr dunnal shoh dy ve er-creau, as ny cheayrtyn dy streu dy ghoaill padjer, agh neuwoiagh dy reayll Jee ayns e smooniaghtyn gow eh ayns laue dy gheddyn rea rish lheid yn ennaghtyn, as dy eiyrt ersooyll cooniaghtyn jeh e pheccaghyn liorish meshtallys as goan mollaghtagh noi Jee, agh ooilley ayns fardail.",,
"The thoughts of his sins, of God, and of death, harassed his mind day and night, and filled him with gloomy forebodings of what awaited him in this world and in the next, till the sight of the Dutch fleet, and their conversation with each other concerning the heroic achievements they should perform, dispelled the gloomy subject from his mind.","Ren smooniaghtyn er e pheccaghyn, er Jee as er baase, eh y lhieeney lesh aggle atchimagh [2] jeh treihys chammah ’sy theihll shoh, as ayns shen ta ryheet, derrey ren shilley jeh lhuingyn ny noidyn, as yn taggloo v’ec ny shiolteyryn mychione ny dunnallys[5] yinnagh ad y hoilshaghey geiyrt ersooyll ny smooniaghtyn trimshagh shoh veih e aigney. ",[5] ny dunnallys] sic. l. ny dunnallyssyn ?,
"As the two fleets were coming into action, the noble Admiral, to save the lives of his men, ordered them to lie flat on the deck, till, being nearer the enemy, their firing might do the more execution. ","Myr v’an caggey ghoaill toshiaght hug yn Admiral sarey da e gheiney dy huittym sheese er y deck, myr saase dy hauail nyn mioys, choud as veagh ad tayrn ny sniessey da’n noid dy voddagh ad eisht craagh smoo y yannoo ny mast’oc.",,
"The Dutch ships at this time were pouring their broadsides into the Venerable as she passed down part of the Dutch fleet, in order to break their line.",,,
"This stout-hearted and wicked Covey, having lost all the impressions of his former reflections, heaped, in rapid succession, the most dreadful imprecations on the eyes, and limbs, and souls, of what he called his cowardly shipmates, for lying down to avoid the balls of the Dutch. ","Ren Covey va nish er choayl dy chooilley smooniaght as ennaghtyn crauee ren roie goaill greme er e aigney gueeaghyn ’syn aght s’atchimee da sooillyn, da oltyn, as da anmeenyn e heshaghyn faase-chreeagh myr denmys eh ad son lhie sheese dy voddagh ad shaghney bulladdyn ny noidyn.",,
"He refused to obey the order, till, fearing [6] the authority of an officer not far from him, he in part complied, by leaning over a cask which stood near, till the word of command was given to fire. ","Dob eh dy chur biallys da’n sarey, derrey trooid aggle roish Offisher va ergerrey da, chroym eh harrish saagh va shassoo liorish, derrey va sarey er ny choyrt dy ghoaill toshiaght er y chaggey.",,
"At the moment of rising, a bar shot carried away one of his legs and the greater part of the other; but so instantaneous was the stroke, though he was sensible of something like a jar in his limbs, he knew not that he had lost a leg till his stump came to the deck, and he fell.","Choud’s v’ad girree, gow shot ersooyll e ghaa chass, agh va’n builley cha jeean ga dy ren eh gennaghtyn dy row eh guint nagh row fys echey dy row eh er choayll e oltyn derrey huitt eh er y deck.",,
"When his legs were amputated higher up, and the noise of the battle had ceased, he thought of his dream; and expected, that as one part of it was fulfilled, the other would be so to.","Tra va e chassyn giaryt jeh, as sheean y chaggey er scuirr chooinee eh er e ghreamal, as v’eh jerkal myr va un ayrn jeh cooilleenyt dy beagh yn jeh elley cooilleenyit myrgeddin. ",,
"Indeed, considering the pain of amputating and dressing both legs, and the agitation of his mind from fearing the full accomplishment of his dream, it appears next to a miracle that he retained his reason in the most perfect state : but this was to be explained to him at a future period. ","Dy jarroo t’eh jeeaghyn dy ve faggys mirril nagh chaill eh e cheayll as e chooinaghtyn liorish y pian, as yn aggle v’eh fo dy row e ghreamal dy ve dy slane cooilleenit; aght va baght dy ve er ny choyrt da jeh shoh ny lurg shen.",,
"Some time after, he came out of Haslar Hospital, capable of walking by means of two wooden legs and two crutches; but his spirits were sorely dejected, from fearing that as his sins had brought upon him the judgment of God in the loss of his limbs, they would bring upon him the [9][6] loss of his reason, and the loss of his soul.","Lurg tammylt dy hra haink eh magh veih’n Hospital shooyl er daa chass fuygh, as daa chammag; agh va e annym lane dy hrimshey goaill aggle myr va e pheccaghyn er hayrn briwnys Yee er ayns coayll e oltyn, dy jinnagh ad tayrn er coayll e resoon as e annym.",[6] Page 7 has the engraving of the stern of a ship with a sea battle in the distance. Page 8 is blank.,
"Having heard of Orange-street Chapel, Portsea, he came on the first Sabbath evening after his leaving the hospital. ","Myr v’eh er clashtyn jeh cabbal v’ayns y valley raad v’eh, haink eh gys shen er y chied fastyr doonaght lurg da fagail yn Hospital. ",,
"The text that evening was Mark v. 15, “And they come to Jesus, and see him that was possessed with the devil, and had the legion, sitting, and clothed, and in his right mind.” ","Va’n text yn fastyr shen Mark v. 15, “As haink ad gys Yeesey, as honnick ad eshyn va’n droghspyrryd as y legion er ny ve ayn, ny hoie, as e eaddagh er, as dy mie ayns e cheeayl, as ghow ad aggle.” ",,
"The minister represented this demoniac as a fit emblem of sinners in general; but especially of those who live without rule and order; drunkards, blasphemers, and injurious to themselves, and others; but his sitting at the feet of Jesus, clothed, and in his right mind, as an engaging representation of the sinner converted to God by the Gospel, made sensible of the evil of sin, the value of his soul, and the necessity of salvation through a crucified Redeemer; enjoying peace of mind, having fellowship with Christ and his people, submitting to the authority of the Scriptures, and receiving instructions from Christ, the friend of sinners. ","Ren y Shirveishagh soiaghey magh yn dooinney shoh va droghspyrryd ayn myr cowrey cooie jeh peccee, agh er lheh jeusyn ta beaghey fegooish reill as smaght, ny meshtallee, ny looddeyryn, as adsyn ta jannoo skielley [3] daue hene as da feallagh elley; agh hoilshee eh yn stayd echey tra v’eh ny hoie ec chassyn Yeesey lesh e eaddagh er, as dy mie ayns e cheeayl myr dy cooie soiaghey magh yn peccagh chyndait gys Jee liorish y Tushtal, gennaghtyn olkys peccah, feuid e annym, as feme jeh saualtys trooid Ferkionnee er ny crossey, goaill soylley jeh shee aigney, freayll commeeys marish Chreest as e phobble, biallagh gys ny Scriptyryn, as gynsaghey voish Yeesey carrey deiney peccoil. ",,
Covey listened with attention and surprise; wondered how the minister should know him among so many hundred people; or who could have told him his character and state of [10] mind. ,"Hug Covey tastey geyre, as gow eh yindys kys oddagh yn Shirveishagh cur enney ersyn fud chaglym wheesh dy leih, ny quoi oddagh v’er n’insh da cre va’n ymmyrkey echey er ve, as cre va stayd e annym.",,
"His astonishment was still more increased when he found him describe, as he thought, the whole of his life, and even his secret sins.",Gow eh foast yindys smoo tra cheayll eh; soiaghey magh myr dy beagh eh yn slane bea echey as eer e pheccaghyn follit.,,
"He could not account for it, why a minister should make a sermon all about him, a poor, wooden-legged sailor. ",Cha noddagh eh toiggal cre’n fa yinnagh Shirveishagh sharmane y phreacheil ooilley mychione shiolteyr boght croobagh. ,,
"His sins being brought afresh to his mind, filled him with horrors tenfold more gloomy than before.",Myr va e pheccaghyn er nyn dayrn gys e cooniaghtyn v’eh lhieent lesh atchim jeih-filley smoo na v’echey roie. ,,
"Despair, for some minutes took a firm hold on his spirits; and he thought he was now going out of his mind, should die, and be lost; till the minister declared Jesus Christ was as willing to save the vilest of sinners, as he was to relieve this poor creature possessed of the devil; and that a man was restored to his right mind when he believed in him.","Gow meehreishteil son tammylt greme er e aigney, as smooinee eh dy row eh roi[7] baase y gheddyn, as roi ve cailt son dy bragh; derrey ren y preachoor fockley magh dy row Yeesey Chreest cha aggindagh dy hauail ny peccee streih, as v’eh dy hauail yn dooinney shoh va seaghnit lesh y drogh-spyrryd; as dy row dooinney er ny choyrt lesh gys e cheeayl erreish da v’er chredjal ayn.","[7] roi] Cregeen roï, variant of ry-hoï, ry-oï.",
