Manx,English,Manx Original,Notes
[1],"YN CHIED HOMILY JEH AGGLISH HOSTYN: NY, ",,"[1] “THE FIRST HOMILY OF THE CHURCH OF ENGLAND, OR”"
A FRUITFUL EXHORTATION TO THE READING AND KNOWLEDGE OF HOLY SCRIPTURE,COYRL VONDEISHAGH MYCHIONE LHAIH AS TOIGGAL NY SCRIPTYRYN CASHERICK,,
I.,,,
part 1.,,,
The praise of holy Scripture.,Moylley ny Scriptyryn Casherick.,,
The perfection of Holy Scripture.,Mieys ny Scriptyryn Casherick.,,
The knowledge of Holy Scripture is necessary.,Tushtey ny Scriptyryn Casherick ymmyrchagh.,,
"Unto a Christian man, there can be nothing either more necessary or profitable, than the knowledge of Holy Scripture; forasmuch as in it is contained God’s true word, setting forth his glory, and also man’s duty. ","     Cha vod nhee erbee ve ny s’ymmyrchee ny ny s’vondeishee da Creesteenyn, na tushtey jeh ny Scriptyryn Casherick: er-yn-oyr dy nee ayns shen ta Goo firrinagh Yee soiaghey magh yn gloyr echeysyn, as myrgeddin currym dooinney. ",,
"And there is no truth nor doctrine, necessary for our justification and everlasting salvation, but that is, or may be, drawn out of that fountain and well of truth.","As cha vel firrinys ny ynsagh erbee ymmyrchagh gys nyn saualtys dy bragh farraghtyn, nagh vod ve er ny hayrn veih’n farrane shen dy irriney.",,
"Therefore, as many as be desirous to enter into the right and perfect way unto God, must apply their minds to know Holy Scripture; without the which, they can neither sufficiently know God and his will, neither their office and duty.","Shen-y-fa whilleen as ta aggindagh dy ghoaill toshiaght er y raad cairagh, as jeeragh gys Jee, shegin daue tastey y choyrt dy hoiggal ny Scriptyryn Casherick; n’egooish cha vod eddyr enney ve oc er Jee as e aigney, ny er nyn oik as nyn gurrym hene.",,
To whom the knowledge of Holy Scripture is sweet and pleasant,Yn vooinjer huc ta ny Scriptyryn Casherick millish as eunyssagh.,,
Who be the enemies to Holy Scripture.,Quoi ta noidyn da ny Scriptyryn Casherick.,,
"An apt similitude, declaring of whom the Scripture is abhorred.",,,
"And as drink is pleasant to them that be dry, and meat to them that be hungry; so is the reading, hearing, searching, and studying of Holy Scripture, to them that be desirous to know God, or themselves, and to do his will. ","     As myr ta jough millish dauesyn ta paagh, as bee dauesyn ta accryssagh, myr shen ta lhaih, clashtyn, as ronsaghey ny Scriptyryn Casherick dauesyn ta aggindagh dy gheddyn tushtey jeh Jee ny jeu hene, as dy yannoo yn aigney echey: ",,
"And their stomachs only do loathe and abhor the heavenly knowledge and food of God’s Word, that be so drowned in worldly vanities, that they neither savour God, nor any godliness: for that is the cause why they desire such vanities, rather than the true knowledge of God.","as ta tushtey flaunyssagh as ooraghey jeh Goo Yee skeeagh as feohdoil dauesyn ny-lomarcan ta wheesh sluggit seose lesh fardaillyssyn seihltagh, nagh vel blass oc eddyr jeh Jee ny craueeaght: son shen yn oyr dy vel ad graihagh er lheld ny fardaillyssyn, as cha nee er tushtey firrinagh Yee.",,
"As they that are sick of an ague, whatsoever they eat and drink, though it be never so pleasant, yet it is as bitter to them as wormwood; not for the bitterness of the meat but for the corrupt and bitter humour that is in their own tongue and mouth; even so is the sweetness of God’s Word bitter, not of itself, but only unto them that have their minds corrupted with long custom of sin and love of this world.","Myr t’adsyn ta ching jeh ny crayne,[2] cre-erbee t’ad gee ny giu, ga dy beagh eh ass-towse millish ayn hene, ny-yeih te dausyn cha shiarroo as ullymar; cha nee veih sherriuid yn beaghey, agh veih’n vrold as sherriuid t’ayns nyn meeal hene; myr shoh ta miljid Goo Yee sharroo, cha nee ayn hene, agh ynrican dauesyn ta ny aignaghyn oc millit lesh cliaghtaghyn peccoil as graih yn theihll shoh.",,[2] ny crayne] Thomson: ‘= yn chreayn; perhaps perceived as pl.’
An exhortation unto the diligent reading and searching of the holy Scripture. Matt. iv,"Coyrl gys lhaih, clashtyn as ronsaghey ny Scriptyryn Casherick",,
"Therefore, forsaking the corrupt judgment of fleshly men, which care not but for their carcase, let us reverently hear and read Holy Scripture, which is the food of the soul. ","Shen-y-fa, coyrt cooyl rish smooinaghtyn broghe deiney foalley, nagh vel geill oc da veg agh nyn girp marvaanagh, lhig dooin lesh arrym clashtyn as lhaih ny Scriptyryn Casherick, ta beaghey yn annym; (Mian iv. 4); ",,
"Let us diligently search for the well of life in the books of the New and Old Testament, and not run to the stinking puddles of men’s traditions, devised by men’s imagination, for our justification and salvation.","lhig dooin dy tastagh shirrey chibber y vea ayns lioaryn y Chonaant Noa as y Chenn Chonaant, as gyn roie dy v’er nyn seyrey as er nyn sauail gys puill broghe oardaghyn deiney er ny geddyn magh liorish yn aigney oc hene.",,
The holy Scripture is a sufficient doctrine for our salvation.,Ta’n Scriptyr Casherick ynsagh fondagh son nyn Saualtys.,,
What things we may learn in the holy Scripture,Cre ny reddyn oddys mayd gynsaghey ayns ny Scriptyryn Casherick.,,
"For in Holy Scripture is fully contained what we ought to do, and what to eschew, what to believe, what to love, and what to look for at God’s hands at length. ","     Son ayns ny Scriptyryn te soilshit dy baghtal cre t’orrin dy yannoo, as cre dy haghney, cre t’orrin dy ehredjal, cre ta shm dy ve graihagh er, as cre t’ain ec y Jerrey dy yeeaghyn er y hon ec laueyn Yee. ",,
"In these books we shall find the Father from whom, the Son by whom, and the Holy Ghost in whom, all things have their being and keeping up; and these three Persons to be but one God, and one substance.","Ayns ny lioaryn shoh yiow mayd yn Ayr veih, yn Mac liorish, as y Spyrryd Noo ayn ta dy chooilley nhee bio as bioyr as baghey; as ny tree Persoonyn shoh dy ve Un Jee, as jeh un vree.",,
"In these books we may learn to know ourselves, how vile and miserable we be; and also to know God, how good he is of himself, and how he maketh us and all creatures partakers of his goodness.","Ayns ny lioaryn shoh foddee mayd gynsaghey dy hoiggal shin hene, cre cha neu-feu as treih ta shin; as myrgeddin dy hoiggal Jee, cre cha mie t’eh ayn hene, as cre’n aght t’eh coyrt orrin as er ooilley e chretooryn dy ghoaill ayrn ayns e vieys.",,
Holy Scripture ministereth sufficient doctrine for all degrees and ages.,Ayns ny Scriptyryn Casherick t’er ny gheddyn ynsagh fondagh son dy chooilley stayd as eash.,,
