English,Manx,Manx Original,Notes,Page
[1],"YN NAH HOMILY JEH AGGLISH HOSTYN: NY,",,"[1] “THE SECOND HOMILY OF THE CHURCH OF ENGLAND: OR,”",1
"A SERMON OF THE MISERY OF ALL MANKIND[2], AND OF HIS CONDEMNATION TO DEATH EVERLASTING, BY HIS OWN SIN[3].","SHARMANE MYCHIONE TREIYS SHEELNAUE AS NYN DEYREY GYS BAASE DY BRAGH FARRAGHTYN, LIORISH YN LOGHT OC HENE.",,"[2] all Mankind] 1810 Mankind
[3] In this homily, the margin column in the English has only the book and chapter references (suppressed in the present edition), which are spelt out more completely in the Manx text in parentheses. The Manx text has no marginalia.",1
"The Holy Ghost, in writing the Holy Scripture, is in nothing more diligent, than to pull down man’s vain-glory and pride; which, of all vices, is most universally grafted in all mankind, even from the first infection of our first father Adam.","     Cha vel yn Spyrryd Noo, ayns scrieu ny Scriptyryn Casherick, ny ’skiart ayns nhee erbee na dy injillaghey gloyr fardailagh as moyrn dooinney, ta ny smoo na peccah erbee elley frauit ayns ooilley sheelnaue, eer veih broid nyn gied Ayr Adam.",,,1
"And therefore we read, in many places of Scripture, many notable lessons against this old rooted vice, to teach us the most commendable virtue of humility, how to know ourselves, and to remember what we be of ourselves.","As shen-y-fa, shimmey raue jeean ta shin lhaih ayns ymmodee ayrnyn jeh’n Scriptyr noi yn chenn pheccah niartal shoh, dy ynsaghey dooin yn grayse smoo ymmyrchagh dy injillid-aigney, cre’n aght dy gheddyn tushtey jin hene, as dy chooinaghtyn cre ta shin jin hene.",,,1
"In the book of Genesis, Almighty God giveth us all a title and name in our great grandfather Adam; which ought to warn us all to consider what we be,[4] whereof we be, from whence we came, and whither we shall; saying thus: In the sweat of thy face shalt thou eat thy[5] bread, till thou be turned again into the ground; for out of it wast thou taken; inasmuch as thou art dust, and into dust shalt thou be turned again. Here, as it were in a glass, we may learn to know ourselves to be but ground, earth and ashes, and that to earth and ashes we shall return.","Ayns Lioar Genesis, (cab. iii. 19), ta Jee Ooilley-niartal coyrt dooin ooilley ennym ayns nyn chenn-ayr Adam, lhisagh raue y choyrt dooin ooilley dy smooinaghtyn, jeh cre’n stoo ta shin, cre voish haink shin, as c’raad ta shin goll; loayrt myr shoh, “Ayns ollish dty vaaish nee oo gee dty arran, derrey hyndaays[6] oo gys yn ooir: son ass shen v’ou er dty ghoaill: son joan oo, as gys joan nee oo reesht chyndaa.” Ayns shoh myr ayns gless, foddee mayd gynsaghey, dy vel shin ynrican ooir as leoie, as dy jean mayd chyndaa gys ooir as joan reesht.",,"[4] what we be] omitted in the Manx.
[5] thy] missing in 1817
[6] The Bible text has chyndaays (unlenited relative future = chyndaaee).",1
"Also, the holy Patriarch Abraham did well remember this name and title, dust, earth, and ashes, appointed and assigned by God to all mankind: and therefore he calleth himself by that name, when he maketh his earnest prayer for Sodom and Gomorrah.","Myrgeddin ren Abraham, yn patriarch crauee, cooinaghtyn dy mie er yn ennym shoh, joan, ooir, as leoie, er ny coyrt liorish Jee gys ooilley sheelnaue: as shen-y-fa t’eh genmys. eh-.hene liorish yn ennym shen, tra t’eh chebbal seose e phadjer jeean son Sodom as Gomorrah.",,,2
"And we read that Judith, Esther, Job, Jeremy, with other holy men and women in the Old Testament, did use sackcloth, and to cast dust and ashes upon their heads, when they bewailed their sinful living.","As ta shin lhaih, ayns y Chenn Chonaant, dy ren Esther,[7] Job, as Jeremiah, marish deiney as mraane crauee elley, chur orroo aanrit-sack, as ceau joan as leoie er nyn ging, tra v’ad dobberan son nyn ymmyrkey mee-chrauee. (Job xiii. 12;[8] Jer. vi. 26; xxv. 34.)",,"[7] The Manx omits Judith; her book was not published in the Manx Apocrypha in vol. II of the Old Testament (1772).
[8] Dust is mentioned in Job xiii. 12, but Thomson remarks that a ref to Job. xlii. 6 was probably intended: Shen-y-fa ta dwoaie aym orrym pene as ta mee goaill arrys ayns joan as leoïe.",2
"They called and cried to God for help and mercy, with such a ceremony of sackcloth, dust, and ashes, that thereby they might declare to the whole world, what an humble and lowly estimation they had of themselves, and how well they remembered their name and title aforesaid, their vile, corrupt, frail nature, dust, earth, and ashes.","Ren ad geamagh as guee gys Jee son cooney as myghin, lesh aanrit-sack, as joan, as leoie; dy voddagh ad liorish shen soilshaghey da’n slane seihll, cre cha injil as v’ad ayns nyn sooillyn hene, as cre’n tastey hug ad da’n ennym roïe enmyssit, yn dooghys rnarvanagh, broghe, as annoon oc, joan, ooir, as leoie.",,,2
"The Book of Wisdom also, willing to pull down our proud stomachs, moveth us diligently to remember our mortal and earthly generation, which we have all of him that was first made; and that all men, as well kings as subjects, come into this world, and go out of the same, in like sort; that is, as of ourselves, full miserable, as we may daily see.","Ta’n Lioar dy Chreenaght myrgeddin, (cab. vii. 1), shirrey dy injillaghey yn voyrn ain, greinnaghey shin dy imneagh dy chooinaghtyn er nyn ghooghys marvanagh as thallooinagh, ta ain veihsyn va hoshiaght er ny chroo; as dy vel ooilley sheelnaue, chammah reeaghyn as y thea ta foue, cheet stiagh ’sy theihll shoh, as goll magh er yn aght cheddin; ta shin, myr j’in hene feer treih, myr ta shin gagh-laa fakin.",,,2
"And Almighty God commanded his Prophet Isaiah to make a proclamation, and cry to the whole world,: and, Isaiah asking, What shall I cry? the Lord answered, Cry, that all flesh is grass, and that all the glory thereof is but as the flower of the field:","As hug Jee Ooilley-niartal sarey da e phadeyr Isaiah, dy chur eam as dy ockley magh da’n slane seihll: as tra dooyrt Isaiah, “Cre neem geamagh?” dansoor y Chiarn, “Cur eam, dy nee faiyr dy chooilley eill, as dy vel ooilley’n aalid echey myr blaa ny magheragh.",,,2
