English,Manx,Manx Original,Notes,Page
[1],"YN TRASS HOMILY JEH AGGLISH HOSTYN: NY,",,[1] “THE THIRD HOMILY OF THE CHURCH OF ENGLAND: OR”,1
"A SERMON OF THE SALVATION OF MANKIND, BY ONLY CHRIST OUR SAVIOUR, FROM SIN AND DEATH EVERLASTING.","SHARMANE MYCHIONE SAUALTYS SHEELNAUE, LIORISH CREEST NYN SAUALTAGH NY- LOMARCAN, VEIH PECCAH AS BAASE DY BRAGH FARRAGHTYN.",,,1
"Because all men be sinners and offenders against God, and breakers of his Law and Commandments, therefore can no man, by his own acts, works, and deeds, seem they never so good, be justified and made righteous before God: but every man, of necessity, is constrained to seek for another righteousness of justification, to be received at God’s own hands; that is to say, the forgiveness of his sins and trespasses, in such things as he hath offended.[2]","Er-yn-oyr dy vel ooilley sheelnaue er chur-rish peccah noi Jee, as er vrishey e leigh as e annaghyn; shen-y-fa cha vod dooinney erbee, liorish e yannoo hene, e ghoan, as e obbraghyn, cre-erbee cha casherick as t’ad ayns fakin, v’er ny heyrey as jeant ynric fenish Jee: agh ta dy chooilley ghooinney eginit dy hirrey ynrickys elley, liorish oddys eh v’er ny heyrey, as soiagh ve jeant jeh liorish Jee; ta shen dy ghra, dy vod eh leih e peccaghyn y gheddyn.",,[2] in such things as he hath offended] omitted in the translation.,1
"And this justification, or righteousness, which we so receive of God’s mercy and Christ’s merits, embraced by faith, is taken, accepted, and allowed of God for our perfect and full justification.","Ta’n ynrickys shoh ta shin gheddyn veih myghin Yee as toilchinys Chreest, er ny gheddyn liorish credjue, soit jeh ayns shilley Yee son nyn slane seyrey.",,,1
"For the more full understanding hereof, it is our parts and duty ever to remember the great mercy of God; how that all the world being wrapped in sin by breaking of the Law, God sent his only Son our Saviour Christ into this world, to fulfil the Law for us; and, by shedding of his most precious blood, to make a sacrifice and satisfaction, or, as it may be called, amends to his Father, for our sins; to assuage his wrath and indignation conceived against us for the same. ","Dy vod toiggal share ve ain jeh shoh, te nyn ayrn as nyn gurrym dy kinjagh dy chooinaghtyn er myghin vooar Yee: kys dy dug Jee e ynrican Vac Yeesey Creest gys y theihll, dy chooilleeney yn Leigh, tra va ooilley yn seihll sluggit seose ayns peccah liorish brishey yn Leigh; as liorish deayrtey e uill smoo ooasle, dy yannoo oural as lhiassaghey gys e Ayr son nyn beccaghyn, dy veenaghey e chorree as e yymmoose nyn oï er ny son oc.","Dy vod toiggal share ve ain jeh shoh, te nyn ayrn as nyn gurrym dy kinjagh dy chooinaghtyn er myghin vooar Yee: kys dy dug Jee e ynrican Vac Yeesey Creest gys y theihll, dy chooilleeney yn Leigh, tra va ooilley yn seihll sluggit seose ayns peccah liorish brishey yn Leigh; as liorish deayrtey e uill smoo ooasle, dy yannoo oural as lhiassaghey gys e Ayr son nyn beccaghyn, dy veenaghey e chorree as e ymmoose nyn oï er y son oc.",,1
The efficacy of Christ’s passion and oblation.,Bree jeh baase as oural Chreest.,,,2
"Insomuch that infants, being baptized and dying in their infancy, are by this sacrifice washed from their sins, brought to God’s favour, and made his children, and inheritors of his kingdom of heaven.","Ayns wheesh as dy vel oikanyn, tra t’ad er nyn mashtey as geddyn baase ayns laghyn nyn lambaanid, er nyn niee veih nyn beccaghyn liorish yn oural shoh, goit stiagh ayns foayr rish Jee, as jeant ny cloan[3] echeysyn, as eiraghyn jeh reeriaght niau.",,[3] ny cloan] i.e. nyn gloan,2
"And they which in act or deed do sin after their baptism, when they turn again to God unfeignedly, they are likewise washed by this sacrifice from their sins, in such sort, that there remaineth not any spot of sin, that shall be imputed to their damnation.","As adsyn ta ayns jannoo cur rish peccah lurg nyn mashtey, tra t’ad chyndaa reesht gys Jee lesh arrys firrinagh, t’adsyn myrgeddin er nyn niee veih nyn beccaghyn liorish yn oural shoh: myr shen cha vel veg y pheccah faagit, vees er ny choyrt gys y lieh oc dy gheyrey ad.",,,2
"This is that justification, or righteousness, which St. Paul speaketh of, when he saith, No man is justified by the works of the Law, but freely by faith in Jesus Christ.","Shoh yn ynrickys shen ta Noo Paul loayrt jeh, tra t’eh gra, “Cha vel dooinney erbee er ny heyrey liorish obbraghyn y Leigh, agh dy nastee liorish credjue ayns Creest Yeesey.”",,,2
"And again he saith, We believe in Jesus Christ, that we be justified freely by the faith of Christ, and not by the works of the Law; because that no man shall be justified by the works of the Law. Gal. ii.","As reesht t’eh gra, “Ta shin credjal ayns Yeesey Creest, dy vod shin v’er ny heyrey liorish credjue Chreest, as cha nee liorish obbraghyn y Leigh; son liorish obbraghyn y Leigh cha bee dooinney bio er ny heyrey.” (Gal. ii. 16.)",,,2
