English,Manx,Manx Original,English Original,Notes,Page
[1],"“Hug eh graih cha nee ynrycan da e chaarjyn, agh da e noidyn.”",,,"[1] “He loved not only his friends, but also his enemies”",1
[2],"YN CHEYOO HOMILY JEH Agglish Hostyn: NY,",,,"[2] “THE SIXTH HOMILY OF The Church Of England, OR”",1
A SERMON OF CHRISTIAN LOVE AND CHARITY.,SHARMANE MYCHIONE GRAIH AS GHIASTYLLYS CREESTEE,,,,1
VI.,,,,,1
part i.,,,,,1
"Of all things that be good to be taught unto Christian people, there is nothing more necessary to be spoken of, and daily called upon, than charity: as well for that all manner of works of righteousness be contained in it; as also that the decay thereof is the ruin or fall of the world, the banishment of virtue, and the cause of all vice.","Jeh dy chooilley nhee ta vondeishagh da pobble Creestee dy ynsaghey, cha vel nhee erbee ta ny s’ymmyrchee dy ve loayrit jeh, as gagh-laa soit magh, na Graih: cha nee ynrycan dy vel dy chooilley cheint dy obbraghyn dy chairys goit stiagh ayn; agh myrgeddin dy vel y laccal echey coyrt naardey yn seihll, geiyrt ersooyll craueeaght as coyrt dy chooilley pheccah er y hoshiaght.","Jhe dy chooilley nhee ta vondeishagh da pobble Creestee dy ynsaghey, cha vel nhee erbee ta ny s’ymmyrchee dy ve loayrit jeh, as gagh-laa soit magh, na Graih: cha nee ynrycan dy vel dy chooilley cheint dy obbraghyn dy chairys goit stiagh ayn; agh myrgeddin dy vel y laccal echey coyrt naardey yn seihll, geiyrt ersooyll craueeaght as coyrt dy chooilley pheccah er y hoshiaght.",,,1
"And forsomuch as almost every man maketh and frameth to himself charity after his own appetite; and how detestable soever his life be both unto God and man, yet he persuadeth himself still that he hath charity: therefore you shall hear now a true and plain description or setting forth of charity, not of men’s imagination, but of the very words and example of our Saviour Jesus Christ.","As fakin dy vel faggys dy chooilley ghooinney jannoo dooghys ghiastyllys lurg e aigney hene, as cre erbee cha feohdoil as ta e ymmyrkey bea chammah gys Jee as dooinney, ny-yeih t’eh foast smooinaghtyn dy vel ghiastyllys echey; shen-y-fa nee shiu nish clashtyn coontey firrinagh as cronnal jeh graih, cha nee cordail rish smooinaghtyn fardailagh deiney, agh cordail rish eer goan as sampleyr nyn saualtagh Yeesey Creest.",,,,1
"In which description or setting forth every man, as it were in a glass, may consider himself, and see plainly without error, whether he be in the true charity or not.","Ayns y coontey cheddin foddee dy chooilley ghooinney myr ayns gless goaill baght jeh hene, as fakin dy cronnal fegooish marranys, vel eh ayns y ghraih firrinagh ny dyn.",,,,2
What charity is. The love of God.,Cre ta graih firrinagh. Graih Yee.,,,,2
"Charity is, to love God with all our heart, all our life,[3] and all our powers and strength. With all our heart; that is to say, that our heart, mind, and study be set to believe his word, to trust in him, and to love him above all other things that we love best in heaven or in earth.","Ta graih firrinagh, dy choyrt graih da Jee lesh ooilley nyn gree, lesh ooilley nyn mea, as ooilley nyn niart. Lesh ooilley nyn gree: ta shen dy ghra, dy bee nyn gree, nyn aigney, as nyn garail soit er credjal e ghoo, er treishteil aynsyn, as er ve graihagh Ersyn erskyn dy chooilley nhee smoo ta shin coyrt graih da ayns Niau ny er y thalloo.",,,[3] life] 1810 soul,2
