English,Manx,Manx Original,Notes,,Page
[1],"“Herod, myr ren eh loo peccoil myr shen ren eh ny s’peccoil y chooilleeney eh.” ",,"[1] “Herod, as he took a wicked oath, so he more wickedly performed it.”",,1
[2],YN CHIAGHTOO HOMILY[3] Jeh Agglish Hostyn NY,,"[2] “THE SEVENTH HOMILY Of the Church of England OR”
[3] Whereas the other Manx homilies have rubrics in the margin and/or references in parentheses in the text, this one has only one reference in the text. Other references are supplied by Thomson in his edition, from where I have borrowed them, marked in red in brackets. The printed text also has few paragraph breaks (none between pages 4 and 9), and insufficient punctuation. I have added editorial paragraph breaks, and have added (or amended) punctuation as indicated in red.",,1
A SERMON AGAINST Swearing and Perjury,SHARMANE NOI GWEEAGHYN AS GOAILL LOO-OAIAGH.,,,,1
"Almighty God, to the intent his most holy name should be had in honour, and evermore be magnified of the people, commandeth that no man should take his name vainly in his mouth, threatening punishment unto him that unreverently abuseth it by swearing, forswearing, and blasphemy.","Ta Jee ooilley-niartal, dy vod yn ennym casherick echeysyn ve ny s’yrjey er ny ooashlaghey, as ve dy bragh er ny ghloyraghey liorish e phobble, er harey nagh jean persoon erbee goaill yn ennym echeysyn ayns aght fardailagh ayns e veeal; baggyrt lesh kerraghey eshyn ta jannoo ymmyd jeh ayns aght neu-arrymagh, liorish loo cadjin, loo-oaiagh, as gueeaghyn.",,,,1
"To the intent therefore that this commandment may be the better known and kept, it shall be declared unto you, both how it is lawful for Christian people to swear, and also what peril and danger it is vainly to swear, or to be forsworn. ","Er-chee er-y-fa shen, dy vod yn sarey shoh ve ny share er ny hoiggal as er ny reayll, bee eh er ny ockley magh diuish, chammah er cre ny oyryn te lowal da Creesteenyn dy loo, as myrgeddin cre’n dangeyr t’ayns loo cadjin as loo-oaiagh.","Erchee er-y-fa shen, dy vod yn sarey shoh ve ny share er ny hoiggal as er ny reayll, bee eh er ny ockley magh diuish, chammah er cre ny oyryn te lowal da Creesteenyn dy loo, as myrgeddin cre’n dangeyr t’ayns loo cadjin as loo-oaiagh.",,,1
How and in what causes it is lawful to swear.,,,,,1
"First, when judges require oaths of the people for declaration or opening of the truth, or for execution of justice, this manner of swearing is lawful.","Hoshiaght, tra ta Briwnyn geamagh er sleih dy loo cour fockley magh as soilshaghey yn irriney, dy vod cairys ve er ny yannoo, ta’n cheint shoh dy loo lowal.",,,,1
"Also when men make faithful promises, with calling to witness of the name of God, to keep covenants, honest promises, statutes, laws, and good customs, as Christian princes do in their conclusions of peace, for conservation of commonwealths; and private persons promise their fidelity in matrimony, or one to another in honesty and true friendship;","Myrgeddin tra ta deiney jannoo gialdynyn firrinagh liorish geamagh er Jee gys feanish dy reayll conaantyn, gialdynyn onneragh, leighyn, oardaghyn, as cliaghtaghyn mie, myr ta Reeaghyn Creestee jannoo tra t’ad jannoo shee, son sauchys reeriaghtyn: As persooynyn er-lheh coyrt nyn mreearrey yn derrey yeh da’n jeh elley ayns poosey, ny ayns cooish onneragh erbee elley, as ayns caarjys firrinagh, ","Myrgeddin tra ta deiney jannoo gialdynyn firrinagh liorish geamagh er Jee gys feanish dy reayll conaantyn, gialdynyn onneragh, leighyn, oardaghyn, as cliaghtaghyn mie, myr ta Reeaghyn Creestee jannoo tra t’ad jannoo shee, son sauchys reeriaghtyn: As persooynyn er-lheh coyrt nyn mreearey yn derrey yeh da’n jeh elley ayns poosey, ny ayns cooish onneragh erbee elley, as ayns caarjys firrinagh, ",,,2
"and all men when they do swear to keep common laws, and local statutes, and good customs, for due order to be had and continued among men; when subjects do swear to be true and faithful to their king and sovereign lord; and when judges, magistrates, and officers swear truly to execute their offices;","as dy chooilley ghooinney tra t’eh loo dy reayll leighyn as oardaghyn as cliaghtaghyn mie yn cheer t’eh baghey ayn, dy vod ad ve dy kinjagh er nyn reayll seose mastey deiney, tra ta’n theay loo dy ve firrinagh da nyn Ree; As tra ta Briwnyn as fir-oik loo dy firrinagh dy chooilleeney curmyn nyn oik,","as dy chooilley ghooinney tra t’eh loo dy reayll leighyn as oardaghyn as cliaghtaghyn mie yn cheer t’eh baghey ayn, dy vod ad ve dy kinjagh er nyn reayll seose mastey deiney, tra ta’n theay loo dy ve firrinagh da nyn Ree. As Tra ta Briwnyn as fir-oik loo dy firrinagh dy chooilleeney curmyn nyn oik,",,,2
"and when a man would affirm the truth to the setting forth of God’s glory (for the salvation of the people) in open preaching of the Gospel, or in giving of good counsel privately for their souls’ health:","as tra ta deiney dy hickyraghey yn irriney cour soilshaghey magh gloyr Yee (son saualtys gheiney) ayns dy foshlit preacheil yn Sushtal, ny cur coyrle erbee son slaynt nyn anmeenyn:",,,,2
"all these manners of swearing, for causes necessary and honest, be lawful.",Ta ny caghlaaghyn keint shoh dy loo son oyryn ymmyrchagh as onneragh lowal.,,,,2
