Manx,English,Diplomatic,Notes
15.2.07,15.2.07,15.2.07,
A song composed when harvest was over and the cold of winter had come.,A song composed when harvest was over and the cold of winter had come.,A song composed when harvest was over and the cold of winter had come,
,,,
"Ta’n tourey aalin ersooyl reesht,","The beautiful summer has gone again,",Ta’n thourey aalin ersooyl reesht,
"Ta’n ouyr neesht ersooyl,","The autumn is also gone,",T’an ouyr neesht ersooyl,
Ta çhiass ny greiney ersooyl neesht,"The heat of the sun has gone too,",Ta chass ny ghrainey ersooyl neesht,
As feayraght çheet ny chooyl.,And cold comes behind it.,As feayragh cheet ny chooyl,
"T’an geurey sterrymagh nish mygeayrt,","The stormy winter is now around,",T’an geurey styrmag nish mygeayrt,
"Lesh sniaghtey feayr as rio,","With cold snow and ice,",Lesh snaghtey feeayr as rio,
"Cha vell e throme myr ve un cheayrt,","It is not heavy as it once was,",Cha vell e throme myr ve un cheayrt,
Roïe ayns my vea ayns shoh.,Before in my life here.,Roie ayns my vea ayns shoh,
"Ny hushagyn va jannoo kiaull,","The birds that were making music,",Ny ushagyn va jannoo chiaull,
"Ta ersooyl er gys yn chrow,","Are gone to the bush,",T’er sooyl er gys yn chrow,
"Gyn veg agh robbin noon as noal,","With none but the robin to and fro,",Gyn veg agh Rovin noon as noall,
Çheet mygeayrt thie dy çhiow.,Coming around a house to warm.,Cheet mygeayr thie dy chow,"dy çhiow— lention would be expected here, but see also Kelly; dy çhiow."
"Ta’n gheay vooar sheidey er yn mooir,","The great wind blows on the sea,",T’an gheay wooar sheidey er yn muir,
"As thonnyn fargagh roie,","And angry waves race,",As thonnyn fargagh roie,
"As eeanlee nagh vel buinn ny cuirr,","And birds that neither reap nor sow,",As yeenlee nagh vell buin ny quir,
Nish ayns ny biljyn soie.,Now sit in the trees.,Nish ayns ny biljyn soie,
"Cha vel eer fiogit, duillag hene,","Not even shrivelled, even a leaf,",Cha vell eer ffgyt dhullag hene,
"T’ad eiyrit roish ny gheayee,","They are driven before the wind,",Tad iyryt rosh ny ghayee,
"Ga nagh vel guiy feie çheet lesh sheean,","Although no wild goose comes with noise,",Gha nagh vell geye feaih cheet lesh sheeyn,
Ny monney thunnag feie.,Or many wild ducks.,Ny monney thunnag feaih,
"Ta’n feeagh sy rhennagh shassoo nish,","The raven in the bracken stands now,",T’an feeagh sy rennagh shassoo nish,
"As croakal myr v’eh rieau,","And croaks as he always has,",As croakal myr ve rieu,
"As gaccan myr lesh skian brisht,","And complains as if with a broken wing,",As gagnan myr lesh skainy brish,
Er lhiattee feayr y clieau.,On the cold side of the mountain.,Er lhattee feayr y chliau,
"Ny magheyryn ta jiarg as creen,","The fields that are red and withered,",Ny magheyryn ta jairg as chreen,
"Gyn monney faiyr da’n maase,","Not much grass for for the livestock,",Gyn monney faiyr d’an maase,
"Ny conney da ny kirree hene,","Or heather for even for the sheep,",Ny conney da ny keerree hene,
Agh jerkal rish dy aase .,But expecting it to grow.,Agh jerkal rish dy aase ,
"Yn thalloo hene ta croi as feeayr,","The land itself that is hard and cold,",Yn thalloo hene ta croi as feeayr,
"Ny puill ta goll-rish gless,","The pools that are like glass,",Ny phuyll ta gholl rish ghless,
"Lesh rio as geay te feayr dy liooar,","With ice and wind it is cold enough,",Lesh rio as gheay te feayr dy lhioor,
Agh sheign dooin jannoo lesh.,But we must make do with it.,Agh shigen dooyn jannoo lesh,
"Ga nagh vel feayraght taitnyssagh,","Although cold is not pleasurable,",Gha nagh vell feayrragh taitnysagh,
"Dauesyn ta roie ayns eash,","For those that ‘run in age’,",Dausyn ta roie ayns eash,
"Ny-yeih ta’n berçhagh as yn boght,","Nevertheless, the richman and the poorman,",Ny-yeih t’an berchagh as yn boght,
Co-laik er ny hirveish.,Are served alike.,Chalack er ny herveash,
"Tra bee yn geurey feayr ersooyl,","When the cold winter will be gone,",Tra bee yn geurey feayr ersooyl,
"Yn ghrian er gheddyn çhiass,","The sun having got heat,",Yn ghrain er gheddyn chass,
Eisht vees e taitnyssagh dy hooyl,Then it will be pleasurable to walk,Esht ves e taitnysagh dy chooyl,
Tra hig yn faiyr er-ash.,When the grass reappears.,Tra hig yn faiyr er rash.,
Faragher,Faragher,Faragher,
"56 Blackwell Colliery,","56 Blackwell Colliery,",56 Blackwell Colliery,
"Derbyshire, England.","Derbyshire, England.",Derby Shire England,
,,,
,,,
,,,
