Manx,English,Diplomatic
Abyl dy hebbal shin fegooish foill,Able to Offer Us Without Fault,Abyl dy hebbal shin fegooish foayl
Kiongoyrt rish kionefenish y ghloyr,Before the Presence of Glory,Kiongoyrt rish kionefennish y gloayr
"    Ta cassan yn chreestee sollys agh ta’n boayl raad ta’n cassan shen leeiddeil foddey s’gloyroil. Ta eshyn shooyl ayns yn soilshey nish, agh ny lurg shoh bee echey dy hassoo ayns gloyr. Ta’n saualtagh myr te troailt er y hoshiaght freayl ny cassyn echey voish tuittym. Nee eh myrgeddin ec jerrey yn jurnaa soieagh eh fegooish foill kiongoyrt rish kionefenish y ghloyr. ","     The path of the christian is bright but the place where that path leads is far more glorious. He walks in the light now, but after this he will be granted to stand in glory. The Saviour, as he travels forward, keeps his feet from falling. He will also, at the end of the journey, set him without fault before the presence of the glory. ","          Ta cassan yn Chreetee sollys agh ta’n boayl raad ta’n cassan shen leeiddeil foddey s’gloayroiyl. Ta eshyn shooyl ayns yn soiljey nish agh ny lorg shoh, bee eck eh dy hassoo ayns gloayr. Ta’n saualtagh mor te throalt er y hosshagh freeayl ny chassyn eck eh voish tuittym. Nee eh morgheddyn eck jerrey yn jurnaa soieagh eh fegooish fooayl kiongoyrt rish kionefennish y ghlooayr. "
"     Atraie, ta shin gra “cha vel mish fegooish foill” foast, ta mee lane dy oiljyn as annoonidyn as ta’d jannoo lane seaghyn dou. ","Unfortunately, we say “I am not fault” yet I am full of faults and weaknesses, and they trouble me very much. ",Atraie tha shin gra cha vel mish fegooish fooayl foast. ta me lane dy oyljyn as annoonydyn. As ta’d jannoo lane seaghyn dow.
"     Cre’n aght veesym’s abyl dy hassoo, kiongoyrt rish kionefenish y ghloyr? Red beg dy laghyn er dy henney as foddagh shiu er vakin pooyl veg dy ushtey, seight as feer vroigh, liorish lhiattee yn raad. C’raad te nish?  Ren yn grain soilshean dy çheh er jea as ren yn çhass echey çhyrrmagh seose yn pooyl as tayrn ny bineyn ushtey  myr kay, er gys yn aer, nane lurg nane. As nish ta shiu jee aghyn seose as ayns shen ta shiu fakin bodjal beg feer aalin dy caghlaaghyn cullyr, as gloyroil ayns skell yn ghrain. Shen yn pooyl veg dy ushtey gyn ny sodjey lhie broigh as seight, agh er ny chaghlaa as jeant red feer aalin ta ayns kionefennish y ghloyr. ","How will I be able to stand, before the presence of glory? A few days ago you could see a puddle of water, muddy and really filthy, by the side of the road. Where is it now? The sun shone hot on it yesterday and its heat dried up the puddle and pulled the drops of water like mist, up to the sky, one after one. And now you look up and there you see a really beautiful little cloud of various colours, and glorious in the sun’s beam. That is the little puddle of water, no longer lying filthy and muddy, but changed and made into a very beautiful thing that is in the presence of glory.","Cre’n aght ves yms Abyl dy hassoo, kiongoyrt rish kionefennish y glooyr. Red beg dy laghyn er dy hinney as fddagh shiu er vakin pooul veg dy ushtey, seight as feer vroogh, lioarish lhattee yn raaid. cre’d te nish. Ren yn ghrain soljean dy chea er jea as ren yn chass eck eh chermagh seose yn pooull as tayren ny binyn ushtey, mor keay er gys yn aer, nane lyrg nane, As nish ta shiu jeaghyn seose as ayns shen ta shiu fakin bodjal beg feer aalin dy caghlaghyn cullyr, as glooyroil ayns skell yn ghrain. shen yn poul veg dy ushtey gyn ny sodjey lhie brooagh as seight agh er ny caghlaa as jeant red feer aalin. te ayns kionefennish y glooyr. As mor shen bee shuish er nyn gaghlaa. Tha shiu lane dy mynrickys nish, as mor ves shiu cheet ny snessey gys yn sollysid ta nyn voaljyn ry akin ny s’cronnal, agh be ad er ny ghoaill ersooyl gys eck yn jerrey nee shiu shassoo fegoish foayl ayns kionefennish y gloayr. "
"     As myr shen bee shuish er nyn gaghlaa. Ta shiu lane dy vee-ynrickys nish, as myr vees shiu çheet ny sneissey gys yn sollysid ta nyn voiljyn ry akin ny s’cronnal, agh bee ad er ny ghoaill ersooyl gys, ec yn jerrey nee shiu shassoo fegooish foill ayns kionefenish y ghloyr. O, cre cha yindyssagh as te dy smooinniaghtyn er. dy hassoo ayns shen ayns gloyr yn toilshey gloyroil lesh ooilley yn laneid jeh’n ghloyr flaunysagh soilshean sheese er nyn annym fegooish spoht ny craplag ny red erbee goll rish foill, agh bee shiu fegooish foill ayns shen, kiongoyrt rish kionefenish y ghloyr. ","And that is how you will be changed. You are full of dishonesty now, and as you will be coming closer to the brightness your faults are more clearly visible, but they will be taken away until, in the end, you will stand without fault in the presence of glory. O How wonderful it is to think of; to stand there in the glory of the glorious light with all the ??? of the heavenly glory shining down on the your spotless souls without wrinkle, or anything like a blemish, but you will be without fault there, in the presence of glory. ","O cre cha yindesagh as te dy smooinniaghtyn er. dy hassoo ayns shen ayns glooyr yn soiljey glooyroil lesh ooilley yn lanyd jeh’n gloayr flaun-ysagh soljean sheese er yn annym fegooish spoyt ny craplag ny red erbee gholl rish fooayl, agh bee shiu fegooish foayl ayns shen, kiongoyrt rish kionefennish y glooyr."
     As cre’n oyr?,And why? , as cre’n oyr. 
"     Er yn oyr dy vel Yeesey abyl jannoo shiu fegooish foill. O, triesht shiu dy slane ayns pooar Chreest, as prayal shiu er ayns shoh liorish ynsagh yn Spyrrys Noo. Nish cur my-ner myr ayns tuarystal Yee, dy vod shiu ve chaghlaait ayns yn un chochaslys veih gloyr gys gloyr","Because Jesus is able to make you free from blemish. O, trust completely Christ’s power, and pray about it here by means of the  instruction of the Holy Spirit. Now behold, in the form of God, that you may be changed into the same image from glory to glory.","er yn oyr, dy vel Yeesey abyl jannoo shiu fegooish foayl. O triesht shiu dy slane ayns pooar Chreest, as prayll chiu er ayns shoh liorish ynsagh yn Spyrrys Noo. Nish curmerner mor ayns turystal Yee, dy vod shiu ve chaghlayt ayns yn un cochaslys veih glooyr gys glooyr"
1st June 1899                    Farquhar,1st June 1899                    Farquhar,1st June 1899                    Farquhar
,,
