Manx,English,Diplomatic
Arrane mychione eirinee santoylagh ta cur feer veg dy faill da ny labbreeyn ayns yn ouyr:,A song about voracious farmers who give very poor wages to the labourers in the autumn:,Arrane mychione eirrinee Santoylagh ta cur feer veg dy fail da ny labbreeyn ayns yn ouyr
,,
"Ta’n imbagh fouyr er jeet dy jeean,",The harvest season has come suddenly,Ta’n imbagh fouyr er jeet dy jeean
"As ta ny magheryn geayney creen,","And the green fields are ripe,",As ta ny maghryn ghoiney chreen
"Ny labbreeyn ta goit ayns fouyr,","The labourers, taken on in autumn",Ny labbreeyn ta gooit ayns fooar
Choud’s ta ny berçhee çhaglym troar.,Whilst the rich are gathering in produce.,Chouda ta ny Chouds ta ny berchee chaglym throar
"Ny heirinnee dy gastey shooyl, ","The farmers walk briskly,",Ny eirrinnee dy gastey shooyl 
"Freayll arrey harroo lesh dagh sooill,","Keeping watch over them, all eyes,",Freeal arrey harroo lesh dagh sooil
"Ny-yeih, s’beg faill t’ad dy chur da.","Yet, how little pay they are giving for it.",Ny-yeih s’beg faill ta’d dy chur da 
Nagh vel goo Yee er shoh gimraa.,Hasn’t the Word of God mentioned about this?,Nagh vel ghoo Yee er shoh gymraa 
"Feer veg ta’d cur da’n labbree boght,","Very little they give to the poor labourer,",Feer veg ta’d chur da’n labbree bogh
"Son e hooilleil as labboragh,","For his toil and labour,",Son y hooilleil as labberagh
"Son kiangley arroo ayns yn ouyr,","For binding corn in the autumn,",Son kiangley arroo ayns yn ouyr
Ny-yeih t’ad geam dy vel eh rouyr.,"Yet, they shout out that it is too much.",Ny-yeih ta’d geam dy vel eh rouyr
"Kiarail son berçhys cha vel fea,","Caring for wealth, there is no rest.",Kiarrail son berchys cha vel fea
"Ec lheid yn hooinney ayns y vea,","For such a man in life, ",Eck lheid yn dhoinney ayns y vea
Yn eill ta shymley lesh imnea.,"The flesh that withers with worry,",Y eill ta shymley lesh imnea.
Shen ta mac Syrac shickyr gra.,That is what the son of Syrac surely says.,Shen ta mac Syrac shickker gra
"Ta’n berçhagh goaill er laue tooilleil,",The richman takes on a working hand.,Ta’n berchagh ghoaill er laue tooilleil
"Ta ayns e verçhys cur treishteil,","Who trusts in his wealth,",Ta ayns y verchys cur treishteil
"Cha vod eh goaill lane fea ny shee,","He cannot take much rest or peace,",Cha vod eh ghoaill lane fea ny shee
Raad ta e hashtey ta e chree.,His heart is where his treasure is.,Raad ta y hashtey ta y chree
"Agh bee nyn mea dy leah ec kione,",But our lives will soon be at an end.,Agh be nyn mea dy lheah eck kione
"Ersooyl myr Adam as e chloan ,","Gone, like Adam and his children,",Ersooyl mor Adam as y chloan 
"Shegin da faigail dy chooilley nhee, ","Everything must be left,",Shegin da faigail dy chooilley nhee 
Son dy ve briwnysit eck Jee.,To be judged by God.,Son dy ve briwnysit eck Jee
"T’er ghra dy bee Eh feanish geyre,","Who has said that he will be a severe witness,",T’er ghra dy bee Eh feannish gayre
"Noi yn sayntoilagh as molteyr,","Against the covetous person and deciever,",Noi yn sauntooilagh as molteyr
"Ta chonney labbree ayns y aail,",Who pressures a labourer in his pay;,Ta chonney labbree ayns y aail
Cha vod eh veih jymmoose scapail.,He cannot escape from fury.,Cha vod eh veih jymnooise scapail
"Agh ta yn saynt trooid ooilley roie,","But meanness runs through everything,",Agh ta yn saynt trooid ooilley roie 
"Ga dy vel airh whilleen er stroie,","Although gold has destroyed so many,",Gha dy vel airh whillyn er stroie
"Agh fegooish gerjagh, ayns anguaish,","But without comfort, in anguish,",Agh fegoish gerjagh ayns anguaish
Paardee ad rish ec oor nyn maaish.,They will part with it at the hour of their death.,Paardee ad rish eckoair nyn maaish
"Nyn ghree va soit er cosney airh,","Their hearts that were set on earning gold,",Nyn ghree va soit er chosney airh
"As jannoo reddyn nagh row cair,","And doing things that were not just,",As jannoo reddyn nagh row cair 
"Gyn smooinaght er nyn jerrey treih,","Without thinking about their miserable ends,",Gyn smooinaght er nyn jerrey treih
As yn jymmoose veagh çheet nyn yeih.,And the wrath that would be coming after them.,As yn jymmooiss vagh cheet nyn yeih
Farquhar,Farquhar,Farquhar
