Manx,English,Diplomatic
Arrane: Ta’n Imbagh Arree Nish ec Kione.,Song: The Season of Spring Now Ended.,Arrane: Ta’n imbagh arree nish eck kione
,,
Ta’n imbagh arree nish ec kione,The season of Spring is now at an end,Ta’n imbagh arree nish eck kione
As yn ghrian heose slane ayns bree,And the sun above full in power,As yn ghrain house slane ayns bree
Son nish ta mee ny boaldyn ayn,For now is the month of May,Son nish ta mee ny moaldyn ayn
As yn gheay wooar ee hene ec shee,And the great wind itself at peace,As yn gheay wooar ee hene eck shee
Ny sumarkyn ta nish ayns blaa,The primroses that are now in bloom,Ny sommeryn ta nish ayns blaa
Ny lussyn ta mie as glass,The herbs that are good and green,Ny lodderyn ta mie as ghlass
Ny biljyn ooyl myrgeddin ta,The apple trees are also,Ny biljyn oyl morgheddyn ta
Blaaghey ga nagh vel monney çhiass,Blooming although there isn’t much heat,Blaaghey gha nagh vel monney chass
Ny-yeih ta’n imbagh aalin shoh,"Nevertheless, this beautiful season",Ny-yeih ta’n imbagh aalin shoh
Cur er yn faiyr gaase ayns dagh easan,Makes the grass grow in every little waterfall,Chur er yn faiyr gaase ayns dagh esan
Ny biljyn juys ayns coamrey noa,The fir trees in new clothing,Ny biljyn juse ayns coamrey noa
Agh biljyn unjin ta feer ghoan,But ash trees that are very scarce,Agh biljyn unjen ta feer ghoan
Ta’n tourey aalin gerjagh dou,The beautiful Summer comforts me,Ta’n thourey aalin gherjagh dow
Tra nagh vel feme aym soie dy çhiow,When I have no need to sit to heat (warm),Tra nagh vel feme aym soie dy chow
Agh er ny croink as sleityn shooyl,But walk the hills and mountains,Agh er ny croink as sleityn shooyl
Ta’n earish aalin taitnysagh,The weather is delightfully beautiful,Ta’n earish aalin taitnysagh
Tra ta mee nish ayns my henn eash,When I am now in my old age,Tra ta mee nish ayns my chen eash
Ny-yeih jeh’n faarkey lhean goaill baght,"Nevertheless, surveying the broad ocean",Ny-yeih jelin faarkey lheayn ghoaill baght
Tra ta mee shooyl er croink Chrenaish,When I am walking the hills of Cregneash,Tra ta mee shooyl er croink crenaish
Ny-yeih ta’n traa dy oyragh gholl,"Nevertheless, the time goes reasonabley",Ny-yeih ta’n tra dy oyragh gholl
As ta my vea gaase giare dagh laa,And my life grows short each day,As ta my vea gaase gayre dagh laa
Dy lheah bee’m eiyrit veih my oayl,Soon I’ll be driven from my haunt,Dy lheay bee’m eiyrit veih my oayl
Gys boayl voish cha vel nane çhyndaa,To a place from whence no-one returns,Gys boayl voish cha vel nane chyndaa
O uss ta coyrt dagh bannaght sheese,"O you, who sends each blessing down,",O uss ta churt dagh bannagh sheese
Dagh gioot as grayse ta çheet voyd Hene,"Every gift and grace, that comes from you yourself.",Dagh gooit as graase ta cheet void Hene
Nish ayns dty ghraih as dty erreeish,"Now in love and compassion,",Nish ayns dy ghraih as dy eerish
Er coontey Chreest gow çhymmey jee’m,"On account of Christ take pity on me,",Er coontey Chreest gow chymmey jee’m
Croo aynym cree glen O my Hiarn,Create within me a pure heart my Lord,Chroo aynym chree glen O my Hiarn
As cur yn spyrryd noo çheu sthie,And put the holy spirit within me.,As chur yn spyrrys noo cheu stie
Gow mee dhyt hene chouds bee’m er mayrn,Take me to yourself for as long as I live,Ghow mee dhyt hene chouds bee’m er marn
As eisht cur lesh my annym thie,And then bring my soul home,As esht cur lesh my annym thie
Dy ooashlagh mysh dty stoyl reeoil,To worship around your royal throne,Dy ooashlagh mysh dy stoal reeoille
As ve dy bragh mayrt hene ec shee,And be forever with you yourself at peace,As ve dy braagh maart hene eck shee
Ayns eunys Niau dy ve gerjoil,In the rapture of Heaven to be happy,Asyns eunys Niau dy ve gherjoill
Raad nagh vod peccah reesht cur snieh.,Where sin cannot give vexation again.,Raad nagh vod peccah reesht chut snee.
May 17 1899    Farquhar,May 17 1899    Farquhar,May 17 1899    Farquhar
