Manx,English,Diplomatic
Arrane,A Song,Arrane
,,
Yn fastyr aalin shoh ta gerjagh mee,"This beautiful afternoon that comforts me,",Yn fastyr aalin shoh ta gherjagh mee
Tra ta’n gheay wooar goaill shee,When the the great wind eases.,Tra ta yn gheay wooar ghoaill shee
As ushagyn ta jannoo kiaull,"And birds are making music,",As ushagyn tha jannoo cchiaul
Tra ta’d çheet reesht er gys nyn oayll,When they come back to their habitat.,Tra ta’d cheet reesht er gys nyn oayll
,,
Ta’n ghrian ersooyl sheese ayns yn sheer,"The sun is away down in the west,",Ta’n ghrian ersooyl sheese ayns yn sheer
Fo bodjalyn dy chullyr keear,Under dark coloured clouds.,Fo bodjalyn dy cullyr keer
Ta’n druigh nish shilley voish yn aer,"The dew is now precipitating from the sky,",Ta’n druigh nish shilley voish yn aer
As ooraghey yn joan as faiyr,And freshening the dust and grass.,As ooaraghey yn jhon as faiyr
,,
Ta’n lossey ghreiney nish ersooyl,"The flame of the sun is now gone,",Ta’n lossey ghrainey nish ersooyl
As te feer taitnysagh dy hooyl ,"And it is very pleasing to walk,",As te feer taitnysagh dy hooyl 
Dy akin yindysyn yn Çhiarn,To see see the wonders of the Lord,Dy akin yindysyn yn Chiarn
Ren ad y chummey ayns dagh ayrn,That made them in every part.,Ren ad y chummey ayns dagh ayrn
,,
Hiarn ta mee yeearree dy chur booise,"Lord, I want to give thanks,",Hiarn ta mee yeeree dy chur booise
Er son ny bannaghtyn ta wheesh.,For the blessings that are so much.,Er son ny bannaghtyn ta wheesh
Ta’n imbagh aalin gerjagh mee,"The beautiful season comforts me,",Ta’n imbagh aalin gherjagh mee
As jannoo boggey da my chree,And makes my heart rejoice.,As jannoo boggey da my chree
,,
Booise dy row Hood er son dy bragh,"Thanks be to You for ever,",Booise dy row hooid er son dy braa
Yn Jee shen ta fegooish caghlaa,"That unchanging God,",Yn Jee shen ta fegoish caghlaa
As va cha graighagh orrin hene,"And who was so loving to us,",As va cha ghraighagh orryn hene
Tra va shin ayns nyn beccaghyn,When we were in our sins.,Tra va shin ayns nyn beccaghyn
,,
"O, cur dou cree ta kuine as meen","O, give me a heart that is calm and gentle,",O cur dow chree ta kuin as meen
"Sheel, myr ta yn cree Ayd Hene,","Sober, as Your Own heart is.",Shuail mor ta yn chree ayd Hene
"As myr yn immyr aalin feagh,","And like the beautiful allotment at rest,",As mor yn imbyr aalin feagh
Ny lhig dou ve ny smoo anveagh.,Don’t let me be troublesome anymore. ,Ny lhig dow ve ny smoo anveagh
,,
My Hiarn cur grayse dou dy hreishteil,"Give me grace my Lord to trust,",My Hiarn cur graase dow dy chreisteil
Son ta my chree as niart faileil,For my heart and might is failing.,Son ta my chree as niart falleeil
"O, Jean Uss reill mee er çheusthie","O, Rule me inside,",O jean Uss reil mee er cheustie
Gys ver Oo lesh my annym thie.,Until You bring my soul home.,Gus cer Oo lesh my annym thie
,,
"     Yn daa laa yeig jeh mee veanagh yn Tourey, ayns yn vlein hoght cheead jeig kaire feed as nuy jeig.     ","The twelfth of June, in the year eight hundred and ninety-nine.",     Yn daa laa yeig jeh mee veanagh yn theurey. ayns yn velin hoght cheead yeig kair feed as niee jeig.    
Farquhar,Farquhar., Farquhar
