Manx,English,Diplomatic,Notes
Arrane ayns Gaelg,A Song in Manx,Arrane ayns Galg,
,,,
"Feer foddey nish voish Mannin veen,","Very far now from gentle Mannin,",Feer foddey nish voish Mannin veen,
"My Ellan veg çheu hiar jeh’n cheayn,","My little Island on the west side of the sea ,",My Ellan veg cheu hiar jeh’n cheayn,
"Ayns kione heer Nerin wooar ta mee, ","I’m in the west end of great Ireland ,",Ayns kione heer Nherin wooar ta mee ,
Gyn nane dy gherjaghey my chree.,No one to console my heart.,Gyn nane dy gherjaghey my chree,
"Ta’n sleih ayns shoh myr yn cretoor,","The people here like the creature,",Ta’n sleih ayns shoh mor yn cretooar,
"Yn Cheeill jeight seose fegooish preachoor,","The church shut up without a preacher,",Yn Keeil jeight seose fegoish preachoor,
"Ta’n Saggyrt Claghagh ayns Goleen,","The Rector Stoney in Goleen,",Ta’n saggyrt cloghagh ayns goleen,"Saggyrt Claghagh; Rev. J.J. Stoney 1840-1900 (Jeeagh er; Rector Stoney ayns ‘A Manx Fisherman’s Poem’). 

Goleen; balley beg faggys da Crookhaven."
Preacheil da’n çhaglym echey hene.,Preaches to his own congregation.,Preacheeil dan chaglym eck eh hene,
"Cha vel aym boayl dy cheau yn traa,","I have nowhere to spend the time,",Cha vel aym boayl dy cheau yn tra,
"Agh lhie er boayrd dy chooilley laa,","Only lying on-board every day,",Agh lhie er boyrd dy chooilley laa,
"Nish foddey veih my ainjyssee,","Now far from my acquaintances,",Nish foddey veih my ainjessee,
Gyn fakin veg agh Mraane Yernee.,Seeing nothing but Irish Women.,Gyn fakin veg agh Mraane yernee.,
"As ooilley croink as creggyn rooisht,","And all hills and rocks bare,",As ooilley croink as creggan roosht,
"As Yernee cheoie ta lane jymmoose,","And wild Irish that are full of wrath,",As yernee chaie ta lane jymmoose,
"Bare lhiam ve reesht myr va mee keayrt,","I’d rather be back as I was once,",Baare lhiam ve reesht mor va mee cheayrt,
Ayns Mannin veg rouail mygeayrt.,"In little Mannin, wandering around.",Ayns mannin veg rouaill mygeayrt,
"Er sleityn bwee as gorrym jiarg,","On yellow and purple mountians,",Er sleityn bwee as gorrym jiarg,
"Fud conney freoaie er croink dy ard,","High up, through heather on hills,",Fud chonney fraie er croink dy ard,
"Raad boallin ayns yn fastyr shooyl,","Where I used to walk in the evening,",Raad bollyn ayns yn fastyr shooyl,
Er Cronk-ny-Arrey as Cronk Veayl.,On Cronk-ny-Arrey (Laa) as Cronk Meayl.,Er cronk ny arrey as cronk vulle,
"Dy mennick smooinaghtyn ny-yeih,","Often thinking nevertheless,",Dy mennick smooinnaghtyn ny-yeih,
"Er Mannin veg nish foddey veih,","About little Mannin now far off,",Er Mannin veg nish foddey veih,
"Raad ta’n sleih ayns fea as shee,","Where the people are in calm and peace,",Raad ta yn sleih ayns fea as shee,
As tannaghtyn ayns aggle Yee.,And remain in fear of God.,As tanniaghtyn ayns aggle Yee,
"Ayns shoh cha vel yn doonaght hene,","Here, not even the sabbath itself,",Ayns shoh cha vel yn doonniagh hene,
"Freayl ad voish labbragh er y cheayn,","Keeps them from working on the sea,",Freayl ad voish labbragh er y cheayn,
"Mraane aegey daunsyn as feer reagh,","Young women dancing and very merry,",Mraane aigey dhaunsyn as feer reagh,
Son cha nel Yernee mennick feagh.,For the Irish are not often calm.,Son cha nel yernee mennick feagh,
"Polecheiyt as shynnee shooyl son bee,","Polecats and foxes patrolling for food,",Polechyt as as shynnee shooyl son bee,
"Ta mennick rouaill ayns yn oie,","Are often wandering in the night,",Ta mennick rouaill ayns yn oie,
"As moddee gounsternee dy keoie,","And dogs barking wildly,",As moddee ghounsternee dy chaie,
Voish sleityn ard er gys yn traie.,From high mountains to the shore.,Voish sleityn ard er gys yn traie,
"Ta’n earrish rioeeagh er ve saase,","The freezing weather has been a means,",Ta’n earrish rioyagh er ve saase,
"Ayns shoh dy stroie ny blaaghyn gaase,","Here to destroy the growing blossoms,",Ayns shoh dy stroie ny blaggyn gaase,
"As ta shen Newman gaccan croie,",And it is that of which Newman* harshly complains;,As ta shen Newman gackan croi, Newman – Cardinal J H Newman (1801-1890)
Dy vel yn rioyn croie er stroie.,That hard frosts have laid waste.,Dy vel yn rioyn crap er stroie,
"Agh nish ta’n rio dy slane ersooyl,","But now the ice is completely gone,",Agh nish ta’n rio dy slane ersooyl,
"As geay as fliaghey cheet ny chooyl,","And wind and rain coming behind it,",As gheay as fliaghey cheet ny chooyl,
"Ta’n thalloo injyl meeley nish,","The low land is softening now,",Ta’n thalloo injyl meeley nish,
"Son cha vel monney grian cheet rish,",For there isn’t much sun appearing.,Son cha vel monney ghrain cheet rish,
"Foast ta ny ushagyn lesh kiaull,","  Yet, the birds, with music,",Foast ta ny ushagyn lesh kiaull,
"Jannoo feer taitnysagh yn boayl,","Make the place very enjoyable,",Jannoo feer taitnysagh yn boayl,
"Ny magheryn ayns nyn goamrey glass,","The fields in their green rainment,",Ny maghryn ayns nyn goamrey ghlass,
Ga nagh vel monney ghrian ny çhiass.,Although there isn’t much sun or heat.,Gha nagh vel monney ghrain ny chass,
