Manx,English,Diplomatic
As dooyrt ad; ,And they said;,
“Quoi nee rollal yn chlagh voish dorrys yn oaie?”,“Who will roll the stone from the door of the grave?”,
"     Gyn traa feer foddey er dy henney, va ben aeg seyr cummal ayns balley mooar ayns Nalbyn v’ee streeu ny vud lane reddyn lheittailagh, dy chredjal dy jinnagh Jee cooney lhee dy gheddyn ass souaigney feer trome, as coyrt er eunys keayrt elley dy hroggal ayns e cree. ","     Not a very long time ago, there was a you lady living in a city in Scotland who was striving in the midst of many hampering things, to believe that God would help her to get out a state of very heavy anxiety, and make happiness rise in her heart once more.  ","Gyn tra feer foddey er dy henne, va ben aeg seyr commal ayns balley mooar ayns Nolbyn vee strieu ny vud lane reddyn lhittalagh. dy credjal dy jeanagh Jee cooinney lhie dy gheddyn ass souaigney feer throam, as curt er eunys cheayrt elley dy chroggal ayns y chree "
"     Va’n souaigney shoh er hannaghtyn son daa vlein liauyr, as va’n credjue eck er ny hrial dy mie ec kione yn daa vlein. Tra ren ee dooystey ayns y vadran haink yn ayrn shoh jeh’n ghoo gys e aigney eck. “Quoi nee rollal ersooyl yn chlagh voish dorrys yn oaie?” Eisht ren ee girree as cur e garmod mygeayrt-y-moee as goll sheese gys yn çhamyr-lhongee as gys e yindys mooar, yn chied red ren ee clashtyn; yn Ayr eck lhaih ec padjer lught-thie. “Quoi nee rollal ersooyl yn chlagh dooin?” ","     This anxiety had persisted for two long years, and her belief was well on trial after at the conclusion of two years. When she awoke in the morning this part of the Word came to her mind; “Who will roll away the stone from the door of the grave?” Then she rose and put her garment on and went doen to the dining room and to her great amazement, the first thing she heard was her father reading at a family prayer; “Who will roll away the stone for us?”","Va’n souaigney shoh er hanniaghtyn son daa vlein louyr. As va’n credjue eck er ny chrial dy mie eck kione yn daa vlein, tra ren ee dooystey ayns y vadran haink yn ayrn shoh jeh’n ghoo gys y aigney eck. Quoi nee rollal ersooyl yn clagh voish dorrys yn oaie esht ren ee girree as cur y garmod mygeayrty moee as gholl sheese gys yn chemyr longee as gys y yindys mooar, yn ched red ren ee clashtyn yn Ayr eck lheih eck padjer loghthie. Quoi nee rollal ersooyl yn clogh doin. "
"     “Cre cha yindysagh!” dooyrt ee ree hene, “dy ren ny goan shoh çheet gys my aigney – yn chied red tra ren mee doostey ayns yn vadran. Ren ee cur e garmod urree as shooyl gys yn cheeill as soie ayns yn ynnyd v’ee cliaghtey soie ayn. T’eh joarree dy ghra, yn chied red ren ee clashtyn ayns yn cabdil va er ny lhaih liorish yn çherveishagh; “Quoi nee rollal ersooyl yn clagh dooin veih dorrys yn oaie?” ","     “How wonderful!” she said to herself, “that these words came to mind – the first thing when I woke in the morning!” She put the garment on and walked to the church and sat in the place she usually sat in. It’s strange to say, the first thing she heard in the chapter that was read by the minister; “Who will roll away the stone for us from the door of the grave?” ","Cre cha yindysagh doyrt ee ree hene dy ren ny goan shoh cheet gys my aigney – yn ched red tra ren mee doostey ayns yn vadran. Ren ee chur y garmod urree as shooyl gys yn Keeil as soie ayns yn ennyd vee claghtey soie ayn. te joarree dy ghra, yn ched red ren ee clashtyn ayns yn cabdyl va er ny lheih liorish yn shervaishagh Quoi nee rollal ersooyl yn clagh doin veih dorrys yn oaie. "
     Ta shoh red yindysagh dooyrt yn ven aeg ree hene. shegin da shoh ve coraa Yee. Tree keayrtyn ayns yn voghery shoh ren mee clashtyn ny goan cheddin loaryt ayns my chlashtyn.” ,     “This is a wonderful thing.” Said the young woman to herself. “This must be the voice of God. Three times this morning I heard the same words spoken within my hearing.” ,ta shoh red yindysagh doyrt yn ven eag ree hene. shegin da shoh ve corraa Yee. Three cheayrtyn ayns yn voghery shoh ren mee clashtyn ny goan cheddyn looaryt ayns my clashtyn. 
"     As ta shin credjal dy ren ee briwnys cairagh ayns smooniaghtyn dy re coraa Yee v’eh, loayrt ree hene. Eisht ren ee farkiaght dy akin cre yinnagh çheet jeh. As cha ren ee farkiaght foddey, son fastyr yn doonaght shen, nagh row dy bragh dy ve er ny yarrood, ghow ee seose lioar veg screeuit liorish Octavious Winslow fegooish toiggal er yn ayrn sloo cre ve screeuit ayn agh yn chied red ren ee lhaih va shoh, “tra ta’n chlagh dy ghollysyn lhie er bannaght erbee rosh ta Jee scaaghey ee, t’Eh gra; ‘Vel oo credjal dy voddym jannoo shoh?’” ","     And we believe that she made a fair judgement in thinking that it was the voice of God, speaking to herself. Then she waited to see what come of it. And she didn’t wait long, for that Sunday afternoon that won’t ever be forgotten, she took up a little book written by Octavious Winslow without understanding in the least part what was was written in it, but the first thing she read was this; “when the stone of difficulties lies upon any blessing, before God removes it he says “Do you believe that I can do this?” ","As ta shin credjal dy ren ee briwnys cairagh ayns smooinniaghtyn dy re corraa Yee ve, loayrt ree hene. esht ren ee farkiagh dy akin cre yannagh sheet jeh As cha ren ee farkiagh foddey, Son fastyr yn doonagh shen nagh row dy braagh dy ve er ny yarrood ghow ee seose lioar veg scrieut liorish Octavious Winslow fegoish toiggal er yn ayrn sloo cre ve scrieut ayn agh yn ched red ren ee lheih va shoh, tra ta’n clogh dy ghollysyn lhie er bannaght erbee Rosh ta Jee scaaghey ee Te gra vel oo cregjal dy vodym jannoo shoh "
"     Va shen dy liooar. Cha ren ee lhaih veg sodjey son ren tushtey jeh ooilley çheet gys yn aigney eck ayns tullagh. Yn chlagh dy ghollysyn va er ve lhie dy trome er ny bannaghtyn v’ee yeearree er nyn son, rish daa vlein liauyr,  agh nish va’n Çhiarn goll dy rollal ad ersooyl, as dy chur lesh ee magh ass ooilley e seaghyn v’ee gennaght cha shicker jeh, dy row traa livrey yn Çhiarn er jeet dy row ee mysh daunsyn ayns boggey. ","     That was enough, she didn’t read any more because knowledge of all came to her mind in an instant. The stone of difficulties had been lying heavily on the blessings she was desirous of for two long years, but now the Lord was going to roll them away, and to bring her out of all her sorrow.  She was  feeling so sure that  the Lord’s deliverence had come that she about to dance in joy. ","Va shen dy liooar cha ren ee lheih veg sodjey son ren tushtey jeh ooilley cheet gys yn aigney eck ayns thullagh. yn clagh dy ghollysyn va er ve lhie dy throme er ny bannaghtyn vee yeerree er nyn son, rish daa vlein louyr Agh nish va’n Chiarn gholl dy rollalad ersooyl, as dy chur lesh ee magh as ooilley y seaghyn vee gennaght cha shicker jeh dy row tra yn livrey yn Chiarn er jeet dy row ee mysh daunsyn ayns boggey. As son jeih laa "
"     As son jeih laa as son jeih laa ren ee tannaghtyn ayns yn stayd maynrey shoh, ghoaill yn bannaght liorish credjue gys haink eh ayns firrinys agh haink eh dy ve lhee hene ec kione yn jeih laa shen as ren ee bannaghey as moylley Jee son E vieys as E obberaghyn yindysagh gys chloan gheinney.","     And for ten days and for ten days she remained in this happy state. Accepting the blessing by faith until it came in reality, but it came to be her own at the end of that ten days and she blessed and praised God for His goodness and His wonderful works unto the children of mankind.","As son jeih laa ren ee tannaghtyn ayns yn stayd manrey shoh. Ghoaill yn bannaght liorish credjue gys haink eh ayns firrinys agh haink eh dy ve leeh hene, eck kione yn jeih laa shen As ren ee bannaghey as moylley Jee son y vies as y obberaghyn yindysagh gys chloan gheinney."
Farquhar,Farquhar,Farquhar
