Manx,English,Diplomatic
Creg dy Eashyn MS 01419A,Rock of Ages,Creg dy eashyn 
(Screeu cadjinit),(Yn Aght screeu Augustus Toplady eh:),(Aa-screeu diplomatic):
Creg dy eashyn son aym brish,"Rock of Ages, cleft for me,",Creg dy eashyn son aym brish
Lhig dou aynyds follagh mish,Let me hide myself in Thee;,Lhig dou aynyds folliagh mish
Lhig da’n ushtey as yn uill,"Let the water and the blood,",Lhig da’n ushtey as yn uill
Voish dy lhiattee vroghit geill,"From Thy riven side which flowed,",Voish dy lhattie vroghit gell
Veih dagh peccah ’ yannoo slane,"Be of sin the double cure,",Veih dagh peccah yannoo slane
Mee hauaill as jannoo slane,Cleanse me from its guilt and power.,Mee hauaill as jannoo slane
,,
Voddin heayney laa as oie,(Çhyndaays:),Voddyn heayney laa as oie
Voddin lesh lane jeeanid guee,I could pray day and night,Voddyn lesh lane jeanyd guee
Shen cha voddagh lhiassagh nish,I could with beseech with full zeal,Shen cha voddagh lhiassagh nish
She Oo hene shegin sauail mish,That which cannot improve now,She Oo hene shegin sauail mish
Fegooish gioot sy theihll shoh wass,It is Yourself that must save me,Fegoish gooit sy theill shoh wass
Ynrick cummal gys dty chrosh,Without a gift in this world down below,Ynrick cummal gys dy crosh
,Only holding to your cross,
,(Yn Aght screeu Augustus Toplady eh:),
,Not the labour of my hands,
,Can fulfill Thy law's demands;,
,"Could my zeal no respite know,",
,"Could my tears forever flow,",
,All for sin could not atone;,
,"Thou must save, and Thou alone.",
,,
,"Nothing in my hand I bring,",
,Simply to Thy cross I cling;,
,"Naked, come to Thee for dress;",
,"Helpless, look to Thee for grace;",
,"Foul, I to the fountain fly;",
,"Wash me, Saviour, or I die!",
,,
Chouds veeym tayrn yn ennal faase,"While I draw this fleeting breath,",Chouds v·em tayrn yn ennal faase
As my hooillyn jeigh ayns baase,"When mine eyes shall close in death,",As my hooilyn jeih ayns baase
Troggal er gys seihll gyn oayl,"When I soar to worlds unknown,",Throggal er gys seihll gyn oayl
Cur my-ner Oo er dty stoyl,"See Thee on Thy judgement throne,",Curmerner Oo er dy stooyl
Creg dy eashyn son aym brisht,"Rock of Ages, cleft for me,",Creg dy eashyn son aym brish
Lhig dou aynyds follagh mish,Let me hide myself in Thee,Lhig dou aynyds folliagh mish
