Manx,English,Diplomatic,Notes
"Creg dy eashyn son aym brish,","Rock of Ages, cleft for me,",,
"Lhig dou aynyds folliaght mish,",Let me hide myself in Thee;,,
"Lhig da’n ushtey as yn uill,","Let the water and the blood,",,
Voish dty lhiattie vroogyt geill.,"From Thy riven side which flowed,",,
"Veih dagh peccah yannoo slane[1],",Not the labor of my hands,,[1] This line replaces the crossed out line: [Bee jeh peccah lheihys lane].
"Mee hauaill as jannoo slane,",Can fulfill Thy law’s demands;,,
"Voddin heayney laa as oie,","Could my zeal no respite know,",,
Voddin lesh lane jeeanid guee.,"Could my tears forever flow,",,
"Shen cha voddagh lhiassagh nish,","All could never sin erase,",,
"She Oo Hene shegin sauail mish,","Thou must save, and save by grace.",,
"Fegooish gioot sy theill shoh wass,","Nothing in my hands I bring,",,
Ynrick cummal gys dty crosh.,Simply to Thy cross I cling;,,
"Chouds v’em tayrn yn ennal faase,","While I draw this fleeting breath,",,
"As my hooillyn jeih ayns baase,","When mine eyes shall close in death,",,
"Troggal er gys seihll gyn oayl,","When I soar to worlds unknown,",,
Curmyner Oo er dty stoyl.,"See Thee on Thy judgment throne,",,
"Creg dy easyn son aym brisht,","Rock of Ages, cleft for me,",,
Lhig dou aynyds folliaght mish.,Let me hide myself in Thee.,,
E Faragher,,,
