Manx,English,Diplomatic
Dy bragh marish yn Çhiarn,Forever with the Lord,Dy bragh marish yn Chiarn
Amen lhig da y ve,Let there be an Amen,Amen lhig da y ve
Bioghys veih baase dy ve er mayrn,Enlivenment; from death to be surviving,Biogys veih baase dy ve er marn
Te son dy bragh ayns bea,It is forever in life,Te son dy bragh ayns bea
"O, Cur dou credjue bio","O, Give me living faith",O chur dow credjue bio
Yn gooit gloyroil dy ghrayse,The glorious gift of your grace,Yn gooit gloyroil dy graase
As gow my annym stiagh gys fea ,And in take my soul to rest,As ghow my annym stiagh gys fea 
Dy ooashlagh Oo lurg baase,To worship you after death,Dy ooashlagh Oo lurg baase
Mayrt hene ayns eunys Niau,Together with You in the delight of Heaven,Mayrt Hene ayns eunys Niau
Goaill soylley jeh Dty Ghraih,To enjoy Your Love,Ghoaill solley jeh dy Ghraih
Ny eashyn beayn dy hraa y cheau ,The eternal ages of time to spend,Ny eashyn beeayn dy chra y cheau 
Ayns cur my-ner Dty oaie.,In beholding your face.,Ayns curmerner dy aie
Faraquhar,Farquhar,Faraquhar
Yn kairoo laa yeig jeh yn vee skerree jeh’n geurey aynsyn vlein nee cheead yeig,The fourteenth of January in the year nineteen hundred,Yn kairoo laa yeig jeh yn vee skerree jeh’n geurey aynsyn velin nee cheead yeig.
