Manx,English,Diplomatic,Notes
Ean 16:27,John 16:27 ,,
27th cab Ean* ,27th cab John,27th cab Ean,"T’eh gra ‘27th Cab’ agh ta’n quote veih’n çheyoo chabdil, yn çhiaghtoo verse as feed: Yn Vible Casherick; Ean 16:27: Son ta’n Ayr hene graihagh erriu, er-y-fa dy vel shiuish er ve graihagh orrym’s. The Bible quote is not from the 27th chapter of John, but the 27th verse of the 16th Chapter. "
Son ta’n Ayr eh hene graihagh (erriu) er yn oyr dy vel shiu er ve graihagh orrym’s.,"For the Father himself loveth you, because ye have loved me",Son ta yn Ayr eh hene graihagh er yn oyr dy vel shiu er ve graihagh orryms ,
"     Myr shen cha nel ain ynrican Saualtagh graihagh agh ta Jee as Ayr nyn Jiarn Yeesey Chreest graihagh orrin myrgeddin, lesh graih deyr, er yn oyr dy vel shin lesh e vac deyr hene. ","     Therefore we not only have a loving Saviour but God the  Father of our Lord Jesus Christ loves us too, with precious love, for the reason that we belong to his dear son himself. ",Mor shen cha nel ain ynrican Sauallagh graihagh agh ta Jee as Ayr nyn Jiarn Yeesey Chreest  graihagh orrym morgheddyn. lesh graih deyr er yn oyr dy vel shin lesh y vac deyr hene ,
"     Lhig dooin resooney son tammylt er graih yn Ayr. Ta paart dy sleih smooinaghtyn er graih yn Ayr, ta’d soieagh magh eh myr lane dy eulys er coontey nyn beccaghyn, gys ren Yeesey Creest çheet as meighey e chorree liorish surranse baase er nyn son. ","     Let us discuss for a while about the love of the Father. Some people think about the love of the father, they describe him as full of indignation on account of our sins, until Jesus Christ came and softened his anger by suffering death for us. ",lhig dooin resooney son tammylt er graih yn Ayr. Ta paart dy sleih smooinniaghtyn er graih yn Ayr Ta’d soieagh magh eh mor lane dy eulys er coontey nyn beccaghyn. Gys ren Yeesey Chreest cheet as meeighey y corree. Liorish surrans baase er nyn son. ,
"     As ta’d aarloo dy yarrood ooilley cooidjagh dy re yn oyr dy vel Jee graihagh orrin, as cha nee er yn oyr dy row eh dwoaiagh orrin, dy daink Yeesey dy hurranse baase .","     And they are ready to forget altogether, that the reason is that God loves us, and not because he hates us, that Jesus came to suffer death.  ","As ta’d earloo dy yarrood ooilley cudjagh, dy re yn oyr dy vel jee graihagh orrym, as cha ne er yn oyr dy row eh doieagh orrym. dy daink Yeesey dy hurrans baase ",
"     Ta fys ain dy row lheid yn ghraih shen ec Jee er yn seihll, dy dug eh e ynrican er-ny-gheddyn Vac, nagh jinnagh quoi erbee yinnagh credjal ayn çherraghtyn agh dy beagh yn vea dy bragh farraghtyn echey. Ren yn Ayr coyrt yn Mac dy ve Saualtagh yn seihll. Ta Jee er choyrt dooin ymmodee gooityn costlagh agh cha vel veg jiu dy ve er ny hoylaghey rish Yeesey. ","     We know that God has such love for the world  that he gave his only begotten son, so that anyone who would believe in him would not perish, but that he would have everlasting life. The father gave the son to be the Saviour of the world. God has given us many precious gifts but none of them are to be compared to Jesus. ","Ta fys ain dy row lheid yn graih shen eck Jee er yn seihll, dy dug eh y ynrican ernygheddyn  Vac. Nagh jeanagh quoi erbee yannagh credjal ayn charraghyn agh dy bagh yn vea dy Bragh farraghtyn ech eh. Ren yn Ayr churt yn Mac dy ve Saualtagh yn seihll ta jee er churt dooin ymmodee gooityn costlagh agh cha vel veg jiu dy ve er ny hoylaghey rish Yeesey. ",
"     Booise dy row gys Jee son yn ghioot erskyn insh. Shickyr tra ta shin smooinaght er shoh, foddee mayd gra yn Ayr Ain lesh dunnalys. Ta’n shee ain jeant rish Jee, er yn oyr dy vel shin lesh y vac deyr, Yeesey Chreest.","     Thanks be to God for the gift beyond relating. Surely when we think about this, we can say the Our Father with courage. Our peace is made with God, because we belong to his dear son, Jesus Christ.","Booise dy row gys Jee son yn gooit erskyn insh shickker tra ta shin smooinniagh er shoh, foddee mayd gra yn Ayr ain lesh dunnalys. Ta’n shee ain jeant rish Jee, er yn oyr dy vel shin lesh y vac deyr, Yeesey Chreest, ",
,,,
"     Ren ben voght voish Nalbin, çheet un laa gys thie ny boghtyn ayns New York, as ren ee ginsh skeeal feer trimshagh. Va’n sheshey eck marroo. V’ee hene goll gys yn ospital as cha row foddey eck dy ve bio, as chur ee lesh maree inneen veg as daag ee yn nane veg ayns shen. Ren ben as dooinney seyr clashtyn yn skeeal eck, as ghow ad yn inneen daue hene. ","     A poor woman from Scotland, came one day to the poorhouse in New York, and she told a very sad story. Her husband was dead. She herself was going to the hospital and she didn’t have long to live, and she brought with her a young daughter and she left the little one there. A lady and gentleman heard her story and took the girl for themselves. ","Ren ben vogh voish Nolbyn, cheet un laa gys thie ny boghtyn ayns New York, as ren ee ginsh skeeal feer trimshagh. Va’n sheshey eck marroo. Vee hene gholl gys yn ospital as cha row foddey eck dy ve bio, as chur ee lesh maree inneen veg as daaig ee yn nane veg ayns shen. Ren ben as dhonney seyr chlashtyn yn skeeal eck, as ghow ad yn inneen daue hene.",
"     Er yn aght shoh ta shin er jeet dy ve nyn gloan dy Yee. My ta shin credjal ayns Yeesey, tha shin goit stiagh, liorish doltynys, gys lught-thie Yee. As ta’n Ayr eh hene graihagh orrin, lesh graih dy braagh farraghtyn.","     In this way we have come to be children of God. We believe in Jesus, we are brought in, by adoption, to God’s family, and the Father himself loves us with a love everlasting. ","Er yn aght shoh ta shin er jeet dy ve nyn ghloan dy Yee My ta shin credjal ayns Yeesey, Tha Shin goit stiagh, leoorish doltynys gys lughtie Yee. As ta’n Ayr eh hene graihagh orryn. Lesh graih dy braagh farraghtyn.",
     Crookhaven. ,Crookhaven,     Crookhaven ,
     Yn thrass laa as feed jeh mee ny boaldyn yn vlein hoght cheead yeig kaire feed as nuy jeig.    ,"The twenty-third of May, the year eighteen ninety-nine.",yn thrass laa as feed jeh mee ny moaldyn yn vlein hoght cheead yeig kair feed as nuiy jeig    ,
Farquhar,Farquhar,Farquhar,
,,,
