Manx,English,Diplomatic
Gow shiu boggey ayns yn Chiarn ec dy chooilley hraa. ,Rejoice in the Lord always.,Gow shiu boggey ayns yn Chiarn ec dy
Phillippianee y 4 chab as y 4 verse.,"Phillippians, chapter 4, verse 4.",chooilley chra. Phillippianee y 4 chab as y 4 verse. 
"Cha row Jee rieau kiarail dy beagh creesteeyn seaghnagh as goll mygeayrt groamagh. Dy jarroo te neu-ghooghysagh daue dy ve, son nagh vel eh er ghra roo, gow shiu boggey ec dy chooilley hraa? As my ta shin feer ghraihagh er yn Saualtagh as cummal er gerrey da, bee mayd creesteeyn maynrey.","God never intended for Christians to be sorrowful and go around dejected. Indeed, it is unnatural for them to be, because hasn’t he told them; rejoice at all times? And if we truly love the Saviour and keep close to him, we will be happy Christians. ","Cha row Jee rieu caaraill dy bagh chreesteeyn seaghnagh as gholl mygeayrt ghroamagh. dy jarroo te nee, ghooghysagh daue, dy ve, Son nagh vel eh er ghra roo, ghow shiu boggey eck dy chooilley chra. As my ta shiu feer ghraihagh er yn Saualtagh as coamal ergherrey da, bee mayd chreesteeyn manrey "
"     Bee croshyn çheet ec keayrtyn, gyn dooyt, agh ny-yeih cha lhisagh shen jannoo shin groamagh, son foddee mayd cur lesh ad ooilley gys Yeesey. ","     There will be adversaties coming at times, no doubt, but nevertheless that shouldn’t make us miserable, for we can bring them all to Jesus. ","Bee croshyn cheet ec cheayrtyn gyn dooit agh ny-yeih cha lhissagh shen jannoo shin groamagh, son foddee mayd cur lesh ad ooilley gys Yeesey, "
"     Vel fys eu, cre ta cur er yn arroo gaase seose, as ny lurg shen gaase appee, ayns e imbagh hene? Shegin da gheddyn fliaghey, as t’eh ayns feme jeh çhiass ghreiney myrgeddin. ","     Do you know what makes the corn grow up, and after that grow ripe, in its own season? It has to get rain, and it needs the heat of the sun too. ","Vell fyss eu, cre ta cur er yn arroo gaase seose as ny lurg shen gaase appee, ayns y inmbagh hene. Shegin da gheddyn fliaghey as te ayns feme jeh chass ghrainey morgheddyn "
"     Ta ny croshyn ain goll-rish laghyn geayagh as fluigh; cha vel ad feer taitnysagh ec yn traa shen, agh ta’d cooney lhien dy aase ny stroshey, as dy ve creesteeyn share, er yn oyr dy vel fraueyn y chredjue ain cuirrit sheese ny s’diuney, myr t’eh choyrt fraueyn yn arroo sheese ayns y thalloo. Agh cha jeannagh yn arroo dy bragh geddyn er e hoshiaght dy beagh eh dorraghey as bodjalagh ooilley yn traa, agh ta’n  ghrian gloyroil souree lhieeney magh ny jeesyn as jannoo ad appee son yn ouyr, as ta feme ec yn chreestee er soilshey yn ghrian dy ynrickys dy hoilshean sheese er dy kinjagh, dy vod eh gaase ayns graase as ve jeant aarloo son e hie ayns Niau.","     Our adversities are like windy and rainy days; they aren’t very enjoyable at the time, but they help us to grow stronger, and to be better christians, because we have the roots of our faith sown down deeper, as he sows the roots of the corn down in the ground. But the corn would never get going if it were dark and cloudy all the time, but the glorious summer sun fills out the ears and makes them ripe for the autumn, and the Christian needs the light of the sun of honesty to always shine down upon him, so that he may grow in grace and be made ready for his home in Heaven. ","Ta ny croshyn ain gholl Rish laghyn gheayagh as fluigh, cha vel ad feer taitnysagh ec yn tra shen, agh ta’d cooney lhyn dy aase ny stroshey, as dy ve chreesteeyn shayre, er yn oyr dy vell fraueyn yn credjue ain, curryt sheese ny s’duiney Mor te churt fraueyn yn arroo sheese ayns y thalloo, agh cha jeannagh yn arroo dy braagh gheddyn er y hoshagh Dy bagh eh dorraghey as bodjalagh ooilley yn tra. agh ta’n  ghrain gloayroil seuree lhieenney magh ny jeesyn as jannoo ad appee son yn ouyr as ta feme ec yn chreestee er soiljey yn ghrain dy ynrickys dy hoiljean sheese er dy kinjagh. dy vod eh gaase ayns graase as ve jeant aarloo son y hie ayns Niau"
"     Chreesteeyn deyr, gow shiu kiarail dy reayl ayns soilshey ny ghreiney. Lhig da graih Yeesey lheeiney nyn ghreeghyn nagh bee reamys eu da smooinaghtyn groamagh Adam, ta baghey ayns peccah son bleeantyn liauyr. Ta’d cur lesh orroo hene ymmodee seaghynyn as dy mennick er ny ghoaill ayns kiap-snapperalyn, nagh lhiass diu dy bragh meeitteil moo, neayr’s as tha shiu er ve currit lesh gys bwoaillee maynrey yn Saualtagh. O eisht, cre ny creesteeyn boggeysagh lhisagh shin y ve. ","     Dear christians, take care to keep in the light of the sun. Let the love of Jesus fill your hearts so that you won’t have room for miserable thoughts of Adam, that live in sin for long years. They bring many sorrows upon themselves and are often taken in stumbling blocks (obstacles), that you don’t need to ever meet with since you have been brought to the Saviour’s happy fold. O then, what joyful Christians we should be:"," chreesteeyn deyr, gow shiu kairaill dy reayl ayns soiljey ny ghrainey, Lhig da graih Yeesey lhinney nyn ghreeghyn nagh bee reamys eu da smooinnaghtyn groamagh Adam ta beaghey ayns peccah son bleintyn louyr. Ta’d cur lesh orroo hene ymmedee seaghynyn as dy mennick er ny ghoaill ayns cabsnaperalyn, Nagh lhass diu dy braagh meeitteil moo, Niar as tha shiu er ve curryt lesh gys bwilly manrey yn Saualtagh. O esht cre ny chreesteeyn boggeysagh lhyssagh shin y ve "
"Dy mennick singal ceau nyn draa,","Often singing, spending our time,",Dy mennick singal cheau nyn dra
"My yeir ta rhyt, ersooyl,","My tears that are for you, gone,",My yeir tha rhyt ersooyl
"Yeesey nyn garrey, ta shin gra,","Jesus our friend, we say,",Yeesey nyn gharrey ta shin gra
