Manx,English,Notes
Cregnaish,Cregneash,
,July 30th 1898,
,Saturday,
,Dear Mr Roeder,
,"     I embrace the present opertunity [opportunity] of answering your kind letter and hope it will find you enjoying the blessing of good health, as this leaves me middling at present.",
,"Thanks be to God for His mercies I am still very busy at the nets and have very little time to spare .Mrs Clague and the little boys are pretty well and Mr Clague himself is improving a little. They all desire to be kindly remembered to you. I am expecting my son home from Liverpool tonight. He is coming to see me before I go away. Mr Keig desires to be remembered to you. I am glad that you got a good passage home —  it was a very good passage home it was a very quick one to travel so many miles in so short a time. I hope we will be ready for sea in another week or so, I would much rather stop at home but I must work while I am able. I have no strange news to tell you at present, so I must conclude and",
,     Remain sincerely yours,
,     Edwd Farquhar,
Cronk y vretny  [Cronk-y-Vretnee],the Welsh hill in howe  ,
Maghy ushlagh  [Magher Ushlagh],Watery field  ,
Maghy Chyrrim  [Magher Çhirrym],dry field   ,
,(both in this Parish [Rushen] ) ,
"Maghy Ghoar  [Magher Goayr, Glion Çhass]",goat field (in glenshass)  ,
Clagh vane vauley –Clagh Vane Voailley? ,"(in) baih fine[1]  ( Fold White Stone ?),",[1] baih fine] Baie Fine
Gary fordail  [Garee Fardail],(in Strugan Snail) gary of vanity [sourland of vanity],
Balley Vrarey [Balley Vraarey] ,"No meaning — the name of a farm [Brothers’, or; Monks’ farm]",
Creg y gaghey [Creg-y-Jaghee /  Creg-y-Jaghey],The Rock of the tithe (near [the] Sound) ,
Lhag y vaarly [Lhag-y-Vaarlee],the thieves valley (Howe),
Borrow fagee [Burroo Faagee?],has no meaning the old name for the Burrow (Large Rock of Leaving?),
Croit y wooisley [Croit-y-Woishley],The pennywall croft  ,
Purt y vadah [Purt-y-Vaatey],Boat’s harbour (Calf of Man ),
Kione y goggan [Kione-y-Goggan],Noggin head (near Perwick),
Chirk [Kirk],"a rock in the sound, church  ",
Pot christy [Pot Christee],a hole like a pot in the cliff called after Christy  ,
Ghob [Gob],a pointed rock,
Ghob ny scooit [Gob-ny-Scooit] ,no meaning  (Point of the Spout),
Ghob y volly [Gob-y-Vollee],(north end of greeba mountain) the point of the brow.,
Caigher ,(in the calf) no meaning.  ,
Bow yn chelleg [Bow-yn-Challig],(sunken rock [reef] by the calf) the kellags bow [reef] (as there are often fish called kellags [pollack] there),
,,
Challey ,the name of the shore between the Mill Rock and the point of Port st Mary breakwater,
Phoynt veg [Poynt Veg],is the little point where the pear [pier] is,
Daa ghob [Daa Ghob],the points of two hills as mark for the fishing boats,
Beeal y vair [Beeal-y-Vair],(in Ballakilparic meaning) Roads mouth (in English),
Cleashyn y mwagh [Cleayshyn y Mwaagh],"The hares ears, (a rock in that shape, seen at a distance, near sound) ",
Lhargy graue [Liargee Ghrouw],"(a common near Laxey) graue; no meaning, (The Gloomy Slope)",
Jeig [Jeeig],a ditch where Port St Mary breakwater is built on its edge  ,
Thau wooar ,"the name of a perpendicular precipice near sound. Thau has no meaning wooar is big,",
Barnagh,"a limpit, also the name of a farm,",
Cloas hommon [Close Haubman],"a small field (hommon; the Manx way of calling the owner’s name, being Taubman)",
,30 July 1898 Farqhuar,
Bwooil nydyn Bwoailley-yn-Eddin / Bwoaill’-y-nEddin ,a field’s name in the howe above Port Erin ... nyddyn [(yn) eddin] is face,
Covil hoggil ,(has) no meaning (in Manx or English),
Faih [faaie],(is) a common name for fields in front of the house,
faih Cheall [Faaie Cheyl],a narrow field,
Keim ny meayney Keim-ny-Meainey,(is) the style of mettle [metal] ,
Thowl foggy [Towl Fioghee],hole of light spongy soil  ,
Thoilt ny grainey [Thoalt-ny-Greiney],The sunny barn (a spot by cronk yn earylaa [Cronk ny Arrey Laa]),
Yarron ,(has) no meaning (the name of a little yellow spot in the cliff near fleshwick called by that name by the old fishermen),
,,
Carron ,(is) the small shells covering the rocks below the high water mark and there is a point near fleshwick called carron; when the garron and the carron are bearing in one it is the mark for a spot where there is fish to be caught and they call the mark the garron on the carron,
,,
Lhym y cheenny [Lheim-y-Çhynnee],(a cliff near the giants footprints meaning in English) the foxes leap,
,,
Doarlish wooar [Doarlish Vooar],the big gap,
Car y thoury [Car-y-Touree],(a field near Robogue meaning) all the summer (in English).,
Cass strugan [Cass Struggan],stream foot  ,
"Maghyr Dhoo, [Magher Dhoo]",(The) black field,
Landage yn Phollonagh [Lhiondaig-yn-Phohllinagh / Londaig-yn-Phohllinagh],The Mearmaids [Mermaid’s] Green,
Tha chingey ny host ny share ne olk y gra  [Ta çhengey ny host ny share na olk y ghra.],[‘A silent tongue is better than saying (something) bad’.],
