Manx,English,Notes
,"Crookhaven, April 7th, 1897. ",
,"I have heard tell of a woman saint that met the devil on a night, when the ground was covered with snow & he asked her some questions;",
      “C’red ta ny s’gilley na sniaghtey syn oie?” ,     What is whiter than snow in the night?,
Dooyrt ee “Ny s’gilley na shen ta flaunys thie Yee”,[She said] Whiter than that is the effulgence of God’s house. ,
     “C’red ta ny smessey na ben?” ,     “What is worse than a woman?” ,
     “Ta’n mioleyder broigh ny smessey na shen.”,     “The dirty tempter is worse than that.”,
     ,     I have forgotten the rest of the dialogue.,
     Ben vooar ruy v’ec Sandy Ling ,"Sandy Ling had a big brown wife, ",
     Ceau braagyn yiarn as oasheryn tin.,wearing iron shoes & tin stockings.,
, I know very little about farming for I never had any delight in it; the sea for me when I was a young man. But the old farmers called the,
keeagh,plough,
chleayn,(& the) harrows,
traaue,(and) ploughing,
"cleiyee,",(and) harrowing ,
imraghyn praase;,"(and) butts[1] of potatoes, (like they make in Ireland,)","[1]  butts] Anglo-Manx dialect for ‘heaps’, or ‘piles’. "
imraghyn arroo.,(and) corn butts,
,"— The farmers make no such butts in the Island since they ... ... have got reaping machines, but before that every reaper had his own length to cut. I remember two men plowing – one leading the horses the other holding the plow.",
,Some of the Manx names of the things in a boat:—,
Staim toshee,Stem,
Staim jerree,stern post,
Cabbane,cabin    ,
Cron [Croan] toshee ,foremast  ,
Cron [Croan] jerree,mizen mast,
Maidjyn raue,rowing oars   ,
Shiaull jerree,mizen.     ,
Shiaull toshee,Jib,
Shiaull mean ,main sail  ,
Kiarroo shiaul ,foresail,
Yn çhamyr toshee,fore room,
Yn çhamyr jerree,stern room,
Yn çhamyr meanagh,the middle room,
Thie yn combaase,the binnacle,
Shooting the nets ,Cuirr yn leein   ,
Hauling the nets ,Coyrt er boayrd,
,"I have heard tell of a ghost that was coming home, so his friends got a blacksmith to make an iron cross to lay on the grave. It appears the ghost was not in the grave when the cross was laid on it, but he came before they left the grave, and said —",
‘Trog shoh’,(lift this),
,and then disappeared. And the people said the blacksmith never did any good afterward.,
,"I was talking to a Catholic priest last summer. He could read my Manx writing well enough, & he repeated some Manx songs that he had learned from Tom Kermode in Bradda. He said that he had them published six years ago. But Tom Kermode, the blind man, is dead & buried now & all his songs are sung.",
,"     I remember the night when the Royal Charter was lost[2]. I was in a fishing boat in Howth harbour, about nine miles from Dublin; and as it was very stormy & rough in the harbour we were on deck all night. And about ten o’clock at night – a big stack of fire went over the harbour at a great height. It made a great illumination. No one could tell what it was, but some were of the opinion that it was a sign of the loss of the herring fleet, but the boats got home safe enough. I have never seen such a thing since – whatever it was or whatever it meant. I fancy many of the old weather sayings never come to pass now for they saw the Island is gone further North than it used to be and that will make a great difference in the weather, so the old folklore must be wrong about the weather.","[2]  The Royal Charter] a steam clipper that was lost off the cost of Anglesey as a consequence of The Royal Charter Storm on the 26th of October 1859, with the loss of an estimated 450 lives. "
,From Faragher of Cregneish,
"Oie innyd bee dty vinnyd[3] lane,",Ash Wednesday Eve your runnet[4] will be full.,"[3]  dty vinnyd] — dty vinnid — ‘your rennet’. 
[4]  Runnet] likely ‘rennet’ taken to mean ‘stomach’."
Shimmey y gaue ta shin currit lesh ny hrooid.,Many’dangers we have been brought through.,
"Yn magher caggee, yn boayl dy phrowal foays yn chliwe",The battlefield is the place to prove the goodness of the sword.,
Te ny s’aashagh dy gheddyn ayns boirey na dy gheddyn ass.,It is easier to get in bother than to get out.,
Cha jean yn mainshter cur shin ass yn school cre erbee cha staghylagh as ta shin.,The master will not put us out of the school however stupid we are.,
Ollick gennal as blein feer vie,"A Merry Xmas an’ very good year, ",
Luck as slaynt da’n slane lughtthie,"Luck & health to all the family,",
Bea as gennalys riu bio ry cheilley,Life & health to you alive together; ,
Shee as graih eddyr mraane as deiney ,Peace and love between men & women.,
Ta imbagh cour dy chooilley nhee.,For every thing there is a season.,
Cha vel scansh y voddee ort,[You are] As careless as the dogs.,
"Tra ta’n gheay coayl e[5] bree,","[When the wind loses its energy,",[5] e] ‘his’. [y] in the original. Ned beg Hom Ruy frequently uses ‘y’ for ‘e’ — ‘his’ / ‘her’.
